Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
0,"0,041622","0,000000",0,0,0,"0,000000",0,0,0,0,0
1,"0,006837","0,000000",0,0,0,"0,000000",0,0,0,0,0
2,"0,005477","0,000000",0,0,0,"0,000000",0,0,0,0,0
3,"0,007133","0,000000",0,0,0,"0,000000",0,0,0,0,0
4,"0,006970","0,000000",0,0,0,"0,000000",0,0,0,0,0
5,"0,006818","0,000000",0,0,0,"0,000000",0,0,0,0,0
6,"0,006917","0,000000",0,0,0,"0,000000",0,0,0,0,0
7,"0,006837","0,000000",0,0,0,"0,000000",0,0,0,0,0
8,"0,006874","0,000000",0,0,0,"0,000000",0,0,0,0,0
9,"0,006790","0,000000",0,0,0,"0,000000",0,0,0,0,0
10,"0,006851","0,000000",0,0,0,"0,000000",0,0,0,0,0
11,"0,005577","0,000000",0,0,0,"0,000000",0,0,0,0,0
12,"0,006378","0,000000",0,0,0,"0,000000",0,0,0,0,0
13,"0,006574","0,000000",0,0,0,"0,000000",0,0,0,0,0
14,"0,005555","0,000000",0,0,0,"0,000000",0,0,0,0,0
15,"0,005502","0,000000",0,0,0,"0,000000",0,0,0,0,0
16,"0,005460","0,000000",0,0,0,"0,000000",0,0,0,0,0
17,"0,005623","0,000000",0,0,0,"0,000000",0,0,0,0,0
18,"0,005516","0,000000",0,0,0,"0,000000",0,0,0,0,0
19,"0,007425","0,000000",0,0,0,"0,000000",0,0,0,0,0
20,"0,005402","0,000000",0,0,0,"0,000000",0,0,0,0,0
21,"0,005507","0,000000",0,0,0,"0,000000",0,0,0,0,0
22,"0,006688","0,000000",0,0,0,"0,000000",0,0,0,0,0
23,"0,006152","0,000000",0,0,0,"0,000000",0,0,0,0,0
24,"0,005305","0,000000",0,0,0,"0,000000",0,0,0,0,0
25,"0,005384","0,000000",0,0,0,"0,000000",0,0,0,0,0
26,"0,005312","0,000000",0,0,0,"0,000000",0,0,0,0,0
27,"0,005281","0,000000",0,0,0,"0,000000",0,0,0,0,0
28,"0,005578","0,000000",0,0,0,"0,000000",0,0,0,0,0
29,"0,005302","0,000000",0,0,0,"0,000000",0,0,0,0,0
30,"0,005374","0,000000",0,0,0,"0,000000",0,0,0,0,0
31,"0,005452","0,000000",0,0,0,"0,000000",0,0,0,0,0
32,"0,005290","0,000000",0,0,0,"0,000000",0,0,0,0,0
33,"0,005377","0,000000",0,0,0,"0,000000",0,0,0,0,0
34,"0,005559","0,000000",0,0,0,"0,000000",0,0,0,0,0
35,"0,005284","0,000000",0,0,0,"0,000000",0,0,0,0,0
36,"0,005343","0,000000",0,0,0,"0,000000",0,0,0,0,0
37,"0,005579","0,000000",0,0,0,"0,000000",0,0,0,0,0
38,"0,005281","0,000000",0,0,0,"0,000000",0,0,0,0,0
39,"0,005274","0,000000",0,0,0,"0,000000",0,0,0,0,0
40,"0,005366","0,000000",0,0,0,"0,000000",0,0,0,0,0
41,"0,005324","0,000000",0,0,0,"0,000000",0,0,0,0,0
42,"0,006110","0,000000",0,0,0,"0,000000",0,0,0,0,0
43,"0,005755","0,000000",0,0,0,"0,000000",0,0,0,0,0
44,"0,005310","0,000000",0,0,0,"0,000000",0,0,0,0,0
45,"0,005323","0,000000",0,0,0,"0,000000",0,0,0,0,0
46,"0,005292","0,000000",0,0,0,"0,000000",0,0,0,0,0
47,"0,005321","0,000000",0,0,0,"0,000000",0,0,0,0,0
48,"0,005341","0,000000",0,0,0,"0,000000",0,0,0,0,0
49,"0,005306","0,000000",0,0,0,"0,000000",0,0,0,0,0
50,"0,005656","0,000000",0,0,0,"0,000000",0,0,0,0,0
51,"0,005305","0,000000",0,0,0,"0,000000",0,0,0,0,0
52,"0,005981","0,000000",0,0,0,"0,000000",0,0,0,0,0
53,"0,005415","0,000000",0,0,0,"0,000000",0,0,0,0,0
54,"0,005441","0,000000",0,0,0,"0,000000",0,0,0,0,0
55,"0,005839","0,000000",0,0,0,"0,000000",0,0,0,0,0
56,"0,006929","0,000000",0,0,0,"0,000000",0,0,0,0,0
57,"0,005785","0,000000",0,0,0,"0,000000",0,0,0,0,0
58,"0,005637","0,000000",0,0,0,"0,000000",0,0,0,0,0
59,"0,005525","0,000000",0,0,0,"0,000000",0,0,0,0,0
60,"0,005419","0,000000",0,0,0,"0,000000",0,0,0,0,0
61,"0,005333","0,000000",0,0,0,"0,000000",0,0,0,0,0
62,"0,005380","0,000000",0,0,0,"0,000000",0,0,0,0,0
63,"0,005436","0,000000",0,0,0,"0,000000",0,0,0,0,0
64,"0,005698","0,000000",0,0,0,"0,000000",0,0,0,0,0
65,"0,005432","0,000000",0,0,0,"0,000000",0,0,0,0,0
66,"0,005570","0,000000",0,0,0,"0,000000",0,0,0,0,0
67,"0,006154","0,000000",0,0,0,"0,000000",0,0,0,0,0
68,"0,005455","0,000000",0,0,0,"0,000000",0,0,0,0,0
69,"0,005465","0,000000",0,0,0,"0,000000",0,0,0,0,0
70,"0,005420","0,000000",0,0,0,"0,000000",0,0,0,0,0
71,"0,005623","0,000000",0,0,0,"0,000000",0,0,0,0,0
72,"0,005390","0,000000",0,0,0,"0,000000",0,0,0,0,0
73,"0,005586","0,000000",0,0,0,"0,000000",0,0,0,0,0
74,"0,005685","0,000000",0,0,0,"0,000000",0,0,0,0,0
75,"0,005389","0,000000",0,0,0,"0,000000",0,0,0,0,0
76,"0,006542","0,000000",0,0,0,"0,000000",0,0,0,0,0
77,"0,005428","0,000000",0,0,0,"0,000000",0,0,0,0,0
78,"0,005318","0,000000",0,0,0,"0,000000",0,0,0,0,0
79,"0,006967","0,000000",0,0,0,"0,000000",0,0,0,0,0
80,"0,007540","0,000000",0,0,0,"0,000000",0,0,0,0,0
81,"0,005402","0,000000",0,0,0,"0,000000",0,0,0,0,0
82,"0,005293","0,000000",0,0,0,"0,000000",0,0,0,0,0
83,"0,013347","0,000000",0,0,0,"0,000000",0,0,0,0,0
84,"0,010832","0,000000",0,0,0,"0,000000",0,0,0,0,0
85,"0,006399","0,000000",0,0,0,"0,000000",0,0,0,0,0
86,"0,005318","0,000000",0,0,0,"0,000000",0,0,0,0,0
87,"0,005390","0,000000",0,0,0,"0,000000",0,0,0,0,0
88,"0,005344","0,000000",0,0,0,"0,000000",0,0,0,0,0
89,"0,005449","0,000000",0,0,0,"0,000000",0,0,0,0,0
90,"0,005440","0,000000",0,0,0,"0,000000",0,0,0,0,0
91,"0,005873","0,000000",0,0,0,"0,000000",0,0,0,0,0
92,"0,005495","0,000000",0,0,0,"0,000000",0,0,0,0,0
93,"0,005522","0,000000",0,0,0,"0,000000",0,0,0,0,0
94,"0,006446","0,000000",0,0,0,"0,000000",0,0,0,0,0
95,"0,007703","0,000000",0,0,0,"0,000000",0,0,0,0,0
96,"0,006696","0,000000",0,0,0,"0,000000",0,0,0,0,0
97,"0,005640","0,000000",0,0,0,"0,000000",0,0,0,0,0
98,"0,005423","0,000000",0,0,0,"0,000000",0,0,0,0,0
99,"0,006024","0,000000",0,0,0,"0,000000",0,0,0,0,0
100,"0,006122","0,000000",0,0,0,"0,000000",0,0,0,0,0
101,"0,007017","0,000000",0,0,0,"0,000000",0,0,0,0,0
102,"0,005336","0,000000",0,0,0,"0,000000",0,0,0,0,0
103,"0,005754","0,000000",0,0,0,"0,000000",0,0,0,0,0
104,"0,005337","0,000000",0,0,0,"0,000000",0,0,0,0,0
105,"0,005384","0,000000",0,0,0,"0,000000",0,0,0,0,0
106,"0,006053","0,000000",0,0,0,"0,000000",0,0,0,0,0
107,"0,006031","0,000000",0,0,0,"0,000000",0,0,0,0,0
108,"0,005568","0,000000",0,0,0,"0,000000",0,0,0,0,0
109,"0,005283","0,000000",0,0,0,"0,000000",0,0,0,0,0
110,"0,005480","0,000000",0,0,0,"0,000000",0,0,0,0,0
111,"0,006669","0,000000",0,0,0,"0,000000",0,0,0,0,0
112,"0,005408","0,000000",0,0,0,"0,000000",0,0,0,0,0
113,"0,005398","0,000000",0,0,0,"0,000000",0,0,0,0,0
114,"0,005392","0,000000",0,0,0,"0,000000",0,0,0,0,0
115,"0,005517","0,000000",0,0,0,"0,000000",0,0,0,0,0
116,"0,005495","0,000000",0,0,0,"0,000000",0,0,0,0,0
117,"0,005424","0,000000",0,0,0,"0,000000",0,0,0,0,0
118,"0,005351","0,000000",0,0,0,"0,000000",0,0,0,0,0
119,"0,005341","0,000000",0,0,0,"0,000000",0,0,0,0,0
120,"0,005275","0,000000",0,0,0,"0,000000",0,0,0,0,0
121,"0,005403","0,000000",0,0,0,"0,000000",0,0,0,0,0
122,"0,005565","0,000000",0,0,0,"0,000000",0,0,0,0,0
123,"0,005477","0,000000",0,0,0,"0,000000",0,0,0,0,0
124,"0,005598","0,000000",0,0,0,"0,000000",0,0,0,0,0
125,"0,005285","0,000000",0,0,0,"0,000000",0,0,0,0,0
126,"0,005416","0,000000",0,0,0,"0,000000",0,0,0,0,0
127,"0,005531","0,000000",0,0,0,"0,000000",0,0,0,0,0
128,"0,005484","0,000000",0,0,0,"0,000000",0,0,0,0,0
129,"0,005707","0,000000",0,0,0,"0,000000",0,0,0,0,0
130,"0,005314","0,000000",0,0,0,"0,000000",0,0,0,0,0
131,"0,005324","0,000000",0,0,0,"0,000000",0,0,0,0,0
132,"0,005337","0,000000",0,0,0,"0,000000",0,0,0,0,0
133,"0,005819","0,000000",0,0,0,"0,000000",0,0,0,0,0
134,"0,005314","0,000000",0,0,0,"0,000000",0,0,0,0,0
135,"0,005386","0,000000",0,0,0,"0,000000",0,0,0,0,0
136,"0,005395","0,000000",0,0,0,"0,000000",0,0,0,0,0
137,"0,005428","0,000000",0,0,0,"0,000000",0,0,0,0,0
138,"0,007451","0,000000",0,0,0,"0,000000",0,0,0,0,0
139,"0,005503","0,000000",0,0,0,"0,000000",0,0,0,0,0
140,"0,005790","0,000000",0,0,0,"0,000000",0,0,0,0,0
141,"0,005352","0,000000",0,0,0,"0,000000",0,0,0,0,0
142,"0,005447","0,000000",0,0,0,"0,000000",0,0,0,0,0
143,"0,005315","0,000000",0,0,0,"0,000000",0,0,0,0,0
144,"0,005544","0,000000",0,0,0,"0,000000",0,0,0,0,0
145,"0,005524","0,000000",0,0,0,"0,000000",0,0,0,0,0
146,"0,007014","0,000000",0,0,0,"0,000000",0,0,0,0,0
147,"0,006798","0,000000",0,0,0,"0,000000",0,0,0,0,0
148,"0,006225","0,000000",0,0,0,"0,000000",0,0,0,0,0
149,"0,005281","0,000000",0,0,0,"0,000000",0,0,0,0,0
150,"0,006942","0,000000",0,0,0,"0,000000",0,0,0,0,0
151,"0,005413","0,000000",0,0,0,"0,000000",0,0,0,0,0
152,"0,005437","0,000000",0,0,0,"0,000000",0,0,0,0,0
153,"0,005393","0,000000",0,0,0,"0,000000",0,0,0,0,0
154,"0,005351","0,000000",0,0,0,"0,000000",0,0,0,0,0
155,"0,005361","0,000000",0,0,0,"0,000000",0,0,0,0,0
156,"0,006883","0,000000",0,0,0,"0,000000",0,0,0,0,0
157,"0,005378","0,000000",0,0,0,"0,000000",0,0,0,0,0
158,"0,007782","0,000000",0,0,0,"0,000000",0,0,0,0,0
159,"0,005518","0,000000",0,0,0,"0,000000",0,0,0,0,0
160,"0,006475","0,000000",0,0,0,"0,000000",0,0,0,0,0
161,"0,005324","0,000000",0,0,0,"0,000000",0,0,0,0,0
162,"0,007042","0,000000",0,0,0,"0,000000",0,0,0,0,0
163,"0,005728","0,000000",0,0,0,"0,000000",0,0,0,0,0
164,"0,005482","0,000000",0,0,0,"0,000000",0,0,0,0,0
165,"0,005344","0,000000",0,0,0,"0,000000",0,0,0,0,0
166,"0,005275","0,000000",0,0,0,"0,000000",0,0,0,0,0
167,"0,005418","0,000000",0,0,0,"0,000000",0,0,0,0,0
168,"0,005473","0,000000",0,0,0,"0,000000",0,0,0,0,0
169,"0,005593","0,000000",0,0,0,"0,000000",0,0,0,0,0
170,"0,005366","0,000000",0,0,0,"0,000000",0,0,0,0,0
171,"0,006351","0,000000",0,0,0,"0,000000",0,0,0,0,0
172,"0,005371","0,000000",0,0,0,"0,000000",0,0,0,0,0
173,"0,005315","0,000000",0,0,0,"0,000000",0,0,0,0,0
174,"0,005322","0,000000",0,0,0,"0,000000",0,0,0,0,0
175,"0,005364","0,000000",0,0,0,"0,000000",0,0,0,0,0
176,"0,005286","0,000000",0,0,0,"0,000000",0,0,0,0,0
177,"0,007459","0,000000",0,0,0,"0,000000",0,0,0,0,0
