Frame,FPS
0,"0,000000"
60,"60,000000"
123,"63,000000"
179,"56,000000"
226,"47,000000"
273,"47,000000"
320,"47,000000"
367,"47,000000"
411,"44,000000"
457,"46,000000"
505,"48,000000"
549,"44,000000"
585,"36,000000"
620,"35,000000"
652,"32,000000"
682,"30,000000"
713,"31,000000"
744,"31,000000"
775,"31,000000"
804,"29,000000"
831,"27,000000"
859,"28,000000"
885,"26,000000"
911,"26,000000"
936,"25,000000"
960,"24,000000"
985,"25,000000"
1008,"23,000000"
1028,"20,000000"
1049,"21,000000"
1069,"20,000000"
1089,"20,000000"
1107,"18,000000"
1127,"20,000000"
1146,"19,000000"
1166,"20,000000"
1185,"19,000000"
1204,"19,000000"
1224,"20,000000"
1242,"18,000000"
1262,"20,000000"
1280,"18,000000"
1300,"20,000000"
1319,"19,000000"
1338,"19,000000"
1358,"20,000000"
1377,"19,000000"
1395,"18,000000"
1415,"20,000000"
1434,"19,000000"
1455,"21,000000"
1479,"24,000000"
1505,"26,000000"
1561,"56,000000"
1623,"62,000000"
1683,"60,000000"
1744,"61,000000"
1804,"60,000000"
1861,"57,000000"
1895,"34,000000"
1925,"30,000000"
1954,"29,000000"
1984,"30,000000"
2012,"28,000000"
2039,"27,000000"
2065,"26,000000"
2091,"26,000000"
2117,"26,000000"
2142,"25,000000"
2169,"27,000000"
2194,"25,000000"
2220,"26,000000"
