CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
53,63,47,50,43,34,30,33,1188,1188,1190,1190,1189,1191,1191,1190,82,420,1399,1865,3109,0,932,3491,10796,,
38,51,44,41,41,49,53,35,1190,1191,1189,1188,1190,1190,1189,1189,42,420,1399,1710,3109,0,932,3531,10681,,
35,61,54,43,24,32,45,28,1190,1191,1190,1187,1188,1190,1189,1190,72,420,1399,1710,3109,0,932,3491,10641,,"11065,640776699"
41,43,40,31,35,47,45,46,1190,1190,1190,1188,1190,1190,1190,1190,54,420,1399,1710,3110,0,933,3491,10643,,
44,43,33,41,35,42,46,56,1189,1190,1191,1190,1190,1191,1189,1190,14,420,1399,1710,3109,0,933,3491,10642,,
40,42,48,47,47,51,54,65,1190,1190,1190,1190,1189,1190,1190,1190,47,522,1399,2020,3109,0,932,3531,10991,,
83,67,67,64,68,67,72,68,1190,1189,1187,1190,1189,1190,1189,1190,62,624,1709,2175,3263,0,1087,3571,11805,,
67,72,74,62,53,60,65,66,1190,1191,1190,1190,1190,1191,1190,1189,13,624,1709,2175,3107,0,932,3571,11494,,
65,44,59,50,56,52,53,53,1186,1190,1196,1190,1190,1190,1190,1190,15,624,1710,2020,3109,0,932,3531,11302,,
56,62,62,45,40,41,48,56,1190,1190,1190,1189,1189,1194,1190,1190,27,624,1554,1865,3109,0,932,3531,10991,,
51,72,58,55,60,50,48,43,1189,1190,1190,1194,1189,1190,1190,1190,25,624,1710,2020,3109,0,932,3531,11302,,
59,60,44,53,52,50,41,42,1190,1190,1190,1188,1190,1190,1191,1190,30,522,1554,1865,3109,0,932,3531,10991,,
45,42,58,45,47,57,55,62,1190,1190,1190,1190,1187,1190,1189,1191,26,522,1554,1865,3109,0,932,3531,10991,,
63,59,71,64,58,59,62,60,1190,1191,1189,1191,1190,1189,1190,1190,22,522,1554,2020,3109,0,932,3531,11146,,
54,67,49,54,50,49,50,46,1189,1190,1189,1190,1190,1190,1190,1186,78,522,1554,1865,3109,0,932,3531,10991,,
62,68,52,46,44,56,62,67,1189,1190,1190,1190,1190,1190,1189,1190,59,522,1554,2176,3109,0,932,3531,11302,,
