CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
39,39,42,49,57,59,41,47,2258,2258,2259,2254,2259,2258,2258,2252,38,1377,4491,6966,3407,0,1084,3691,19639,,
41,30,51,39,44,47,38,66,2257,2258,2260,2259,2258,2259,2257,2251,42,1377,4801,6350,3407,0,1239,3731,19528,,
49,35,45,45,66,43,39,54,2257,2258,2258,2259,2260,2258,2258,2258,38,1377,4801,6504,3407,0,1239,3691,19642,,19115
57,39,63,51,40,42,54,52,2261,2258,2259,2259,2259,2259,2259,2258,26,1377,4644,7585,3405,0,1238,3731,20603,,
50,36,40,55,47,48,64,43,2259,2254,2258,2257,2251,2260,2258,2256,38,1377,4801,6659,3407,0,1084,3691,19642,,
51,54,55,46,48,42,46,57,2258,2257,2258,2258,2259,2258,2253,2256,50,1377,4801,6659,3407,0,1084,3691,19642,,
70,79,64,58,65,69,74,63,2259,2258,2256,2259,2255,2259,2259,2258,11,1377,5106,7582,3559,0,1238,3772,21257,,
51,75,55,57,63,58,53,50,2257,2259,2259,2258,2258,2258,2258,2255,31,1377,4799,7121,3405,0,1238,3691,20254,,
76,35,66,51,50,63,44,44,2258,2254,2258,2261,2259,2258,2258,2255,33,1377,4644,7431,3405,0,1238,3731,20449,,
59,57,59,60,69,49,47,100,2257,2259,2256,2257,2259,2259,2259,2258,37,1377,4487,8201,3404,0,1238,3731,21061,,
65,65,40,46,57,79,37,99,2259,2259,2258,2258,2257,2259,2258,2259,30,1377,4487,8356,3404,0,1238,3806,21291,,
71,60,66,69,78,63,50,77,2259,2258,2258,2258,2258,2258,2255,2258,43,1377,4642,8047,3404,0,1238,3766,21097,,
58,58,71,65,46,51,41,71,2258,2259,2258,2258,2258,2257,2258,2258,42,1377,4644,7585,3405,0,1238,3685,20557,,
64,49,44,78,43,47,57,63,2259,2256,2258,2257,2257,2257,2258,2259,11,1377,4799,7276,3405,0,1083,3685,20248,,
37,59,43,58,40,50,46,30,2257,2257,2259,2258,2253,2258,2259,2259,9,1377,4801,6195,3407,0,1084,3691,19178,,
43,54,57,50,37,39,54,31,2258,2260,2258,2258,2259,2259,2258,2257,35,1377,4801,6350,3407,0,1084,3691,19333,,
