CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,CV_mW
30,25,16,41,30,8,61,8,2262,2263,2264,2264,2263,2264,2262,2263,80,828,2173,2484,3105,776,3560,12098,
33,54,25,7,16,16,81,15,2263,2263,2264,2264,2264,2262,2255,2263,76,1338,3412,3101,3257,930,3600,14300,0.0
36,76,33,84,75,66,8,8,2265,2263,2264,2265,2264,2264,2264,2263,98,1032,4183,3873,3253,1084,3680,16073,0.0
53,58,25,33,33,66,41,33,2263,2264,2261,2263,2258,2264,2263,2261,26,1198,4646,4491,3407,1239,3720,17503,0.0
50,53,46,33,64,58,46,23,2264,2264,2264,2263,2264,2262,2264,2262,59,1198,4799,4799,3405,1238,3720,17961,0.0
9,33,18,36,58,50,27,28,2262,2264,2264,2262,2264,2264,2264,2264,86,1198,6342,4795,3557,1392,3800,19886,0.0
30,53,50,33,63,53,42,33,2261,2267,2266,2264,2264,2265,2265,2262,80,1236,6958,4947,3710,1391,3840,20846,0.0
36,66,33,27,46,46,0,35,2264,2264,2262,2262,2264,2262,2264,2264,98,1236,7728,4791,3709,1545,3880,21653,0.0
25,18,61,71,25,33,41,33,2263,2263,2262,2262,2264,2263,2264,2262,98,1377,8957,4941,3860,1544,3953,23255,0.0
18,25,33,27,25,42,33,54,2264,2260,2264,2264,2262,2264,2263,2264,61,1377,10184,4785,3859,1698,3993,24519,0.0
30,16,45,16,16,30,66,41,2264,2262,2264,2261,2262,2264,2268,2264,17,1377,11105,4629,4011,1697,3993,25435,0.0
23,0,41,16,8,33,66,41,2264,2262,2259,2264,2262,2256,2265,2262,68,1377,11722,4472,4010,1696,3993,25893,0.0
30,16,63,50,9,33,38,66,2263,2262,2261,2257,2264,2264,2258,2264,26,1377,12179,4625,4008,1850,4033,26695,0.0
57,16,41,66,25,8,25,50,2263,2263,2264,2261,2262,2264,2264,2255,43,1377,12488,4625,4008,1850,4033,27004,0.0
45,8,18,69,25,16,18,41,2264,2263,2263,2264,2259,2263,2263,2263,74,1377,12791,4625,4162,1850,4033,27461,0.0
58,33,50,36,18,0,0,41,2264,2264,2264,2264,2264,2262,2257,2258,22,1377,12945,4471,4162,1850,4033,27461,0.0
25,16,53,50,57,28,7,46,2264,2264,2264,2264,2258,2264,2264,2265,61,1377,13099,4471,4161,1849,4033,27613,0.0
9,8,30,84,50,25,0,53,2264,2265,2264,2264,2264,2262,2263,2264,91,1377,13099,4471,4161,1849,4033,27613,0.0
25,25,18,81,23,15,33,36,2264,2264,2264,2264,2263,2264,2268,2264,35,1377,13253,4469,4161,1849,4033,27765,0.0
33,21,0,35,70,20,33,46,2264,2262,2262,2261,2264,2264,2261,2263,83,1377,13253,4316,4161,1849,4033,27612,0.0
76,25,7,30,42,28,23,35,2263,2263,2265,2264,2267,2262,2259,2264,38,1377,13104,4316,4162,1849,4033,27464,0.0
42,50,0,27,16,25,58,27,2265,2265,2263,2264,2263,2264,2263,2258,97,1377,13259,4162,4162,1850,4033,27466,0.0
50,50,9,35,23,25,30,41,2266,2262,2269,2265,2264,2263,2263,2263,98,1377,13104,4162,4008,1850,4033,27157,0.0
50,23,25,8,72,23,0,36,2263,2264,2263,2263,2265,2264,2256,2264,98,1377,13104,4162,4008,1850,4033,27157,0.0
41,45,21,33,76,25,0,41,2264,2264,2262,2263,2262,2264,2263,2264,58,1377,13253,4316,4008,1850,4033,27460,0.0
33,25,45,25,45,50,23,46,2261,2262,2266,2264,2263,2264,2261,2262,79,1377,13407,4469,4161,1849,4033,27919,0.0
66,30,8,9,15,50,30,41,2259,2260,2260,2264,2263,2263,2264,2264,39,1377,13407,4315,4161,1849,4033,27765,0.0
54,69,16,9,25,30,9,50,2264,2263,2262,2262,2264,2262,2263,2263,44,1377,13407,4315,4161,1849,4033,27765,0.0
16,72,16,30,16,50,15,41,2263,2265,2264,2264,2264,2264,2260,2263,26,1377,13407,4315,4161,1849,4033,27765,0.0
57,38,16,8,23,53,25,41,2264,2265,2264,2265,2264,2263,2262,2265,37,1377,13407,4315,4161,1849,4033,27765,0.0
57,61,9,25,46,18,41,0,2264,2264,2264,2263,2260,2265,2264,2263,72,1377,13407,4315,4161,1849,4033,27765,0.0
18,69,21,36,61,25,41,8,2264,2264,2264,2265,2264,2265,2262,2263,18,1377,13407,4315,4161,1849,4033,27765,0.0
7,27,9,78,38,8,41,23,2265,2261,2265,2262,2262,2264,2262,2264,67,1377,13407,4315,4161,1849,4033,27765,0.0
9,41,54,69,23,23,8,41,2264,2264,2264,2264,2264,2264,2259,2264,98,1377,13253,4161,4161,1849,4033,27457,0.0
8,33,53,66,0,16,9,46,2262,2262,2262,2264,2264,2264,2264,2263,67,1377,13253,4161,4161,1849,4033,27457,0.0
28,8,66,30,38,16,15,41,2263,2262,2263,2263,2263,2264,2264,2262,98,1377,13253,4161,4161,1849,4033,27457,0.0
46,15,46,8,30,18,15,30,2264,2264,2263,2260,2267,2263,2261,2263,98,1377,13561,4006,4161,1849,4073,27650,0.0
9,45,41,0,23,16,23,25,2263,2264,2264,2260,2263,2263,2270,2263,45,1377,14178,3851,4159,1849,4073,28110,0.0
25,50,50,0,8,0,30,21,2263,2262,2262,2264,2261,2264,2264,2263,76,1377,14326,3698,4161,1849,4073,28107,0.0
20,57,41,0,0,15,23,16,2265,2264,2264,2263,2263,2263,2263,2264,98,1377,14480,3697,4159,2002,4073,28411,0.0
18,69,41,15,8,16,18,18,2262,2264,2266,2265,2262,2259,2260,2262,44,1377,14634,3697,4313,2002,4113,28759,0.0
35,45,50,0,30,16,46,28,2261,2264,2263,2264,2263,2264,2263,2264,69,1377,14942,3697,4313,2002,4113,29067,0.0
27,50,33,38,8,33,9,18,2263,2264,2263,2264,2264,2263,2264,2264,98,1377,14634,3851,4159,2002,4113,28759,0.0
58,9,35,36,0,16,16,8,2264,2264,2264,2262,2264,2264,2262,2263,42,1377,14782,3697,4313,2002,4113,28907,0.0
42,38,58,16,23,18,15,23,2262,2260,2264,2262,2262,2264,2266,2262,50,1377,15090,3697,4311,2001,4113,29212,0.0
50,20,45,23,8,15,16,8,2264,2264,2262,2264,2264,2264,2263,2263,66,1377,15090,3697,4313,2002,4113,29215,0.0
25,46,58,18,8,0,8,15,2264,2264,2264,2264,2263,2264,2263,2267,98,1377,14942,3697,4313,2002,4113,29067,0.0
23,41,58,23,0,15,9,8,2262,2260,2264,2264,2264,2268,2264,2262,42,1377,15096,3543,4313,2002,4113,29067,0.0
38,45,58,25,23,23,9,23,2264,2262,2262,2263,2261,2264,2264,2264,68,1377,15244,3543,4313,2002,4113,29215,0.0
50,23,46,18,15,0,21,15,2263,2263,2263,2272,2264,2263,2264,2263,73,1377,14942,3543,4159,2002,4073,28719,0.0
54,0,54,23,25,9,15,9,2264,2262,2264,2255,2263,2258,2258,2263,75,1377,14634,3544,4161,2003,4073,28415,0.0
50,0,58,18,16,16,0,15,2263,2264,2264,2264,2264,2263,2262,2261,76,1377,14634,3544,4313,2002,4113,28606,0.0
57,30,69,25,33,14,9,8,2262,2264,2264,2263,2264,2263,2264,2263,52,1377,14788,3543,4313,2002,4113,28759,0.0
33,100,61,46,18,15,8,15,2264,2260,2263,2263,2264,2266,2264,2264,98,1377,14782,4005,4313,2002,4113,29215,0.0
41,100,35,18,38,16,66,25,2262,2264,2263,2264,2265,2264,2264,2263,74,1377,14628,4311,4313,2001,4113,29366,0.0
15,100,18,18,41,25,58,0,2264,2264,2264,2257,2264,2264,2265,2265,97,1377,14474,4773,4311,2001,4113,29672,0.0
16,100,16,30,46,8,58,23,2265,2264,2262,2263,2264,2262,2264,2264,37,1377,14776,4927,4311,2000,4113,30127,0.0
36,100,9,30,27,25,54,16,2264,2263,2263,2261,2263,2261,2263,2263,46,1377,14930,5079,4309,2000,4113,30431,0.0
15,100,25,33,50,46,46,69,2264,2265,2263,2264,2264,2264,2264,2265,74,1377,14924,5387,4309,2000,4113,30733,0.0
27,100,33,18,41,27,30,58,2265,2264,2263,2264,2264,2265,2264,2265,88,1377,14622,5695,4309,2000,4113,30739,0.0
0,100,16,25,18,41,33,50,2265,2264,2264,2265,2263,2267,2264,2265,44,1377,14924,5538,4307,2000,4113,30882,0.0
28,100,25,18,30,50,27,41,2264,2264,2264,2260,2266,2260,2264,2264,44,1377,14924,5692,4307,2000,4113,31036,0.0
0,100,16,16,50,25,25,50,2264,2264,2263,2264,2264,2264,2264,2265,59,1377,14924,5538,4307,2000,4113,30882,0.0
23,100,15,23,23,38,0,54,2265,2262,2265,2264,2263,2264,2264,2264,94,1377,14770,5538,4309,2000,4113,30730,0.0
18,100,9,9,18,27,25,57,2262,2264,2264,2264,2264,2264,2263,2265,38,1377,14924,5538,4307,2000,4113,30882,0.0
8,58,38,16,30,30,36,20,2264,2263,2265,2262,2263,2264,2263,2261,41,1377,15077,5233,4309,2000,4233,30852,0.0
46,8,61,33,18,25,35,58,2262,2264,2265,2261,2264,2265,2263,2257,60,1377,14930,5079,4309,2000,4273,30591,0.0
