CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
23,8,18,25,92,27,38,50,2259,2259,2258,2254,2258,2260,2260,2260,16,828,928,4952,2940,1393,773,3685,14671
90,18,35,23,46,23,25,58,2260,2260,2257,2260,2259,2259,2261,2261,20,828,928,5104,3093,1392,928,3725,15170
27,25,33,18,46,50,100,16,2256,2258,2258,2260,2260,2260,2260,2259,18,828,928,5104,3093,1392,928,3725,15170
46,35,33,27,50,41,100,9,2260,2260,2260,2260,2260,2260,2260,2260,28,828,1082,5259,3093,1392,928,3725,15479
38,8,21,16,8,8,100,0,2258,2259,2257,2259,2262,2258,2257,2254,4,828,928,4952,2940,1393,773,3685,14671
0,0,7,16,0,0,100,0,2258,2258,2260,2259,2262,2259,2258,2256,5,828,928,4334,2941,1393,774,3645,14015
8,8,15,16,8,0,100,0,2259,2257,2253,2249,2258,2257,2253,2258,3,828,774,4026,2787,1394,774,3605,13360
8,0,8,8,7,8,100,0,2260,2259,2258,2259,2259,2259,2260,2258,3,828,774,3718,2787,1394,619,3605,12897
0,0,9,8,8,0,92,7,2261,2257,2258,2257,2259,2260,2261,2259,0,675,774,3408,2788,1240,619,3605,12434
7,8,0,0,8,8,100,0,2258,2255,2258,2260,2252,2259,2257,2257,1,624,775,3255,2790,1240,620,3571,12251
23,16,25,35,15,0,100,25,2260,2259,2258,2256,2255,2262,2254,2259,16,624,775,3410,2788,1240,620,3571,12404
16,30,20,18,16,15,100,9,2259,2259,2260,2259,2255,2259,2260,2260,3,624,774,3873,2788,1085,619,3571,12710
18,9,25,9,16,9,100,27,2260,2255,2257,2258,2259,2258,2259,2251,4,624,774,3873,2788,1085,619,3571,12710
15,8,15,0,0,0,100,15,2260,2261,2259,2258,2257,2251,2257,2255,0,624,620,3720,2634,1085,620,3565,12244
16,15,8,8,0,23,100,7,2257,2258,2258,2258,2260,2258,2260,2259,6,624,620,3565,2635,1085,620,3565,12090
15,0,0,0,16,9,75,0,2259,2259,2258,2258,2258,2260,2259,2259,2,624,620,3410,2635,1085,620,3571,11941
0,0,8,8,0,0,80,0,2263,2257,2258,2257,2257,2256,2256,2257,7,624,620,3100,2635,1085,620,3571,11631
8,8,7,8,7,7,76,0,2257,2249,2258,2255,2260,2255,2258,2258,6,624,620,2945,2635,1240,465,3525,11430
8,15,0,15,0,18,81,0,2262,2256,2260,2259,2261,2260,2258,2260,4,624,620,2945,2635,1240,465,3531,11436
18,16,8,38,21,8,81,8,2257,2257,2255,2258,2259,2258,2257,2257,4,624,620,3255,2635,1240,465,3525,11740
25,8,36,9,33,41,83,0,2258,2257,2258,2258,2256,2264,2260,2257,9,624,619,3408,2634,1240,619,3571,12091
8,8,7,0,9,8,80,0,2258,2260,2258,2255,2260,2259,2258,2258,4,624,620,3255,2634,1085,465,3531,11590
0,0,8,7,15,0,91,0,2258,2259,2258,2255,2256,2257,2257,2254,0,624,620,3100,2635,1085,620,3525,11585
0,8,8,0,0,7,92,0,2258,2254,2258,2258,2257,2252,2258,2260,1,624,620,2945,2635,1085,465,3531,11281
20,15,8,0,0,0,76,0,2259,2258,2256,2253,2258,2257,2255,2259,1,624,620,2790,2635,1085,465,3531,11126
0,7,0,7,0,8,91,0,2259,2258,2258,2259,2258,2260,2260,2258,2,624,620,2790,2635,1085,465,3531,11126
83,76,83,76,91,76,90,90,2258,2260,2259,2261,2258,2259,2260,2258,4,624,619,4181,2632,1084,619,3605,12740
25,9,18,41,16,23,7,83,2260,2259,2258,2258,2257,2258,2258,2260,2,624,619,4336,2787,1084,619,3725,13170
33,23,35,0,54,36,0,92,2260,2258,2258,2257,2255,2259,2261,2255,15,624,619,4491,2787,1084,619,3725,13325
25,18,0,9,53,16,0,41,2259,2256,2258,2259,2258,2258,2258,2259,14,624,774,4489,2786,1084,619,3725,13477
20,16,76,25,54,38,50,41,2259,2258,2258,2258,2261,2260,2260,2259,25,624,773,4952,2940,1238,773,3766,14442
41,25,61,58,41,58,63,45,2260,2260,2258,2257,2258,2260,2259,2261,68,828,928,5568,3093,1392,928,3766,15675
63,57,45,50,57,58,41,38,2260,2260,2258,2259,2259,2259,2258,2258,25,828,1082,5875,3092,1392,927,3806,16174
50,50,33,63,25,16,61,50,2258,2260,2261,2260,2259,2261,2262,2260,26,828,1236,6027,3245,1546,1081,3806,16941
27,38,66,61,50,25,41,58,2261,2260,2258,2260,2263,2261,2256,2260,62,828,1236,6334,3244,1545,1081,3846,17286
33,41,33,30,50,50,18,41,2261,2260,2258,2258,2259,2259,2257,2261,64,828,1236,6179,3244,1545,1081,3806,17091
50,50,30,18,75,42,50,61,2259,2260,2258,2259,2260,2259,2259,2260,29,828,1391,6179,3244,1545,1081,3806,17246
36,11,18,54,58,60,25,45,2262,2259,2258,2259,2259,2260,2262,2259,12,828,1391,6182,3245,1546,1081,3806,17251
27,30,41,25,36,41,20,33,2257,2259,2259,2259,2261,2260,2260,2255,11,828,1236,6182,3245,1546,1081,3806,17096
38,27,36,33,33,45,33,16,2260,2257,2260,2258,2259,2258,2258,2259,11,828,1236,5873,3245,1546,1082,3806,16788
33,50,27,20,33,33,38,16,2259,2258,2258,2258,2260,2257,2260,2259,14,828,1236,5721,3247,1701,1082,3806,16793
18,50,35,46,30,7,45,41,2260,2258,2258,2260,2257,2260,2256,2257,6,828,1236,5411,3247,1701,1082,3806,16483
8,33,46,18,25,25,58,25,2259,2251,2260,2258,2256,2256,2257,2258,8,828,1237,5411,3247,1701,1082,3766,16444
27,53,58,50,25,30,18,41,2259,2261,2260,2259,2258,2260,2260,2261,10,828,1237,5257,3247,1701,1082,3766,16290
25,41,46,50,20,46,33,61,2259,2260,2255,2260,2260,2262,2259,2257,20,828,1237,5411,3247,1546,1082,3766,16289
18,38,41,30,46,33,36,18,2260,2258,2259,2259,2262,2252,2260,2261,17,828,1237,5257,3247,1701,1082,3806,16330
38,18,8,25,27,41,57,38,2259,2258,2254,2257,2258,2254,2256,2260,3,828,1237,5104,3248,1701,1082,3806,16178
33,41,16,10,50,58,36,20,2261,2258,2261,2258,2260,2254,2261,2260,24,828,1237,5104,3248,1702,1082,3806,16179
35,10,25,27,46,41,45,46,2259,2256,2260,2257,2261,2260,2261,2259,16,828,1237,5104,3248,1702,1082,3806,16179
22,25,27,38,50,45,41,58,2260,2258,2259,2259,2253,2260,2260,2259,21,828,1237,5104,3247,1701,1082,3806,16177
42,30,42,30,25,33,58,33,2259,2260,2259,2260,2258,2259,2260,2259,10,828,1237,5102,3247,1701,1082,3806,16175
46,18,23,18,40,46,45,36,2259,2260,2257,2260,2257,2259,2258,2260,9,828,1237,5102,3247,1701,1082,3806,16175
46,23,25,25,66,36,42,50,2259,2261,2259,2260,2258,2260,2259,2258,10,828,1236,5257,3247,1701,1082,3806,16329
41,50,53,41,53,50,36,57,2260,2259,2261,2258,2256,2259,2257,2259,16,828,1236,5411,3247,1701,1082,3806,16483
27,16,50,35,40,46,42,25,2259,2260,2259,2261,2255,2258,2254,2259,16,828,1236,5257,3247,1701,1082,3846,16369
25,33,30,9,46,58,8,27,2258,2258,2258,2259,2259,2253,2256,2260,5,828,1237,5102,3247,1701,1082,3806,16175
46,25,33,16,45,58,21,23,2259,2258,2257,2259,2257,2256,2261,2255,12,828,1237,4947,3248,1701,1082,3806,16021
58,38,9,23,76,50,23,25,2262,2260,2256,2259,2259,2260,2260,2260,8,828,1237,5102,3248,1701,1082,3806,16176
41,0,36,45,53,40,25,35,2260,2260,2260,2258,2258,2260,2259,2258,7,828,1237,4950,3248,1702,1082,3806,16025
54,38,58,41,50,42,28,25,2259,2260,2259,2259,2258,2258,2257,2257,17,828,1237,5102,3248,1701,1082,3806,16176
54,36,41,33,38,69,42,36,2260,2260,2257,2259,2260,2258,2257,2259,7,828,1236,5411,3247,1701,1082,3806,16483
60,50,18,16,50,46,27,30,2259,2258,2258,2259,2259,2257,2260,2267,20,828,1237,5411,3247,1546,1082,3806,16329
25,50,8,15,58,36,16,23,2261,2259,2258,2255,2258,2259,2258,2258,16,828,1237,5104,3248,1702,1082,3806,16179
46,41,30,18,23,46,16,33,2259,2258,2249,2259,2259,2258,2260,2258,18,828,1237,4795,3248,1702,1082,3806,15870
33,25,20,38,46,30,50,41,2260,2257,2259,2257,2259,2259,2258,2256,13,828,1237,4950,3248,1702,1082,3806,16025
30,18,23,27,41,46,41,30,2259,2259,2258,2256,2256,2259,2260,2260,7,828,1237,4795,3248,1702,1082,3806,15870
18,53,16,30,16,33,53,27,2260,2258,2259,2260,2260,2260,2259,2257,15,828,1237,4795,3248,1702,1083,3806,15871
25,33,20,18,8,36,30,41,2259,2261,2255,2260,2260,2261,2260,2260,5,828,1238,4640,3248,1702,1083,3806,15717
45,30,30,25,25,41,27,64,2258,2258,2259,2259,2259,2258,2259,2259,18,828,1237,4950,3248,1702,1082,3806,16025
42,45,30,38,25,64,61,38,2260,2261,2260,2259,2260,2260,2260,2260,15,675,1237,5259,3247,1702,1082,3806,16333
50,33,53,36,53,61,45,30,2261,2257,2259,2257,2261,2259,2256,2254,15,675,1237,5257,3247,1546,1082,3806,16175
30,42,41,28,53,69,33,9,2259,2258,2259,2259,2259,2260,2257,2255,6,675,1237,5257,3247,1701,1082,3806,16330
57,25,58,33,41,41,25,30,2259,2258,2260,2259,2259,2257,2260,2259,17,675,1082,5259,3247,1546,1082,3806,16022
30,30,33,54,46,33,28,25,2260,2260,2258,2260,2259,2259,2260,2259,20,675,1082,5104,3247,1547,1082,3806,15868
33,41,58,25,50,15,9,0,2260,2259,2252,2259,2258,2256,2250,2260,4,675,1082,4950,3248,1702,1082,3806,15870
41,45,27,30,30,41,41,23,2259,2257,2259,2260,2259,2255,2260,2257,26,675,1082,4950,3248,1702,1082,3766,15830
41,38,40,40,33,50,53,30,2260,2260,2260,2257,2256,2258,2259,2260,12,675,1082,4950,3248,1547,1082,3766,15675
45,36,54,42,35,60,64,53,2259,2260,2260,2259,2261,2259,2258,2260,6,675,1082,5257,3247,1701,1082,3806,16175
25,28,41,25,33,36,53,27,2260,2260,2260,2260,2259,2256,2260,2252,6,675,1082,5104,3248,1702,1082,3806,16024
25,18,30,45,46,15,36,46,2233,2260,2261,2260,2260,2259,2260,2257,24,675,1082,5104,3248,1702,1082,3806,16024
20,46,45,41,50,46,46,50,2260,2260,2260,2260,2259,2259,2258,2258,15,675,1082,5104,3248,1702,1082,3806,16024
50,46,23,20,38,30,50,50,2260,2259,2251,2260,2259,2260,2259,2259,7,675,1082,5259,3248,1702,1082,3806,16179
38,50,38,35,46,25,66,30,2255,2259,2260,2251,2258,2258,2257,2256,28,675,1082,5104,3248,1547,1082,3806,15869
