CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
57,46,69,66,0,0,0,0,1187,1186,1186,1187,0,0,0,0,5,675,622,933,1400,778,622,3009,7364
60,58,84,100,0,0,0,0,1186,1187,1188,1187,0,0,0,0,5,675,777,1089,1555,778,622,3009,7830
66,64,83,71,0,0,0,0,1186,1186,1187,1187,0,0,0,0,5,675,777,1244,1555,777,622,3009,7984
50,33,75,53,0,0,0,0,1186,1187,1187,1188,0,0,0,0,4,675,777,1089,1555,777,622,3009,7829
76,60,69,42,0,0,0,0,1185,1186,1187,1186,0,0,0,0,9,675,777,1089,1555,777,622,3009,7829
36,54,27,45,0,0,0,0,1186,1187,1187,1183,0,0,0,0,11,675,777,1089,1555,777,777,3049,8024
50,38,58,85,0,0,0,0,1186,1186,1187,1186,0,0,0,0,5,675,777,1089,1555,777,777,3049,8024
64,41,66,66,0,0,0,0,1187,1188,1188,1187,0,0,0,0,5,675,777,1089,1555,777,777,3049,8024
54,33,64,92,0,0,0,0,1187,1186,1187,1184,0,0,0,0,5,675,777,1089,1555,777,777,3049,8024
84,58,53,46,0,0,0,0,1186,1187,1187,1186,0,0,0,0,9,675,777,1089,1555,933,777,3049,8180
50,57,54,78,0,0,0,0,1184,1186,1188,1184,0,0,0,0,8,675,777,1089,1555,777,777,3049,8024
57,33,66,69,0,0,0,0,1187,1187,1187,1188,0,0,0,0,4,675,777,1089,1555,778,777,3049,8025
25,58,81,50,0,0,0,0,1186,1186,1187,1185,0,0,0,0,11,675,777,1089,1555,933,777,3049,8180
90,53,41,36,0,0,0,0,1186,1187,1186,1187,0,0,0,0,4,675,777,1089,1555,933,777,3049,8180
84,45,46,71,0,0,0,0,1187,1186,1186,1187,0,0,0,0,3,675,777,1089,1555,933,777,3049,8180
71,69,50,38,0,0,0,0,1187,1186,1187,1188,0,0,0,0,4,675,777,1244,1555,933,777,3049,8335
66,66,53,42,0,0,0,0,1186,1187,1186,1186,0,0,0,0,9,675,777,1089,1555,778,777,3049,8025
