CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
35,23,50,45,23,63,16,33,2258,2257,2256,2257,2257,2257,2258,2257,6,1377,1552,3260,2794,1397,621,3451,13075,,"15824,5192802057"
45,25,33,30,0,8,42,45,2257,2257,2256,2256,2262,2258,2258,2259,6,1377,1707,3569,2948,1397,776,3491,13888,,
8,27,25,25,8,25,30,50,2256,2256,2261,2257,2258,2258,2258,2256,3,1377,1861,3568,2947,1552,775,3491,14194,,
15,50,25,9,41,8,23,46,2256,2255,2257,2257,2255,2257,2257,2253,8,1377,1861,3723,3102,1552,930,3531,14699,,
9,38,25,15,41,15,28,53,2257,2258,2253,2257,2256,2256,2255,2257,8,1377,1861,3721,3101,1706,930,3531,14850,,
15,25,25,8,46,16,25,45,2257,2257,2254,2258,2257,2251,2257,2255,7,1377,2015,3876,3101,1706,930,3531,15159,,
8,38,30,16,41,15,9,58,2258,2257,2255,2257,2257,2257,2257,2256,8,1377,2015,3876,3101,1706,930,3571,15199,,
18,20,38,15,41,0,20,33,2257,2258,2259,2258,2257,2260,2258,2257,8,1377,2015,3876,3101,1706,930,3571,15199,,
16,30,25,16,41,38,38,8,2258,2257,2256,2257,2258,2257,2258,2257,6,1377,2015,3876,3256,1706,930,3571,15354,,
50,61,30,16,46,0,0,0,2256,2256,2256,2250,2258,2256,2257,2256,5,1377,2171,3876,3256,1706,930,3571,15510,,
15,27,20,18,40,8,41,27,2259,2257,2257,2257,2256,2254,2257,2257,5,1377,2015,3876,3256,1706,1085,3571,15509,,
8,33,18,16,46,8,27,46,2256,2258,2257,2253,2257,2257,2257,2257,5,1377,2171,3876,3256,1706,930,3571,15510,,
25,38,30,16,46,0,16,45,2257,2253,2256,2257,2257,2257,2257,2257,5,1377,2171,3876,3256,1706,930,3571,15510,,
16,33,9,27,36,14,41,30,2257,2257,2254,2260,2257,2256,2255,2257,5,1377,2171,3876,3256,1706,1085,3571,15665,,
23,27,16,42,41,0,41,25,2257,2256,2258,2257,2256,2257,2257,2258,5,1377,2015,3876,3256,1706,1085,3571,15509,,
8,33,9,38,41,0,33,41,2257,2256,2257,2257,2256,2254,2259,2258,5,1377,2015,3876,3256,1861,1085,3571,15664,,
0,46,23,20,41,0,46,33,2255,2254,2258,2256,2257,2256,2257,2257,7,1377,2015,3876,3256,1861,1085,3571,15664,,
21,41,23,30,46,7,38,46,2256,2257,2257,2258,2257,2256,2256,2257,8,1377,2015,3876,3256,1861,1085,3571,15664,,
9,33,16,25,27,36,18,30,2257,2258,2258,2256,2258,2258,2257,2258,6,1377,2015,3876,3256,1861,1085,3571,15664,,
18,30,16,25,46,41,9,0,2259,2258,2256,2262,2257,2259,2257,2256,6,1377,2015,3876,3256,1861,1085,3571,15664,,
40,46,23,25,23,0,41,0,2260,2258,2258,2259,2258,2258,2256,2261,7,1377,2171,3876,3256,1861,1085,3571,15820,,
53,50,33,25,18,0,53,14,2259,2257,2255,2258,2257,2248,2258,2258,5,1377,2171,3876,3256,1861,1085,3571,15820,,
38,18,33,15,23,25,18,27,2258,2258,2257,2258,2254,2258,2257,2256,5,1377,2171,3876,3256,1861,1085,3571,15820,,
33,75,33,25,0,0,15,36,2256,2254,2249,2258,2257,2255,2257,2257,6,1377,2171,3876,3256,1861,1085,3611,15860,,
25,61,16,38,0,7,8,41,2257,2261,2258,2257,2258,2258,2258,2257,8,1377,2015,3876,3256,1861,1085,3571,15664,,
42,69,33,18,0,0,0,41,2259,2257,2257,2258,2257,2257,2256,2258,4,1377,2171,3876,3256,1861,930,3571,15665,,
18,83,27,16,8,0,15,46,2258,2257,2254,2261,2260,2258,2258,2258,3,1377,2171,3876,3256,1705,930,3611,15549,,
33,63,38,16,0,9,7,41,2257,2255,2256,2258,2257,2257,2258,2255,3,1377,2015,3876,3256,1705,930,3611,15393,,
27,23,25,9,46,36,8,41,2255,2256,2257,2256,2258,2257,2256,2257,9,1377,2015,3875,3256,1705,1085,3611,15547,,
36,8,25,16,45,25,0,41,2257,2258,2257,2258,2258,2256,2258,2257,9,1377,2171,3876,3256,1860,1085,3611,15859,,
42,0,33,16,33,50,7,41,2256,2255,2256,2258,2250,2257,2255,2255,9,1377,2171,3876,3256,1860,1085,3611,15859,,
36,0,25,15,53,9,8,50,2257,2258,2257,2260,2258,2258,2258,2258,10,1377,2171,3876,3255,1860,1085,3611,15858,,
33,8,33,9,10,58,7,36,2257,2257,2256,2257,2258,2258,2258,2257,5,1377,2171,3876,3255,1860,1085,3611,15858,,
40,8,25,18,9,58,0,45,2258,2257,2258,2257,2258,2258,2258,2258,4,1377,2171,3876,3255,1860,1085,3611,15858,,
38,0,18,30,41,25,0,41,2257,2256,2259,2258,2258,2256,2255,2259,4,1377,2171,3876,3255,1860,1085,3611,15858,,
41,9,9,27,27,50,7,46,2258,2257,2257,2258,2258,2259,2258,2258,4,1377,2171,3876,3255,1860,1085,3611,15858,,
23,23,23,18,38,41,0,41,2259,2257,2258,2257,2258,2254,2256,2258,4,1377,2171,3876,3256,1860,1085,3611,15859,,
27,0,16,25,38,41,14,36,2258,2255,2254,2256,2259,2259,2259,2258,9,1377,2171,3876,3256,1860,1085,3611,15859,,
50,23,9,25,50,16,0,57,2258,2256,2258,2259,2257,2259,2258,2256,9,1377,2171,3876,3256,1860,1085,3611,15859,,
27,23,35,33,41,16,41,8,2257,2257,2258,2258,2257,2256,2258,2255,5,1377,2171,3876,3256,1860,1085,3611,15859,,
25,50,9,25,7,7,41,45,2258,2258,2258,2256,2258,2258,2257,2254,3,1377,2171,3876,3256,1860,1085,3611,15859,,
36,33,16,33,16,0,64,15,2259,2258,2257,2257,2257,2257,2257,2258,6,1377,2015,3876,3256,1861,1085,3611,15704,,
50,16,9,27,27,0,38,33,2257,2258,2258,2258,2258,2258,2258,2257,6,1377,2015,3876,3256,1861,1085,3611,15704,,
8,46,16,30,41,0,27,41,2257,2257,2257,2258,2257,2257,2257,2257,3,1377,2015,3876,3256,1861,1085,3611,15704,,
36,16,23,25,38,14,54,30,2256,2256,2257,2256,2253,2258,2257,2258,4,1377,2015,3876,3256,1861,1085,3611,15704,,
8,41,16,33,33,0,38,41,2256,2257,2257,2258,2257,2258,2256,2257,4,1377,2015,3876,3256,1861,1085,3611,15704,,
50,0,16,25,30,7,63,25,2255,2256,2257,2259,2258,2257,2258,2260,4,1377,2015,3876,3256,1706,930,3611,15394,,
50,21,16,33,33,7,50,8,2256,2256,2256,2258,2257,2256,2257,2257,5,1377,2015,3876,3256,1706,930,3571,15354,,
16,45,16,30,33,8,50,33,2257,2258,2258,2257,2257,2258,2257,2255,8,1377,2015,3876,3256,1706,930,3571,15354,,
8,41,16,27,33,8,54,16,2258,2256,2259,2255,2257,2257,2255,2257,8,1377,2015,3876,3256,1706,1085,3611,15549,,
8,41,23,30,41,8,46,38,2256,2254,2257,2256,2258,2257,2263,2258,6,1377,2015,4031,3256,1706,1085,3571,15664,,
16,36,16,27,25,0,18,45,2258,2257,2257,2256,2260,2257,2254,2250,5,1377,2015,4031,3256,1861,1085,3611,15859,,
45,8,16,25,27,8,41,42,2257,2256,2259,2257,2256,2256,2255,2257,7,1377,2015,4031,3256,1861,1085,3611,15859,,
38,46,16,25,41,27,27,25,2258,2258,2257,2256,2249,2257,2256,2258,9,1377,2015,4031,3256,1861,1085,3611,15859,,
9,50,0,27,58,53,8,9,2256,2252,2258,2256,2257,2255,2256,2258,7,1377,2015,4031,3256,1706,1085,3611,15704,,
15,46,7,25,63,53,0,15,2257,2258,2257,2256,2257,2258,2257,2251,6,1377,2015,4031,3256,1706,1085,3611,15704,,
15,45,0,33,58,36,15,9,2258,2259,2256,2258,2256,2248,2256,2258,6,1377,2015,4031,3256,1861,1085,3611,15859,,
0,45,9,25,41,50,9,16,2257,2258,2256,2256,2256,2257,2258,2257,5,1377,2015,4031,3256,1861,1085,3611,15859,,
50,0,18,41,33,41,15,16,2257,2258,2257,2257,2258,2256,2258,2258,9,1377,2015,4031,3256,1706,1085,3611,15704,,
53,8,35,38,50,10,15,25,2258,2263,2258,2258,2257,2255,2253,2259,6,1377,2015,4031,3256,1706,1085,3611,15704,,
41,8,25,27,10,53,8,16,2257,2258,2258,2257,2257,2257,2258,2257,6,1377,2015,3876,3256,1861,1085,3611,15704,,
