CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
92,41,41,57,0,0,0,0,1188,1187,1187,1186,0,0,0,0,7,675,777,933,1555,778,622,3009,7674
83,58,69,61,0,0,0,0,1187,1186,1187,1187,0,0,0,0,5,675,777,1089,1555,778,622,3009,7830
71,61,76,58,0,0,0,0,1187,1185,1186,1187,0,0,0,0,9,675,777,1089,1555,778,622,3009,7830
53,66,46,73,0,0,0,0,1186,1187,1186,1187,0,0,0,0,7,675,777,1089,1555,778,622,3009,7830
53,53,61,50,0,0,0,0,1187,1187,1187,1188,0,0,0,0,11,675,777,1089,1555,778,777,3049,8025
50,53,57,73,0,0,0,0,1188,1187,1187,1186,0,0,0,0,6,675,777,1089,1555,777,777,3049,8024
60,53,81,42,0,0,0,0,1187,1188,1188,1188,0,0,0,0,8,675,777,1089,1555,778,777,3049,8025
75,53,53,50,0,0,0,0,1188,1186,1187,1188,0,0,0,0,8,675,777,1089,1555,778,777,3049,8025
50,53,41,71,0,0,0,0,1188,1189,1187,1184,0,0,0,0,11,675,777,1089,1555,778,777,3049,8025
72,66,50,50,0,0,0,0,1187,1189,1186,1188,0,0,0,0,11,675,777,1089,1555,778,777,3049,8025
58,38,72,69,0,0,0,0,1187,1188,1186,1188,0,0,0,0,5,675,777,1089,1555,933,777,3049,8180
45,58,53,75,0,0,0,0,1187,1187,1188,1188,0,0,0,0,2,675,777,1089,1555,933,777,3049,8180
53,61,75,64,0,0,0,0,1187,1185,1187,1188,0,0,0,0,9,675,777,1089,1555,778,777,3049,8025
46,50,58,71,0,0,0,0,1189,1188,1187,1185,0,0,0,0,5,675,777,1089,1555,778,777,3049,8025
64,38,61,27,0,0,0,0,1188,1187,1187,1188,0,0,0,0,11,675,777,1089,1555,933,777,3049,8180
46,58,53,75,0,0,0,0,1188,1186,1188,1188,0,0,0,0,5,675,777,1089,1555,933,777,3049,8180
61,75,53,50,0,0,0,0,1187,1188,1188,1188,0,0,0,0,5,675,777,1089,1555,933,777,3049,8180
50,53,58,72,0,0,0,0,1187,1187,1187,1188,0,0,0,0,5,675,777,1089,1555,933,777,3049,8180
63,45,61,66,0,0,0,0,1187,1187,1186,1189,0,0,0,0,6,675,777,1089,1555,778,777,3049,8025
71,42,61,46,0,0,0,0,1186,1185,1187,1188,0,0,0,0,8,675,777,1089,1555,933,777,3049,8180
33,41,80,69,0,0,0,0,1188,1187,1187,1185,0,0,0,0,11,675,777,1089,1555,933,777,3049,8180
66,41,18,61,0,0,0,0,1188,1186,1187,1186,0,0,0,0,5,675,777,1089,1555,778,777,3049,8025
60,30,57,80,0,0,0,0,1188,1189,1187,1186,0,0,0,0,8,675,777,1089,1555,778,777,3049,8025
69,46,53,50,0,0,0,0,1188,1188,1188,1190,0,0,0,0,7,675,777,1089,1555,778,777,3049,8025
53,53,46,50,0,0,0,0,1187,1188,1188,1188,0,0,0,0,11,675,777,1089,1555,933,777,3049,8180
