CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
33,83,58,58,0,0,0,0,1803,1804,1804,1802,0,0,0,0,3,905,777,1866,1866,933,622,3129,9193,,
61,69,50,45,0,0,0,0,1804,1801,1804,1804,0,0,0,0,3,905,933,2021,2021,1088,622,3170,9855,,
50,54,63,50,0,0,0,0,1804,1804,1804,1804,0,0,0,0,7,905,932,2020,2020,1088,777,3170,10007,,
45,66,45,35,0,0,0,0,1804,1804,1804,1802,0,0,0,0,8,905,932,2020,2020,1088,777,3210,10047,,
64,58,42,41,0,0,0,0,1805,1804,1804,1802,0,0,0,0,5,905,932,2020,2020,1088,777,3210,10047,,"10598,1575023299"
61,58,27,66,0,0,0,0,1804,1804,1805,1805,0,0,0,0,8,905,932,2020,2020,1088,777,3210,10047,,
53,50,57,53,0,0,0,0,1804,1804,1804,1804,0,0,0,0,7,905,932,2020,2020,1088,777,3210,10047,,
58,50,50,50,0,0,0,0,1804,1804,1804,1804,0,0,0,0,4,905,1088,2020,2020,1088,777,3250,10243,,
53,50,41,53,0,0,0,0,1804,1809,1804,1803,0,0,0,0,7,905,1088,2020,2020,1088,777,3210,10203,,
75,46,53,38,0,0,0,0,1804,1804,1803,1804,0,0,0,0,1,905,1088,2020,2020,1088,777,3250,10243,,
63,81,36,9,0,0,0,0,1804,1804,1806,1804,0,0,0,0,3,905,1088,2020,2020,1088,932,3250,10398,,
61,75,46,28,0,0,0,0,1804,1803,1799,1804,0,0,0,0,9,905,1088,2020,2020,1088,777,3250,10243,,
69,46,50,41,0,0,0,0,1804,1804,1804,1804,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
50,46,53,45,0,0,0,0,1807,1804,1804,1803,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
38,50,53,53,0,0,0,0,1801,1802,1808,1803,0,0,0,0,8,905,1088,2020,2020,1088,777,3250,10243,,
83,33,36,38,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,777,3210,10203,,
58,54,25,53,0,0,0,0,1804,1804,1805,1804,0,0,0,0,9,905,1088,2020,2020,1088,932,3250,10398,,
46,33,58,58,0,0,0,0,1803,1804,1804,1802,0,0,0,0,4,905,1088,2020,2020,1088,932,3250,10398,,
54,54,38,53,0,0,0,0,1804,1804,1804,1804,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
63,53,50,38,0,0,0,0,1804,1804,1804,1804,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
53,40,76,66,0,0,0,0,1803,1804,1804,1803,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
18,30,57,72,0,0,0,0,1803,1804,1804,1804,0,0,0,0,3,905,1088,2020,2176,1088,932,3250,10554,,
46,57,58,69,0,0,0,0,1804,1803,1804,1804,0,0,0,0,5,905,1088,2020,2020,1088,932,3250,10398,,
42,53,27,54,0,0,0,0,1804,1804,1806,1802,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
61,33,50,78,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
25,45,76,45,0,0,0,0,1804,1804,1806,1803,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
40,46,61,53,0,0,0,0,1803,1804,1805,1803,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
57,45,45,50,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
53,36,53,50,0,0,0,0,1804,1804,1801,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
58,64,45,33,0,0,0,0,1803,1804,1801,1804,0,0,0,0,4,905,1088,2020,2020,1088,932,3250,10398,,
58,58,45,33,0,0,0,0,1802,1801,1804,1807,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
54,54,58,16,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
57,80,53,38,0,0,0,0,1804,1804,1804,1804,0,0,0,0,7,905,1088,2020,2176,1088,932,3250,10554,,
66,36,46,35,0,0,0,0,1803,1803,1804,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
58,58,50,41,0,0,0,0,1805,1804,1804,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
69,71,50,28,0,0,0,0,1804,1806,1799,1804,0,0,0,0,1,905,1088,2020,2176,1088,932,3250,10554,,
38,36,61,69,0,0,0,0,1804,1802,1804,1805,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
66,63,50,25,0,0,0,0,1804,1804,1803,1803,0,0,0,0,9,905,1088,2020,2176,1088,932,3250,10554,,
58,75,46,8,0,0,0,0,1804,1801,1804,1803,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
41,53,71,50,0,0,0,0,1804,1801,1804,1804,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
41,50,63,36,0,0,0,0,1805,1804,1804,1804,0,0,0,0,3,905,1088,2020,2175,1088,932,3250,10553,,
46,46,46,85,0,0,0,0,1804,1801,1804,1804,0,0,0,0,10,905,1088,2020,2020,1088,932,3250,10398,,
53,27,75,61,0,0,0,0,1803,1804,1804,1804,0,0,0,0,5,905,1088,2020,2175,1088,932,3250,10553,,
53,61,53,58,0,0,0,0,1804,1804,1803,1804,0,0,0,0,7,905,1088,2020,2175,1088,932,3250,10553,,
45,69,41,36,0,0,0,0,1804,1804,1804,1801,0,0,0,0,4,905,1088,2020,2175,1088,932,3250,10553,,
61,81,53,33,0,0,0,0,1803,1804,1804,1806,0,0,0,0,7,905,1088,2020,2175,1088,932,3250,10553,,
64,53,58,35,0,0,0,0,1804,1801,1803,1804,0,0,0,0,5,905,1088,2020,2175,1088,932,3250,10553,,
60,58,36,36,0,0,0,0,1804,1804,1804,1803,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
46,46,57,60,0,0,0,0,1804,1804,1804,1808,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
41,36,66,58,0,0,0,0,1803,1804,1803,1804,0,0,0,0,5,905,1088,2020,2020,1088,932,3250,10398,,
78,50,42,38,0,0,0,0,1804,1804,1797,1803,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
46,46,75,50,0,0,0,0,1804,1803,1804,1804,0,0,0,0,6,905,1088,2020,2020,1088,932,3250,10398,,
66,46,53,33,0,0,0,0,1804,1805,1807,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
85,50,38,46,0,0,0,0,1802,1805,1804,1798,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
72,72,33,18,0,0,0,0,1804,1804,1802,1804,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
61,71,50,50,0,0,0,0,1804,1804,1804,1803,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
23,50,71,58,0,0,0,0,1804,1804,1804,1804,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
30,41,50,84,0,0,0,0,1801,1804,1804,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
30,46,41,81,0,0,0,0,1804,1804,1802,1804,0,0,0,0,6,905,1088,2020,2176,1088,932,3250,10554,,
42,57,58,58,0,0,0,0,1805,1802,1804,1803,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
53,38,58,66,0,0,0,0,1804,1801,1804,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
25,18,83,53,0,0,0,0,1805,1804,1804,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
46,53,61,58,0,0,0,0,1804,1803,1803,1804,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
50,54,53,41,0,0,0,0,1804,1804,1804,1804,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
20,61,58,50,0,0,0,0,1804,1804,1803,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
50,69,50,60,0,0,0,0,1804,1804,1803,1805,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
69,41,36,30,0,0,0,0,1804,1804,1803,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
69,50,46,53,0,0,0,0,1804,1804,1811,1805,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
41,46,83,50,0,0,0,0,1801,1804,1804,1804,0,0,0,0,6,905,1088,2020,2020,1088,932,3250,10398,,
33,54,45,75,0,0,0,0,1803,1804,1804,1801,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
46,50,69,50,0,0,0,0,1804,1804,1804,1799,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
50,64,58,50,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
54,36,41,36,0,0,0,0,1804,1804,1804,1804,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
50,46,45,61,0,0,0,0,1804,1801,1804,1804,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
46,54,53,66,0,0,0,0,1804,1804,1804,1804,0,0,0,0,7,905,1088,2020,2176,1088,932,3250,10554,,
33,58,66,61,0,0,0,0,1802,1804,1803,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
58,53,41,46,0,0,0,0,1804,1804,1804,1803,0,0,0,0,7,905,1088,2020,2176,1088,932,3250,10554,,
33,58,84,41,0,0,0,0,1803,1803,1804,1803,0,0,0,0,9,905,1088,2020,2176,1088,932,3250,10554,,
50,50,72,57,0,0,0,0,1804,1802,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
75,53,38,38,0,0,0,0,1803,1803,1804,1804,0,0,0,0,3,905,1088,2020,2176,1088,932,3250,10554,,
72,75,23,27,0,0,0,0,1804,1804,1804,1803,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
61,46,61,53,0,0,0,0,1804,1805,1803,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
41,41,66,58,0,0,0,0,1803,1803,1802,1804,0,0,0,0,5,905,1088,2020,2020,1088,932,3250,10398,,
41,66,50,33,0,0,0,0,1802,1803,1802,1803,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
50,57,61,53,0,0,0,0,1805,1804,1804,1803,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
76,63,46,25,0,0,0,0,1803,1804,1804,1804,0,0,0,0,5,905,1088,2020,2176,1088,932,3250,10554,,
41,58,75,46,0,0,0,0,1802,1802,1803,1804,0,0,0,0,4,905,1088,2020,2020,1088,932,3250,10398,,
50,45,72,46,0,0,0,0,1804,1802,1809,1802,0,0,0,0,7,905,1088,2020,2176,1088,932,3250,10554,,
66,46,46,54,0,0,0,0,1804,1803,1804,1804,0,0,0,0,9,905,1088,2020,2176,1088,932,3250,10554,,
61,71,64,25,0,0,0,0,1803,1804,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
58,41,61,30,0,0,0,0,1809,1804,1804,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
40,66,66,46,0,0,0,0,1804,1808,1804,1804,0,0,0,0,4,905,1088,2176,2176,1088,932,3250,10710,,
61,53,63,41,0,0,0,0,1804,1803,1803,1800,0,0,0,0,7,905,1088,2176,2176,1088,932,3250,10710,,
76,50,41,45,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2176,2176,1088,932,3250,10710,,
57,71,50,42,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
50,58,58,41,0,0,0,0,1803,1804,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
69,64,53,42,0,0,0,0,1804,1803,1804,1803,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
66,58,53,45,0,0,0,0,1804,1798,1804,1802,0,0,0,0,4,905,1088,2176,2176,1088,932,3250,10710,,
61,66,36,42,0,0,0,0,1801,1803,1803,1804,0,0,0,0,9,905,1088,2020,2020,1088,932,3250,10398,,
50,71,50,36,0,0,0,0,1803,1803,1804,1802,0,0,0,0,7,905,1088,2176,2020,1088,932,3250,10554,,
36,70,46,38,0,0,0,0,1804,1796,1805,1803,0,0,0,0,7,905,1088,2020,2176,1088,932,3250,10554,,
50,53,69,58,0,0,0,0,1804,1803,1804,1806,0,0,0,0,11,905,1088,2020,2020,1088,932,3250,10398,,
41,76,40,33,0,0,0,0,1804,1804,1803,1803,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
66,71,53,50,0,0,0,0,1803,1804,1803,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
53,50,58,46,0,0,0,0,1800,1803,1803,1804,0,0,0,0,7,905,1088,2020,2020,1088,932,3250,10398,,
46,50,54,41,0,0,0,0,1803,1804,1803,1804,0,0,0,0,6,905,1088,2020,2020,1088,932,3250,10398,,
53,64,53,64,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
27,66,58,41,0,0,0,0,1802,1804,1804,1799,0,0,0,0,9,905,1088,2020,2176,1088,932,3250,10554,,
69,50,46,53,0,0,0,0,1804,1804,1803,1803,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
41,53,53,60,0,0,0,0,1804,1802,1803,1804,0,0,0,0,8,905,1088,2176,2176,1088,932,3250,10710,,
53,41,54,61,0,0,0,0,1805,1802,1804,1804,0,0,0,0,4,905,1088,2176,2176,1088,932,3250,10710,,
66,66,50,27,0,0,0,0,1805,1804,1803,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
69,46,53,36,0,0,0,0,1805,1804,1804,1803,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
33,54,54,61,0,0,0,0,1804,1804,1804,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
61,50,71,38,0,0,0,0,1804,1804,1801,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
50,38,41,78,0,0,0,0,1804,1804,1803,1804,0,0,0,0,4,905,1088,2020,2176,1088,932,3250,10554,,
75,46,53,54,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2176,1088,932,3250,10554,,
61,25,58,69,0,0,0,0,1802,1804,1802,1803,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
58,27,45,50,0,0,0,0,1806,1804,1804,1802,0,0,0,0,3,905,1088,2020,2020,1088,932,3250,10398,,
50,50,53,46,0,0,0,0,1804,1804,1803,1804,0,0,0,0,0,905,1088,2020,2020,1088,932,3250,10398,,
54,42,66,50,0,0,0,0,1804,1804,1804,1804,0,0,0,0,8,905,1088,2020,2020,1088,932,3250,10398,,
53,53,57,46,0,0,0,0,1803,1804,1806,1804,0,0,0,0,8,905,1088,2020,2020,1088,777,3250,10243,,
63,58,45,36,0,0,0,0,1804,1804,1804,1804,0,0,0,0,5,905,1088,2020,2020,1088,932,3250,10398,,
75,41,45,50,0,0,0,0,1804,1803,1804,1804,0,0,0,0,5,905,1088,2020,2020,1088,932,3250,10398,,
