CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
39,33,17,11,41,47,2,2,2257,2257,2256,2258,2256,2260,2255,2257,5,1377,2015,4031,3100,1705,930,3571,15352
25,28,13,8,37,60,2,4,2256,2257,2257,2261,2258,2258,2257,2258,5,1377,2015,4030,3255,1705,930,3571,15506
34,27,9,13,8,34,18,27,2255,2256,2256,2253,2255,2255,2252,2265,6,1377,2171,3721,3256,1706,930,3571,15355
45,3,12,7,28,50,11,18,2256,2255,2256,2256,2255,2257,2256,2258,5,1377,2171,3721,3256,1705,930,3571,15354
21,41,5,9,50,22,10,21,2257,2255,2254,2252,2256,2255,2259,2262,4,1377,2015,3721,3256,1705,1085,3611,15393
22,43,13,14,39,29,9,7,2257,2256,2256,2257,2255,2256,2257,2257,7,1377,2171,3721,3256,1706,930,3611,15395
44,33,14,11,35,9,22,15,2255,2256,2258,2257,2255,2256,2252,2257,5,1377,2171,3720,3255,1705,1085,3571,15507
36,26,16,7,42,6,29,25,2257,2257,2256,2257,2256,2257,2255,2249,8,1377,2171,3721,3256,1705,930,3611,15394
20,12,9,13,27,32,47,35,2253,2256,2252,2257,2256,2255,2257,2254,5,1377,2015,3875,3255,1705,1085,3611,15546
43,4,33,6,21,4,45,30,2255,2256,2265,2261,2257,2257,2253,2256,5,1377,2171,3875,3255,1705,930,3611,15547
27,21,35,7,20,14,31,36,2256,2257,2257,2254,2257,2256,2258,2256,5,1377,2171,3876,3256,1705,930,3611,15549
27,39,33,22,16,8,27,23,2258,2258,2254,2257,2256,2253,2257,2256,7,1377,2015,4031,3256,1705,930,3611,15548
11,18,28,31,25,19,31,34,2258,2257,2257,2255,2257,2256,2256,2258,3,1377,2015,3876,3256,1705,930,3571,15353
12,14,43,7,27,27,27,42,2257,2257,2257,2257,2256,2253,2257,2257,8,1377,2170,4185,3255,1705,1085,3611,16011
18,20,9,9,48,40,10,42,2257,2258,2256,2256,2256,2256,2256,2257,6,1377,2170,4031,3255,1705,1085,3611,15857
26,29,39,1,7,9,35,43,2255,2257,2257,2258,2258,2255,2257,2256,5,1377,2015,4031,3256,1705,930,3571,15508
9,14,53,22,8,10,43,30,2258,2257,2251,2251,2257,2258,2255,2256,5,1377,2171,3720,3255,1860,930,3571,15507
15,18,15,37,19,19,13,22,2256,2257,2256,2258,2258,2262,2257,2258,5,1377,2171,3256,3256,1861,1085,3611,15240
16,13,2,34,15,11,11,7,2255,2255,2258,2257,2256,2257,2256,2268,6,1377,2171,2791,3256,1861,1085,3611,14775
26,12,6,28,17,11,7,5,2253,2258,2257,2258,2257,2257,2258,2256,8,1377,2171,2791,3256,1861,1085,3611,14775
28,27,39,9,30,11,9,8,2257,2256,2257,2257,2256,2253,2257,2256,5,1377,2171,3721,3256,1861,1085,3611,15705
7,15,46,26,33,21,21,32,2254,2255,2253,2257,2257,2256,2252,2256,6,1377,2171,3876,3256,1860,1085,3571,15819
25,16,44,3,22,28,36,22,2257,2257,2260,2257,2258,2253,2258,2257,6,1377,2171,3876,3256,1860,1085,3571,15819
18,20,27,16,29,19,39,30,2257,2257,2257,2256,2254,2258,2254,2254,5,1377,2015,3875,3255,1705,930,3571,15351
21,41,15,8,20,23,42,35,2257,2255,2251,2258,2257,2256,2257,2251,5,1377,2170,4185,3255,1860,1085,3571,16126
22,47,11,12,31,19,35,40,2257,2263,2258,2257,2259,2257,2257,2258,8,1377,2015,4340,3255,1705,1085,3571,15971
15,44,13,16,36,27,26,44,2259,2257,2257,2253,2259,2257,2258,2258,4,1377,2015,4185,3255,1860,1085,3611,16011
30,48,10,10,45,28,23,16,2256,2256,2258,2257,2257,2255,2255,2257,6,1377,2171,4030,3255,1860,1085,3611,16012
22,41,10,15,38,21,32,28,2258,2257,2257,2254,2256,2258,2257,2256,7,1377,2170,4030,3255,1860,1085,3611,16011
45,21,9,17,27,44,23,28,2256,2257,2258,2257,2257,2258,2258,2257,8,1377,2171,4185,3255,1860,1085,3611,16167
44,23,13,17,35,34,41,4,2256,2257,2257,2255,2256,2256,2258,2258,6,1377,2171,4031,3255,1860,930,3571,15818
29,26,13,17,24,17,48,41,2256,2259,2257,2257,2257,2258,2257,2257,10,1377,2015,4030,3256,1705,1085,3571,15662
21,38,17,20,22,25,37,33,2258,2254,2254,2256,2254,2257,2257,2251,5,1377,2015,4031,3256,1860,1085,3571,15818
22,21,17,17,49,13,32,38,2257,2256,2256,2257,2258,2254,2256,2257,6,1377,2015,4185,3255,1705,1085,3571,15816
23,28,9,13,34,37,22,43,2256,2256,2257,2257,2257,2257,2257,2259,8,1377,2015,4030,3255,1705,1085,3611,15701
13,14,10,31,39,42,25,38,2256,2257,2257,2257,2256,2257,2258,2255,3,1377,2015,4030,3256,1860,1085,3571,15817
20,11,15,45,47,50,18,10,2258,2255,2254,2257,2258,2253,2259,2258,5,1377,2015,4030,3256,1860,930,3611,15702
23,13,0,43,33,33,33,30,2257,2257,2257,2255,2248,2257,2255,2256,6,1377,2171,4185,3255,1860,1085,3571,16127
27,20,20,33,40,36,44,16,2257,2256,2256,2253,2253,2258,2257,2256,6,1377,2170,4495,3253,1860,1085,3571,16434
25,23,41,20,46,14,27,32,2258,2257,2258,2256,2259,2257,2257,2258,6,1377,2170,4495,3253,1860,1085,3611,16474
37,21,48,15,38,35,24,16,2258,2257,2257,2255,2257,2255,2259,2261,5,1377,2170,4495,3255,1860,1085,3571,16436
16,10,53,50,42,15,25,37,2258,2258,2257,2255,2264,2257,2258,2257,6,1377,2169,4648,3253,1860,1084,3611,16625
17,51,38,31,27,12,47,24,2257,2258,2257,2259,2261,2255,2259,2255,4,1377,2015,4648,3255,1860,1084,3611,16473
27,64,19,56,14,15,6,45,2258,2256,2255,2257,2258,2257,2256,2257,6,1377,2170,4648,3253,1860,1084,3611,16626
33,28,50,18,38,33,16,34,2258,2257,2258,2258,2258,2258,2258,2260,5,1377,2170,4650,3253,1860,1085,3611,16629
34,27,21,25,51,30,11,44,2259,2265,2255,2258,2258,2256,2258,2257,4,1377,2170,4650,3255,1860,1085,3611,16631
51,39,25,40,48,9,22,15,2257,2255,2256,2255,2256,2257,2256,2257,5,1377,2170,4650,3253,1860,1085,3611,16629
52,22,32,29,19,6,27,54,2265,2257,2256,2257,2258,2258,2258,2259,8,1377,2170,4803,3253,1860,1084,3611,16781
13,7,32,28,27,49,43,46,2254,2256,2258,2258,2254,2256,2254,2256,1,1377,2015,4650,3255,1705,930,3571,16126
14,15,30,37,18,52,26,32,2258,2257,2260,2258,2257,2257,2257,2258,5,1377,1860,4342,3101,1706,930,3531,15470
15,19,46,14,58,12,17,43,2254,2256,2256,2249,2258,2258,2259,2259,2,1377,1860,4342,3101,1706,930,3531,15470
14,16,29,6,89,6,34,23,2257,2258,2257,2258,2258,2258,2260,2258,6,1377,1860,4342,3101,1706,930,3531,15470
13,11,25,22,73,15,7,49,2258,2257,2256,2256,2254,2254,2257,2255,2,1377,1860,4342,3101,1706,930,3531,15470
14,16,22,65,27,20,7,48,2259,2257,2255,2257,2257,2258,2258,2257,0,1377,1860,4342,3101,1706,930,3531,15470
22,28,8,13,67,30,11,49,2256,2264,2257,2257,2256,2248,2251,2258,7,1377,1860,4342,3101,1706,930,3531,15470
15,25,11,7,91,7,50,12,2255,2255,2258,2257,2258,2257,2255,2258,8,1377,1860,4497,3101,1706,775,3531,15470
16,11,59,11,49,8,56,8,2258,2254,2258,2256,2256,2255,2252,2256,9,1377,1705,4497,3101,1706,930,3531,15470
23,19,90,20,9,7,53,7,2257,2257,2259,2258,2256,2256,2259,2258,6,1377,1860,4650,3100,1705,930,3571,15816
33,9,89,16,6,5,53,6,2258,2252,2256,2258,2257,2256,2255,2255,1,1377,1860,4497,3101,1705,930,3531,15624
75,8,51,7,29,7,16,16,2255,2257,2253,2257,2256,2257,2257,2255,9,1377,1860,4186,3101,1706,775,3531,15159
65,20,52,6,14,24,24,16,2255,2256,2255,2257,2257,2257,2248,2259,8,1377,1860,4342,3101,1705,930,3531,15469
81,22,50,6,13,37,12,15,2261,2258,2258,2258,2261,2258,2253,2257,9,1377,2170,4650,3255,1860,1085,3611,16631
48,43,34,28,23,48,17,35,2259,2258,2258,2257,2259,2260,2256,2257,6,1377,2014,4803,3253,1704,1084,3611,16469
39,40,25,40,25,25,33,46,2257,2258,2258,2254,2256,2257,2257,2256,7,1377,2169,4803,3253,1705,1084,3651,16665
28,17,15,21,57,51,50,30,2258,2258,2256,2258,2258,2257,2258,2257,6,1377,2169,4803,3253,1705,1084,3611,16625
17,11,10,44,33,23,10,13,2259,2258,2259,2259,2249,2257,2258,2258,9,1377,2171,3411,3256,1861,1085,3611,15395
11,14,38,33,16,25,9,7,2258,2257,2256,2257,2256,2258,2257,2256,6,1377,2171,3256,3256,1860,1085,3611,15239
25,15,14,19,26,32,14,12,2259,2254,2258,2258,2258,2258,2254,2252,6,1377,2171,3256,3256,1860,1085,3611,15239
18,14,16,14,40,35,15,7,2258,2257,2258,2257,2257,2257,2257,2255,6,1377,2171,3256,3256,1861,1085,3611,15240
18,10,17,18,47,27,15,6,2254,2256,2256,2255,2258,2257,2255,2255,6,1377,2171,3256,3256,1861,1085,3611,15240
