CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
76,33,27,38,33,46,25,53,2260,2259,2263,2263,2263,2262,2263,2263,33,420,775,4030,2943,1240,775,3611,13374
100,25,16,16,54,18,33,33,2259,2259,2259,2258,2258,2259,2257,2260,43,420,774,5263,2941,1393,774,3645,14790
53,38,16,15,53,53,50,36,2259,2257,2257,2257,2256,2258,2257,2257,32,420,773,6035,3095,1393,928,3685,15909
25,46,53,30,38,58,23,46,2259,2257,2258,2254,2258,2257,2256,2254,28,522,928,6032,3093,1547,928,3725,16253
66,45,54,36,40,45,25,18,2256,2257,2260,2256,2251,2258,2258,2261,38,522,928,6032,3093,1547,928,3725,16253
11,41,50,46,46,8,16,38,2259,2257,2257,2255,2258,2259,2256,2257,29,522,928,5878,3248,1547,928,3725,16254
38,33,54,46,42,15,18,33,2257,2255,2257,2256,2257,2256,2258,2257,15,522,928,5725,3248,1547,1083,3725,16256
50,25,36,53,50,7,21,16,2257,2257,2256,2257,2258,2258,2257,2254,16,522,928,5416,3249,1548,1083,3725,15949
57,36,30,33,38,9,18,16,2256,2257,2257,2257,2257,2255,2256,2254,38,522,928,5261,3249,1548,1083,3725,15794
53,25,38,33,54,15,53,36,2258,2257,2258,2258,2257,2257,2258,2254,13,624,928,5416,3249,1548,1083,3766,15990
50,38,36,18,50,28,25,42,2258,2255,2257,2258,2258,2256,2259,2257,41,624,928,5261,3249,1702,1083,3766,15989
40,57,33,20,38,50,33,38,2256,2256,2253,2255,2250,2257,2257,2257,44,624,1083,5261,3249,1702,1083,3766,16144
50,36,46,38,9,23,36,45,2257,2257,2256,2257,2257,2256,2256,2256,9,624,1083,5416,3249,1702,1083,3766,16299
40,30,27,30,57,36,45,58,2257,2257,2255,2256,2255,2256,2257,2257,9,624,928,5571,3249,1702,1083,3766,16299
64,54,36,30,33,35,40,61,2257,2257,2255,2257,2258,2257,2257,2256,46,624,928,5571,3249,1702,1083,3766,16299
53,50,30,36,54,36,41,38,2257,2257,2263,2257,2257,2257,2258,2258,12,624,928,5725,3249,1702,1083,3766,16453
58,53,30,46,50,46,53,25,2258,2257,2256,2257,2256,2256,2256,2258,44,624,1083,5725,3249,1702,1083,3766,16608
62,42,45,71,20,25,33,33,2255,2258,2256,2257,2254,2257,2256,2257,22,624,1083,5571,3249,1702,1083,3766,16454
58,27,50,61,42,20,16,18,2257,2257,2257,2254,2257,2256,2253,2258,13,624,1083,5571,3249,1702,1083,3766,16454
58,63,63,27,33,46,36,63,2257,2257,2257,2263,2258,2257,2255,2257,36,624,1083,5878,3248,1702,1083,3766,16760
18,41,46,25,16,38,15,25,2258,2256,2252,2259,2257,2257,2257,2258,26,624,1083,5571,3249,1702,1083,3766,16454
30,20,53,36,45,45,27,73,2258,2256,2258,2258,2259,2258,2257,2256,9,624,1083,5725,3249,1702,1083,3766,16608
30,46,46,53,46,41,46,30,2258,2259,2257,2255,2255,2258,2258,2257,31,624,1083,5571,3249,1702,1083,3766,16454
35,33,25,46,33,20,50,53,2257,2253,2259,2257,2258,2254,2258,2255,24,624,1083,5571,3249,1702,1083,3766,16454
10,25,23,30,42,50,41,50,2256,2257,2257,2249,2257,2257,2255,2256,4,624,1083,5416,3249,1702,1083,3766,16299
60,57,64,57,73,60,64,93,2257,2258,2257,2258,2257,2258,2257,2257,12,624,1083,5878,3248,1702,1082,3766,16759
75,41,61,33,53,40,58,71,2258,2256,2254,2256,2256,2258,2255,2255,30,624,1082,6342,3248,1702,1082,3806,17262
50,27,25,66,41,25,25,10,2256,2255,2255,2264,2256,2256,2254,2258,8,624,1082,6032,3248,1702,1082,3806,16952
27,46,33,36,46,42,50,25,2257,2258,2257,2258,2256,2254,2257,2256,33,624,1082,5878,3248,1702,1082,3766,16758
28,8,50,33,33,36,30,25,2257,2257,2256,2251,2256,2256,2256,2257,25,624,1083,5571,3249,1702,1083,3766,16454
16,0,58,27,25,53,54,25,2255,2256,2259,2255,2250,2257,2257,2257,4,624,1083,5261,3249,1702,1083,3766,16144
18,10,9,53,16,27,46,38,2258,2253,2257,2258,2257,2256,2255,2257,6,624,1083,5106,3249,1702,1083,3766,15989
18,8,25,61,36,35,50,41,2258,2255,2257,2257,2258,2257,2258,2257,12,624,1083,5106,3249,1702,1083,3766,15989
30,25,46,33,50,46,33,18,2257,2257,2258,2257,2257,2257,2257,2257,22,624,1083,4952,3249,1702,1083,3766,15835
27,36,9,45,18,33,54,30,2257,2256,2257,2257,2258,2258,2263,2258,17,624,1083,5106,3249,1702,1083,3766,15989
66,41,46,50,18,33,66,41,2257,2255,2256,2256,2258,2258,2257,2257,43,624,1083,5261,3249,1702,1083,3766,16144
38,0,45,9,20,18,53,38,2256,2252,2256,2256,2258,2256,2256,2258,9,624,1083,5106,3249,1702,1083,3766,15989
50,23,41,25,20,30,27,38,2258,2255,2258,2257,2256,2257,2257,2258,7,624,1083,4952,3249,1702,1083,3766,15835
40,58,54,36,61,45,41,63,2258,2258,2257,2258,2256,2259,2259,2257,16,624,1083,5416,3249,1702,1083,3766,16299
41,38,18,30,50,33,41,33,2257,2258,2257,2255,2256,2257,2258,2253,22,624,1083,5261,3249,1702,1083,3766,16144
50,0,27,20,53,0,18,46,2257,2259,2257,2257,2257,2258,2257,2263,8,624,1083,5261,3249,1702,1083,3806,16184
