CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
75,69,50,57,16,15,7,8,2258,2255,2258,2257,2260,2256,2258,2258,0,318,932,4040,1553,0,621,3089,10235
84,66,92,64,8,23,16,38,2258,2258,2258,2258,2256,2258,2256,2259,42,420,1087,4815,1553,0,776,3129,11360
63,66,72,72,9,9,30,33,2259,2258,2259,2258,2257,2259,2258,2258,15,420,1086,5589,1707,0,776,3129,12287
66,50,83,41,8,15,25,15,2258,2257,2258,2258,2258,2254,2259,2257,53,420,1241,5897,1707,0,931,3170,12946
72,72,72,50,23,23,20,18,2256,2257,2257,2255,2257,2258,2258,2258,12,420,1241,6050,1706,0,930,3170,13097
66,57,75,50,18,15,38,30,2257,2259,2257,2258,2254,2260,2258,2259,70,420,1396,6050,1706,0,930,3170,13252
64,76,57,50,28,16,15,35,2258,2258,2258,2257,2258,2256,2254,2258,59,420,1396,6205,1706,0,930,3170,13407
80,69,61,42,0,21,8,38,2257,2257,2258,2259,2257,2258,2257,2258,85,420,1396,6050,1706,0,930,3170,13252
78,84,58,30,18,18,42,23,2258,2258,2258,2258,2264,2258,2257,2256,78,420,1396,6050,1706,0,930,3170,13252
85,45,38,61,30,23,38,28,2259,2259,2258,2259,2259,2258,2257,2254,85,420,1552,6050,1706,0,930,3170,13408
83,61,58,46,9,23,7,23,2257,2258,2258,2257,2256,2258,2257,2256,48,420,1552,6050,1706,0,930,3170,13408
83,41,46,61,23,38,15,15,2257,2258,2257,2258,2259,2257,2259,2258,78,420,1552,6205,1706,0,930,3170,13563
53,69,69,66,21,42,23,30,2261,2258,2260,2257,2256,2257,2258,2257,52,420,1552,6205,1706,0,930,3170,13563
63,69,42,63,28,30,16,0,2259,2258,2257,2257,2257,2257,2256,2259,33,522,1552,6205,1706,0,930,3170,13563
83,53,72,76,16,9,16,23,2257,2258,2259,2259,2259,2257,2258,2256,48,522,1552,6205,1706,0,930,3170,13563
78,66,93,71,63,33,58,58,2256,2259,2257,2258,2258,2259,2257,2258,50,522,1551,6515,1706,0,930,3210,13912
75,58,80,81,76,53,72,60,2258,2258,2256,2262,2257,2259,2261,2258,47,522,1551,6823,1706,0,1085,3210,14375
81,50,53,69,33,46,66,54,2257,2258,2258,2258,2258,2259,2258,2258,39,522,1551,6823,1705,0,1085,3210,14374
80,38,57,53,38,40,25,42,2256,2259,2256,2258,2258,2258,2257,2256,33,522,1551,6670,1706,0,1085,3210,14222
66,50,69,58,46,42,25,50,2258,2258,2259,2255,2260,2259,2256,2254,65,522,1551,6515,1706,0,930,3210,13912
66,61,58,50,33,50,28,16,2257,2258,2259,2253,2257,2259,2258,2258,83,522,1551,6360,1706,0,930,3210,13757
64,58,53,63,33,54,46,38,2259,2258,2259,2257,2254,2258,2259,2259,45,522,1706,6360,1706,0,1085,3210,14067
54,46,69,75,64,27,16,25,2258,2259,2258,2258,2259,2257,2259,2258,21,624,1706,6205,1706,0,1085,3210,13912
81,76,40,54,25,30,23,27,2257,2254,2258,2258,2257,2258,2252,2258,56,624,1706,6205,1706,0,1085,3210,13912
61,66,66,66,27,30,25,9,2258,2259,2258,2257,2258,2256,2258,2257,9,624,1706,6050,1706,0,930,3210,13602
58,64,54,33,30,23,30,23,2260,2259,2259,2258,2255,2259,2257,2259,59,624,1552,5897,1707,0,931,3170,13257
53,45,66,46,8,26,8,35,2257,2259,2255,2259,2259,2259,2258,2257,67,624,1552,5742,1707,0,931,3170,13102
69,63,57,61,16,25,21,25,2257,2259,2257,2259,2259,2259,2258,2259,45,624,1552,5587,1707,0,931,3170,12947
