GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
1088,2332,2954,0,777,3491,10642
1089,2332,2954,0,777,3491,10643
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1399,2332,2954,0,777,3491,10953
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3451,10758
1088,2332,2954,0,777,3451,10602
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3451,10602
1089,2333,2954,0,777,3451,10604
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1399,2331,2953,0,777,3491,10951
1244,2332,2954,0,777,3491,10798
1088,2332,2954,0,777,3451,10602
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1399,2332,2954,0,777,3491,10953
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1088,2332,2954,0,777,3451,10602
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2953,0,777,3491,10797
1399,2332,2954,0,777,3491,10953
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3491,10642
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
1399,2332,2953,0,777,3451,10912
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1399,2332,2954,0,777,3451,10913
1399,2332,2954,0,777,3491,10953
1244,2332,2954,0,777,3451,10758
1399,2332,2954,0,777,3451,10913
1244,2332,2954,0,777,3451,10758
1088,2332,2954,0,777,3451,10602
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1399,2332,2954,0,777,3491,10953
1399,2332,2953,0,777,3491,10952
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3451,10602
1089,2332,2954,0,777,3451,10603
1244,2332,2954,0,777,3451,10758
1244,2332,2953,0,777,3491,10797
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1089,2332,2954,0,777,3451,10603
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3491,10642
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1088,2332,2954,0,777,3451,10602
1088,2488,2954,0,777,3451,10758
1088,2332,2954,0,777,3491,10642
1244,2332,2954,0,777,3491,10798
1244,2332,2953,0,777,3491,10797
1244,2332,2954,0,777,3491,10798
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3451,10602
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
1399,2332,2954,0,777,3491,10953
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1399,2332,2954,0,777,3491,10953
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3451,10602
1244,2332,2953,0,777,3491,10797
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3451,10602
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3451,10758
1399,2332,2954,0,777,3491,10953
1244,2332,2954,0,777,3491,10798
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3451,10602
1088,2332,2954,0,777,3451,10602
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3491,10798
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3451,10758
1244,2332,2954,0,777,3491,10798
