CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
33,30,48,49,42,50,32,64,2257,2261,2258,2259,2257,2251,2258,2259,4650,5580,3410,0,1085,3691,18416
38,45,57,45,51,46,57,36,2258,2255,2257,2257,2253,2257,2257,2251,4956,6507,3407,0,1239,3691,19800
53,44,46,53,52,47,57,43,2257,2258,2257,2255,2258,2255,2261,2258,5263,6504,3562,0,1238,3725,20292
40,42,39,35,41,54,19,79,2257,2258,2258,2258,2256,2258,2259,2258,4958,5887,3407,0,1239,3691,19182
40,47,33,23,52,52,47,53,2257,2256,2258,2258,2256,2256,2251,2258,4803,5887,3408,0,1084,3691,18873
46,69,35,52,37,50,31,38,2257,2258,2255,2257,2257,2259,2256,2257,4958,6197,3408,0,1239,3691,19493
53,42,32,38,61,34,41,65,2257,2257,2256,2258,2257,2258,2255,2255,4803,6042,3408,0,1239,3691,19183
48,61,53,52,55,45,29,30,2257,2258,2260,2257,2253,2256,2253,2253,4803,6350,3408,0,1239,3685,19485
50,51,50,37,43,45,44,43,2256,2257,2257,2256,2257,2255,2258,2256,4803,6197,3408,0,1084,3691,19183
45,51,40,43,32,62,57,40,2257,2258,2257,2258,2257,2257,2252,2258,4803,6197,3408,0,1239,3691,19338
41,42,23,57,57,40,35,42,2254,2256,2256,2257,2258,2257,2257,2254,4805,5887,3408,0,1084,3685,18869
34,41,58,51,42,60,35,29,2257,2257,2258,2256,2253,2259,2258,2257,4958,5887,3408,0,1084,3691,19028
48,73,42,36,21,25,46,46,2257,2257,2256,2255,2256,2257,2252,2257,4958,5732,3408,0,1084,3691,18873
46,65,34,41,44,44,32,42,2257,2256,2257,2255,2258,2253,2251,2256,4803,5887,3407,0,1239,3685,19021
58,40,54,42,40,36,25,43,2257,2255,2257,2258,2259,2261,2257,2255,4803,5887,3408,0,1084,3685,18867
42,48,52,34,42,62,38,48,2253,2258,2258,2257,2256,2254,2257,2256,4958,6195,3408,0,1239,3691,19491
49,37,51,38,43,61,37,42,2255,2257,2256,2256,2257,2255,2256,2256,4958,6042,3408,0,1239,3691,19338
68,40,62,28,49,29,33,57,2257,2258,2257,2258,2257,2257,2258,2258,4803,6197,3408,0,1239,3691,19338
48,35,49,37,68,34,48,45,2261,2257,2257,2258,2257,2257,2256,2257,4956,6195,3407,0,1084,3691,19333
57,67,57,52,50,44,37,34,2257,2257,2256,2258,2255,2258,2258,2258,4956,6969,3407,0,1239,3725,20296
69,65,65,65,72,78,60,69,2258,2258,2258,2258,2258,2257,2258,2256,4954,8047,3559,0,1238,3766,21564
49,66,38,45,47,36,43,40,2255,2255,2258,2256,2257,2254,2263,2257,4803,6352,3408,0,1239,3691,19493
49,60,47,27,58,33,47,38,2257,2257,2256,2246,2256,2255,2257,2256,4958,6042,3408,0,1239,3685,19332
35,65,42,42,46,41,44,50,2260,2256,2255,2254,2258,2261,2259,2258,4956,6195,3407,0,1239,3685,19482
30,57,40,35,58,39,45,52,2258,2257,2258,2259,2257,2258,2258,2258,4958,6197,3408,0,1239,3691,19493
45,54,42,48,48,38,51,52,2258,2255,2259,2256,2258,2258,2255,2259,4958,6352,3407,0,1239,3685,19641
49,47,38,39,45,47,42,60,2256,2255,2258,2257,2256,2257,2257,2256,4958,6042,3408,0,1239,3731,19378
60,75,67,61,54,54,54,78,2258,2257,2258,2260,2260,2257,2255,2255,4489,8360,3405,0,1238,3725,21217
47,52,57,51,61,52,41,46,2256,2256,2258,2257,2256,2258,2258,2255,4956,6659,3407,0,1239,3691,19952
58,48,54,56,39,57,47,35,2258,2254,2262,2257,2256,2256,2258,2256,4956,6659,3407,0,1239,3731,19992
55,47,46,38,48,44,44,46,2257,2257,2257,2255,2249,2258,2258,2258,4803,6197,3408,0,1084,3691,19183
42,53,51,37,49,41,60,38,2257,2257,2257,2262,2260,2262,2259,2258,4958,6350,3408,0,1239,3685,19640
41,36,48,51,40,34,34,42,2258,2257,2258,2257,2250,2259,2256,2257,4495,5735,3255,0,1085,3651,18221
47,34,44,46,48,43,48,40,2258,2258,2257,2255,2255,2257,2264,2256,4648,5887,3408,0,1084,3691,18718
46,52,32,32,36,26,56,38,2259,2255,2258,2260,2256,2257,2257,2256,4495,5425,3255,0,1085,3651,17911
38,66,33,42,35,54,29,44,2258,2258,2258,2257,2258,2258,2258,2257,4650,5732,3410,0,1085,3651,18528
38,36,49,59,56,43,38,46,2257,2254,2257,2255,2258,2257,2259,2257,4958,6195,3408,0,1239,3685,19485
48,35,39,38,39,52,39,50,2258,2258,2257,2258,2256,2256,2250,2258,4650,5890,3408,0,1085,3691,18724
42,51,42,38,42,50,42,36,2257,2258,2256,2257,2257,2257,2255,2259,4495,5735,3410,0,1085,3651,18376
41,33,36,45,38,47,44,50,2258,2258,2257,2259,2259,2254,2263,2258,4495,5735,3255,0,1085,3651,18221
36,39,36,37,38,54,50,54,2257,2255,2258,2258,2258,2257,2258,2256,4495,5890,3255,0,1085,3651,18376
50,42,40,41,46,35,36,50,2258,2254,2256,2257,2257,2257,2258,2257,4495,5735,3255,0,1085,3645,18215
48,45,50,48,45,39,39,39,2258,2256,2257,2256,2256,2257,2257,2253,4340,5890,3253,0,1085,3651,18219
42,41,47,34,38,49,37,38,2257,2257,2257,2256,2254,2252,2264,2255,4495,5735,3255,0,1085,3651,18221
42,42,48,46,47,39,36,50,2257,2258,2258,2258,2257,2258,2253,2257,4495,5735,3410,0,1085,3651,18376
33,54,41,40,31,40,53,46,2257,2257,2258,2258,2258,2256,2257,2257,4495,5735,3410,0,1085,3651,18376
