CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,,
66,66,81,84,0,0,0,0,1801,1803,1804,1804,0,0,0,0,0,905,1244,2022,1867,0,622,2969,8724,,,
92,100,92,69,0,0,0,0,1802,1804,1803,1804,0,0,0,0,1,905,1399,2332,2021,0,777,2969,9498,,,
81,85,75,83,0,0,0,0,1804,1804,1804,1804,0,0,0,0,24,905,1555,2488,2020,0,777,3009,9849,,,
76,100,92,83,0,0,0,0,1805,1803,1805,1804,0,0,0,0,8,905,1710,2642,2020,0,777,3009,10158,,,
93,78,81,85,0,0,0,0,1805,1804,1804,1804,0,0,0,0,45,905,1710,2642,2020,0,777,3049,10198,,,
91,78,86,75,0,0,0,0,1803,1804,1804,1804,0,0,0,0,44,905,1865,2797,2020,0,776,3049,10507,,,
76,58,92,92,0,0,0,0,1804,1804,1803,1803,0,0,0,0,14,905,1864,2797,2020,0,776,3049,10506,,,
66,61,76,69,0,0,0,0,1802,1805,1804,1805,0,0,0,0,47,905,1864,2797,2020,0,932,3049,10662,,,"10031,1275"
76,66,66,85,0,0,0,0,1804,1805,1804,1804,0,0,0,0,44,905,1864,2797,2020,0,932,3049,10662,,,
40,84,76,76,0,0,0,0,1803,1804,1803,1804,0,0,0,0,46,905,1864,2952,2020,0,932,3049,10817,,,
75,92,75,70,0,0,0,0,1804,1801,1804,1803,0,0,0,0,18,905,2020,2952,2020,0,932,3049,10973,,,
83,75,58,84,0,0,0,0,1804,1803,1805,1804,0,0,0,0,44,905,2020,2952,2020,0,932,3049,10973,,,
78,75,69,63,0,0,0,0,1804,1804,1804,1803,0,0,0,0,28,905,2020,2952,2175,0,932,3049,11128,,,
66,75,75,87,0,0,0,0,1804,1804,1804,1804,0,0,0,0,31,905,2020,2952,2175,0,932,3049,11128,,,
69,84,80,75,0,0,0,0,1804,1804,1804,1804,0,0,0,0,47,905,2020,2952,2175,0,932,3049,11128,,,
75,61,78,91,0,0,0,0,1804,1799,1804,1804,0,0,0,0,33,905,2020,2952,2175,0,932,3049,11128,,,
91,85,54,57,0,0,0,0,1804,1804,1804,1803,0,0,0,0,23,905,2020,2797,2175,0,932,3049,10973,,,
86,92,73,69,0,0,0,0,1804,1804,1804,1804,0,0,0,0,17,905,2020,2797,2175,0,932,3089,11013,,,
81,61,76,81,0,0,0,0,1803,1804,1804,1803,0,0,0,0,45,905,2175,2797,2175,0,932,3089,11168,,,
69,90,76,64,0,0,0,0,1803,1803,1804,1805,0,0,0,0,34,905,2175,2797,2175,0,932,3089,11168,,,
54,75,92,81,0,0,0,0,1804,1804,1801,1804,0,0,0,0,46,905,2020,2797,2175,0,932,3089,11013,,,
54,76,83,83,0,0,0,0,1804,1804,1803,1804,0,0,0,0,4,905,2020,2797,2175,0,932,3089,11013,,,
84,84,69,69,0,0,0,0,1804,1804,1804,1804,0,0,0,0,32,905,2020,2797,2175,0,932,3049,10973,,,
78,69,61,84,0,0,0,0,1802,1804,1803,1804,0,0,0,0,47,905,2020,2797,2176,0,932,3089,11014,,,
76,76,83,83,0,0,0,0,1805,1804,1804,1804,0,0,0,0,46,905,2020,2641,2176,0,932,3049,10818,,,
76,50,81,84,0,0,0,0,1802,1804,1804,1804,0,0,0,0,23,905,2020,2641,2176,0,932,3049,10818,,,
66,61,92,92,0,0,0,0,1803,1802,1803,1801,0,0,0,0,8,905,2020,2641,2176,0,932,3049,10818,,,
63,76,75,54,0,0,0,0,1804,1804,1804,1804,0,0,0,0,46,905,2176,2642,2176,0,932,3049,10975,,,
61,69,84,83,0,0,0,0,1803,1803,1803,1804,0,0,0,0,19,905,2176,2642,2175,0,932,3049,10974,,,
63,58,91,92,0,0,0,0,1804,1803,1804,1802,0,0,0,0,20,905,2020,2642,2175,0,932,3089,10858,,,
76,60,61,91,0,0,0,0,1804,1803,1802,1804,0,0,0,0,5,905,2020,2642,2176,0,932,3049,10819,,,
69,75,92,63,0,0,0,0,1802,1803,1804,1803,0,0,0,0,32,905,2176,2642,2175,0,932,3049,10974,,,
81,66,63,91,0,0,0,0,1805,1802,1803,1804,0,0,0,0,4,905,2176,2642,2175,0,932,3049,10974,,,
76,69,66,85,0,0,0,0,1805,1803,1804,1803,0,0,0,0,44,905,2020,2642,2020,0,932,3049,10663,,,
80,81,69,69,0,0,0,0,1804,1802,1804,1804,0,0,0,0,8,905,2020,2642,2020,0,932,3049,10663,,,
61,61,92,75,0,0,0,0,1804,1803,1804,1804,0,0,0,0,3,905,2020,2642,2020,0,932,3049,10663,,,
