CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
54,63,100,45,8,33,50,50,2259,2263,2263,2263,2262,2263,2263,2263,52,420,775,5737,2946,0.0,620,3560,13638
76,71,100,45,41,50,50,50,2264,2263,2263,2263,2257,2263,2265,2261,65,420,1085,6355,3100,,775,3600,14915
36,50,100,76,66,91,50,61,2264,2263,2265,2263,2264,2265,2262,2264,56,1032,1239,6817,3098,0.0,774,3640,15568
70,50,100,54,75,78,61,69,2264,2264,2264,2264,2264,2264,2264,2264,61,828,1394,7124,3252,0.0,929,3680,16379
75,58,100,36,50,72,71,36,2261,2264,2263,2264,2269,2264,2264,2264,70,828,1548,7279,3252,0.0,929,3680,16688
72,60,100,46,33,54,38,75,2262,2264,2258,2261,2263,2263,2263,2263,4,828,1703,7585,3252,0.0,928,3680,17148
71,69,100,53,61,53,64,75,2263,2264,2264,2264,2264,2263,2262,2264,5,828,1702,7740,3251,0.0,928,3720,17341
58,76,100,50,61,50,40,72,2264,2264,2264,2264,2264,2264,2264,2263,19,828,1702,7895,3405,,928,3680,17610
53,76,100,50,63,78,71,85,2264,2261,2264,2263,2263,2265,2264,2264,35,905,1857,7895,3405,0.0,1083,3720,17960
81,81,100,72,80,91,76,75,2262,2263,2264,2260,2263,2264,2264,2264,35,905,2012,8050,3405,0.0,1083,3720,18270
71,80,100,53,76,76,75,69,2264,2264,2264,2263,2264,2263,2264,2264,90,1032,2012,8201,3405,0.0,1083,3720,18421
