CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,CV_mW
36,16,16,92,25,91,50,75,2265,2265,2265,2262,2264,2264,2264,2264,34,1377,2791,3721,2947,620,3560,13639,
50,8,7,100,45,36,41,83,2265,2264,2264,2263,2273,2266,2265,2264,34,1377,3563,4338,3098,774,3600,15373,0.0
41,41,0,100,0,46,50,83,2265,2265,2266,2265,2262,2262,2262,2262,23,1377,3872,4646,3097,774,3640,16029,0.0
21,75,14,91,8,38,53,61,2264,2264,2268,2264,2264,2265,2265,2265,21,1377,4334,4954,3251,928,3640,17107,0.0
9,15,0,100,36,41,72,75,2259,2268,2261,2263,2264,2264,2264,2263,34,1377,4487,5106,3251,928,3680,17452,0.0
72,9,7,100,41,41,53,33,2265,2265,2265,2261,2260,2264,2264,2264,34,1377,4797,5261,3249,928,3680,17915,0.0
69,41,0,100,53,83,25,53,2265,2262,2265,2264,2265,2265,2264,2264,34,1377,4950,5723,3403,928,3720,18724,0.0
16,84,14,100,42,66,16,45,2265,2265,2264,2260,2266,2265,2265,2264,34,1377,5104,5723,3403,928,3760,18918,0.0
16,84,0,100,54,66,0,50,2265,2265,2265,2265,2264,2265,2264,2265,8,1377,5104,5723,3403,1082,3760,19072,0.0
8,80,14,100,33,66,0,45,2264,2264,2267,2264,2265,2265,2264,2264,34,1377,5259,5723,3403,1082,3760,19227,0.0
15,83,8,100,45,66,0,46,2267,2269,2265,2264,2263,2266,2262,2262,30,1377,5259,5721,3403,1082,3760,19225,0.0
9,81,0,100,57,53,0,41,2264,2264,2261,2260,2265,2265,2261,2265,33,1377,5414,5721,3403,1082,3760,19380,0.0
16,84,8,100,63,36,26,50,2264,2264,2265,2263,2264,2264,2263,2264,34,1377,5568,5721,3401,1082,3760,19532,0.0
15,83,14,100,69,41,8,53,2264,2264,2265,2265,2265,2265,2264,2267,34,1377,5566,5721,3401,1082,3760,19530,0.0
15,85,28,100,76,56,57,21,2265,2265,2263,2265,2265,2265,2265,2265,35,1377,5721,5875,3401,1082,3760,19839,0.0
84,81,58,100,53,81,36,54,2264,2265,2265,2265,2264,2265,2265,2265,44,1377,5718,6491,3554,1081,3760,20604,0.0
83,58,30,100,15,75,45,66,2265,2265,2264,2267,2265,2265,2264,2265,14,1377,5718,6646,3554,1081,3800,20799,0.0
41,69,33,100,9,69,16,53,2265,2264,2264,2264,2265,2264,2264,2265,35,1377,5564,6646,3554,1081,3760,20605,0.0
66,75,46,100,63,70,66,58,2264,2265,2265,2263,2264,2265,2265,2264,40,1377,5718,6952,3554,1235,3800,21259,0.0
