CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
84,75,91,73,0,0,0,0,1187,1188,1185,1187,0,0,0,0,50,675,933,1089,1556,0,622,2808,7008
76,100,80,100,0,0,0,0,1186,1185,1186,1186,0,0,0,0,51,675,1089,1245,1555,0,622,2808,7319
100,69,91,75,0,0,0,0,1186,1183,1185,1187,0,0,0,0,43,675,1089,1244,1555,0,622,2849,7359
78,86,87,78,0,0,0,0,1187,1186,1189,1187,0,0,0,0,35,675,1244,1400,1555,0,777,2849,7825
93,81,76,93,0,0,0,0,1186,1186,1186,1185,0,0,0,0,49,675,1244,1400,1555,0,777,2849,7825
91,75,63,90,0,0,0,0,1186,1186,1186,1185,0,0,0,0,5,675,1400,1400,1555,0,777,2849,7981
85,84,78,73,0,0,0,0,1186,1187,1185,1186,0,0,0,0,5,675,1400,1400,1555,0,777,2849,7981
84,80,80,75,0,0,0,0,1187,1184,1186,1185,0,0,0,0,58,675,1400,1400,1555,0,777,2849,7981
76,61,84,85,0,0,0,0,1186,1187,1185,1188,0,0,0,0,57,675,1400,1400,1555,0,777,2849,7981
84,66,100,76,0,0,0,0,1188,1187,1187,1186,0,0,0,0,2,675,1400,1400,1555,0,777,2849,7981
85,85,66,78,0,0,0,0,1187,1182,1185,1187,0,0,0,0,1,675,1400,1400,1555,0,777,2849,7981
92,61,86,72,0,0,0,0,1186,1187,1188,1184,0,0,0,0,2,675,1400,1400,1555,0,777,2849,7981
84,54,83,69,0,0,0,0,1187,1187,1186,1186,0,0,0,0,41,675,1400,1400,1555,0,777,2849,7981
83,71,92,83,0,0,0,0,1186,1186,1187,1185,0,0,0,0,59,675,1400,1400,1555,0,777,2849,7981
58,84,81,84,0,0,0,0,1186,1185,1186,1185,0,0,0,0,4,675,1400,1400,1555,0,777,2889,8021
71,76,92,75,0,0,0,0,1187,1187,1186,1186,0,0,0,0,48,675,1400,1400,1555,0,777,2889,8021
61,92,84,68,0,0,0,0,1187,1186,1187,1186,0,0,0,0,35,675,1555,1400,1555,0,777,2889,8176
84,64,76,76,0,0,0,0,1186,1186,1186,1188,0,0,0,0,30,675,1555,1400,1555,0,777,2889,8176
87,84,61,85,0,0,0,0,1186,1186,1187,1186,0,0,0,0,40,675,1400,1400,1555,0,777,2889,8021
100,69,69,66,0,0,0,0,1185,1187,1186,1185,0,0,0,0,2,675,1400,1400,1555,0,777,2889,8021
76,75,57,72,0,0,0,0,1187,1185,1187,1186,0,0,0,0,15,675,1400,1400,1555,0,777,2849,7981
84,57,76,92,0,0,0,0,1185,1187,1187,1184,0,0,0,0,3,675,1400,1400,1555,0,777,2889,8021
45,84,92,84,0,0,0,0,1185,1185,1187,1186,0,0,0,0,5,675,1400,1400,1555,0,777,2889,8021
85,91,63,64,0,0,0,0,1186,1185,1187,1186,0,0,0,0,19,675,1400,1400,1555,0,777,2889,8021
76,69,84,58,0,0,0,0,1186,1186,1186,1187,0,0,0,0,42,675,1400,1400,1555,0,777,2849,7981
84,78,57,92,0,0,0,0,1187,1187,1187,1187,0,0,0,0,3,675,1400,1400,1555,0,777,2889,8021
69,92,75,69,0,0,0,0,1185,1188,1187,1186,0,0,0,0,8,675,1400,1400,1555,0,777,2849,7981
92,84,53,71,0,0,0,0,1186,1186,1186,1187,0,0,0,0,16,675,1400,1400,1555,0,777,2849,7981
86,84,73,75,0,0,0,0,1186,1186,1185,1188,0,0,0,0,2,675,1400,1400,1555,0,777,2849,7981
84,69,76,76,0,0,0,0,1187,1186,1187,1187,0,0,0,0,60,675,1400,1400,1555,0,777,2889,8021
71,78,83,64,0,0,0,0,1186,1186,1186,1186,0,0,0,0,2,675,1555,1400,1555,0,777,2889,8176
76,75,78,64,0,0,0,0,1187,1186,1186,1187,0,0,0,0,2,675,1400,1400,1555,0,777,2889,8021
75,61,92,84,0,0,0,0,1186,1185,1186,1186,0,0,0,0,7,675,1400,1400,1555,0,777,2889,8021
69,61,91,72,0,0,0,0,1187,1185,1186,1186,0,0,0,0,59,675,1400,1400,1555,0,777,2849,7981
69,45,85,87,0,0,0,0,1186,1186,1184,1187,0,0,0,0,31,675,1400,1400,1555,0,777,2889,8021
71,78,61,85,0,0,0,0,1186,1185,1186,1186,0,0,0,0,29,675,1400,1400,1555,0,777,2849,7981
91,83,58,66,0,0,0,0,1186,1187,1186,1188,0,0,0,0,60,675,1400,1400,1555,0,777,2849,7981
92,71,58,76,0,0,0,0,1186,1186,1186,1186,0,0,0,0,61,675,1555,1400,1555,0,777,2889,8176
71,93,76,78,0,0,0,0,1186,1187,1188,1187,0,0,0,0,59,675,1555,1400,1555,0,777,2889,8176
83,92,78,71,0,0,0,0,1185,1185,1186,1188,0,0,0,0,0,675,1555,1400,1555,0,777,2889,8176
86,61,64,78,0,0,0,0,1185,1186,1186,1184,0,0,0,0,60,675,1400,1400,1555,0,777,2889,8021
92,66,80,76,0,0,0,0,1187,1186,1187,1186,0,0,0,0,62,675,1400,1400,1555,0,777,2889,8021
61,84,76,61,0,0,0,0,1184,1186,1186,1186,0,0,0,0,52,675,1400,1400,1555,0,777,2889,8021
81,54,75,84,0,0,0,0,1188,1183,1186,1187,0,0,0,0,20,675,1555,1400,1555,0,777,2889,8176
73,69,85,76,0,0,0,0,1185,1186,1185,1186,0,0,0,0,40,675,1555,1400,1555,0,777,2889,8176
63,58,70,84,0,0,0,0,1184,1186,1186,1187,0,0,0,0,2,675,1555,1400,1555,0,777,2889,8176
78,84,71,84,0,0,0,0,1184,1184,1187,1186,0,0,0,0,3,675,1400,1400,1555,0,777,2889,8021
84,76,69,76,0,0,0,0,1187,1184,1186,1186,0,0,0,0,23,675,1400,1400,1555,0,777,2889,8021
81,81,66,83,0,0,0,0,1186,1185,1186,1186,0,0,0,0,8,675,1400,1400,1555,0,777,2889,8021
71,85,80,80,0,0,0,0,1185,1185,1182,1184,0,0,0,0,4,675,1400,1400,1555,0,777,2889,8021
66,72,83,83,0,0,0,0,1186,1186,1186,1186,0,0,0,0,7,675,1400,1400,1555,0,777,2889,8021
76,76,76,75,0,0,0,0,1186,1186,1187,1185,0,0,0,0,59,675,1555,1399,1555,0,777,2889,8175
69,50,85,84,0,0,0,0,1186,1185,1186,1185,0,0,0,0,18,675,1400,1399,1555,0,777,2889,8020
76,41,76,92,0,0,0,0,1186,1187,1186,1186,0,0,0,0,7,675,1555,1399,1555,0,777,2889,8175
71,76,75,85,0,0,0,0,1186,1185,1185,1185,0,0,0,0,30,675,1400,1400,1555,0,777,2889,8021
81,76,66,76,0,0,0,0,1185,1184,1186,1186,0,0,0,0,35,675,1400,1399,1555,0,777,2889,8020
85,78,76,69,0,0,0,0,1186,1186,1186,1187,0,0,0,0,53,675,1400,1399,1555,0,777,2889,8020
92,85,61,78,0,0,0,0,1185,1185,1188,1186,0,0,0,0,61,675,1555,1399,1555,0,777,2889,8175
83,75,66,72,0,0,0,0,1186,1184,1187,1186,0,0,0,0,32,675,1555,1400,1555,0,777,2889,8176
85,61,75,78,0,0,0,0,1186,1186,1186,1185,0,0,0,0,4,675,1555,1400,1555,0,777,2849,8136
92,84,73,66,0,0,0,0,1186,1186,1186,1185,0,0,0,0,29,675,1555,1400,1555,0,777,2889,8176
91,92,69,61,0,0,0,0,1183,1185,1185,1186,0,0,0,0,50,675,1555,1400,1555,0,777,2889,8176
71,66,66,84,0,0,0,0,1186,1187,1187,1185,0,0,0,0,55,675,1555,1400,1555,0,777,2889,8176
66,84,83,72,0,0,0,0,1185,1186,1188,1187,0,0,0,0,59,675,1555,1400,1555,0,777,2889,8176
93,73,93,66,0,0,0,0,1188,1187,1185,1185,0,0,0,0,0,675,1555,1400,1555,0,777,2889,8176
78,75,69,80,0,0,0,0,1186,1187,1185,1187,0,0,0,0,25,675,1555,1399,1555,0,777,2889,8175
69,64,85,83,0,0,0,0,1186,1185,1187,1186,0,0,0,0,4,675,1555,1399,1555,0,777,2889,8175
57,83,90,81,0,0,0,0,1184,1186,1186,1184,0,0,0,0,62,675,1400,1400,1555,0,777,2849,7981
85,80,61,61,0,0,0,0,1184,1186,1184,1186,0,0,0,0,0,675,1400,1244,1555,0,777,2849,7825
72,81,78,75,0,0,0,0,1186,1186,1186,1187,0,0,0,0,3,675,1555,1400,1555,0,777,2889,8176
73,92,83,76,0,0,0,0,1186,1185,1184,1184,0,0,0,0,22,675,1400,1400,1555,0,777,2889,8021
63,78,75,92,0,0,0,0,1186,1185,1184,1184,0,0,0,0,10,675,1555,1400,1555,0,777,2889,8176
85,66,87,71,0,0,0,0,1186,1186,1185,1184,0,0,0,0,21,675,1400,1400,1555,0,777,2889,8021
91,61,84,75,0,0,0,0,1184,1187,1186,1183,0,0,0,0,38,675,1400,1400,1555,0,777,2849,7981
64,63,90,75,0,0,0,0,1187,1186,1187,1187,0,0,0,0,1,675,1400,1400,1555,0,777,2849,7981
66,84,78,78,0,0,0,0,1185,1186,1185,1189,0,0,0,0,2,675,1400,1400,1555,0,777,2889,8021
76,50,84,92,0,0,0,0,1185,1186,1187,1186,0,0,0,0,12,675,1400,1400,1555,0,777,2889,8021
84,73,75,76,0,0,0,0,1185,1188,1185,1185,0,0,0,0,7,675,1400,1400,1555,0,777,2969,8101
83,70,66,83,0,0,0,0,1185,1187,1187,1187,0,0,0,0,12,675,1400,1400,1555,0,777,2929,8061
69,91,69,85,0,0,0,0,1185,1186,1184,1184,0,0,0,0,4,675,1555,1400,1555,0,777,2929,8216
84,84,83,75,0,0,0,0,1184,1185,1185,1186,0,0,0,0,5,675,1400,1400,1555,0,777,2889,8021
66,92,92,75,0,0,0,0,1187,1186,1184,1186,0,0,0,0,4,675,1400,1400,1555,0,777,2889,8021
64,75,83,85,0,0,0,0,1185,1187,1187,1185,0,0,0,0,25,675,1400,1400,1555,0,777,2889,8021
