CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,
83,15,10,27,76,33,84,50,2258,2258,2257,2258,2258,2256,2258,2257,34,1377,2484,3726,2794,0,776,3250,13030,,"15159,1792207792"
81,30,30,16,30,71,16,45,2257,2257,2254,2254,2258,2258,2257,2257,34,1377,3257,4190,2947,0,775,3290,14459,,
61,40,20,58,25,41,18,38,2258,2257,2258,2258,2258,2257,2259,2257,17,1377,3566,4497,3101,0,930,3330,15424,,
38,84,30,9,30,30,58,53,2259,2257,2259,2257,2258,2252,2257,2259,6,1377,3875,4650,3100,0,930,3370,15925,,
0,81,58,33,16,8,53,55,2256,2257,2256,2258,2255,2257,2256,2257,33,1377,4185,4960,3098,0,929,3370,16542,,
76,50,30,25,36,36,30,33,2256,2262,2257,2256,2256,2257,2258,2257,34,1377,4338,4958,3253,0,1084,3410,17043,,
23,90,23,16,38,46,58,41,2257,2259,2256,2258,2256,2256,2258,2257,34,1377,4648,5113,3252,0,1084,3410,17507,,
33,85,18,25,41,36,25,30,2258,2257,2257,2258,2258,2255,2256,2256,31,1377,4648,5113,3252,0,1084,3410,17507,,
10,83,27,53,33,23,46,41,2258,2257,2257,2263,2258,2258,2257,2258,19,1377,4803,5111,3252,0,1084,3410,17660,,
18,81,25,33,76,16,36,36,2259,2258,2256,2254,2259,2258,2259,2255,28,1377,4803,5265,3252,0,1084,3451,17855,,
25,81,25,16,75,18,46,33,2258,2248,2258,2258,2256,2254,2250,2258,32,1377,4958,5265,3252,0,1084,3451,18010,,
84,15,41,41,53,28,33,38,2256,2257,2254,2254,2258,2258,2257,2256,31,1377,4803,5265,3252,0,1084,3451,17855,,
84,25,84,23,0,25,33,33,2256,2257,2257,2258,2259,2257,2258,2258,21,1377,4801,5265,3252,0,1084,3451,17853,,
91,33,45,41,7,27,33,35,2255,2256,2260,2258,2258,2256,2256,2258,25,1377,4956,5265,3252,0,1084,3451,18008,,
81,18,16,66,18,35,38,41,2260,2255,2258,2256,2254,2252,2263,2258,32,1377,4801,5265,3252,0,1084,3451,17853,,
81,38,15,27,33,53,27,27,2258,2262,2257,2256,2256,2255,2256,2255,32,1377,4956,5265,3252,0,1084,3451,18008,,
58,63,33,16,53,41,9,33,2256,2254,2258,2256,2259,2258,2256,2256,33,1377,4801,5265,3252,0,1084,3451,17853,,
