Frame,FPS
0,"0,000000"
75,"75,000000"
139,"64,000000"
192,"53,000000"
239,"47,000000"
288,"49,000000"
337,"49,000000"
385,"48,000000"
434,"49,000000"
484,"50,000000"
529,"45,000000"
572,"43,000000"
612,"40,000000"
646,"34,000000"
678,"32,000000"
710,"32,000000"
741,"31,000000"
772,"31,000000"
801,"29,000000"
829,"28,000000"
857,"28,000000"
885,"28,000000"
912,"27,000000"
938,"26,000000"
962,"24,000000"
987,"25,000000"
1010,"23,000000"
1031,"21,000000"
1053,"22,000000"
1074,"21,000000"
1095,"21,000000"
1115,"20,000000"
1135,"20,000000"
1156,"21,000000"
1177,"21,000000"
1197,"20,000000"
1217,"20,000000"
1237,"20,000000"
1257,"20,000000"
1277,"20,000000"
1297,"20,000000"
1317,"20,000000"
1337,"20,000000"
1358,"21,000000"
1378,"20,000000"
1399,"21,000000"
1418,"19,000000"
1438,"20,000000"
1462,"24,000000"
1488,"26,000000"
1514,"26,000000"
1599,"85,000000"
1669,"70,000000"
1735,"66,000000"
1801,"66,000000"
1859,"58,000000"
1896,"37,000000"
1927,"31,000000"
1960,"33,000000"
1989,"29,000000"
2017,"28,000000"
2045,"28,000000"
2072,"27,000000"
2100,"28,000000"
2127,"27,000000"
2154,"27,000000"
2182,"28,000000"
2209,"27,000000"
2238,"29,000000"
