Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess
0,"0,045412","0,016372","0,000933","0,026788",0,"89,504665","0,000000","4,741192","6,732464","2,105474"
1,"0,011654","0,016267","0,000699","0,008914",0,"37,533303","0,000000","5,692720","5,733013","2,004385"
2,"0,005495","0,015700","0,000663","0,007210",0,"29,067437","0,000000","4,028797","5,826712","1,867533"
3,"0,007299","0,013282","0,000721","0,007218",0,"28,519986","0,000000","4,028797","5,826712","1,867533"
4,"0,007115","0,018155","0,000576","0,013200",0,"39,046235","0,000000","4,028797","5,826712","1,867533"
5,"0,007159","0,013836","0,000503","0,014528",0,"36,025423","0,000000","4,028797","5,826712","1,867533"
6,"0,007104","0,017093","0,000663","0,007613",0,"32,473163","0,000000","4,028797","5,826712","1,867533"
7,"0,007097","0,015069","0,000680","0,010779",0,"33,625056","0,000000","4,158974","10,316133","3,764629"
8,"0,007141","0,016086","0,000782","0,012033",0,"36,041777","0,000000","4,158974","10,316133","3,764629"
9,"0,007031","0,015519","0,000628","0,010197",0,"33,374996","0,000000","4,158974","10,316133","3,764629"
10,"0,007102","0,015354","0,006892","0,010806",0,"40,153518","0,000000","4,158974","10,316133","3,764629"
11,"0,005765","0,014077","0,000747","0,005671",0,"26,259877","0,000000","4,158974","10,316133","3,764629"
12,"0,005984","0,030823","0,000609","0,006466",0,"43,882009","0,000000","2,238750","24,053574","1,937151"
13,"0,005369","0,034760","0,004781","0,010482",0,"55,392593","0,000000","2,416372","24,593353","4,927874"
14,"0,005393","0,023881","0,000659","0,006337",0,"36,270008","0,000000","4,756689","13,200045","2,800226"
15,"0,005475","0,039373","0,001686","0,010943",0,"57,476818","0,000000","2,381802","25,355339","8,409500"
16,"0,005324","0,024232","0,000616","0,009990",0,"40,162285","0,000000","4,756689","13,200045","2,800226"
17,"0,007491","0,018318","0,000676","0,008177",0,"34,662348","0,000000","3,834963","6,872177","4,810095"
18,"0,005321","0,032047","0,000565","0,010464",0,"48,397707","0,000000","2,218723","25,146961","2,237082"
19,"0,005437","0,021002","0,000602","0,010234",0,"37,275398","0,000000","4,869699","11,804581","1,915693"
20,"0,005315","0,032606","0,000760","0,005746",0,"44,427795","0,000000","2,467155","24,130583","2,505064"
21,"0,005372","0,024364","0,000724","0,010355",0,"40,815275","0,000000","6,510973","11,971712","3,052711"
22,"0,005381","0,013413","0,000651","0,009862",0,"29,307573","0,000000","2,491474","6,129980","2,129793"
23,"0,005333","0,035101","0,000640","0,005180",0,"46,254153","0,000000","3,160954","25,834322","2,411127"
24,"0,005347","0,022015","0,000624","0,005952",0,"33,937324","0,000000","2,212524","5,937338","1,932621"
25,"0,006421","0,012852","0,000650","0,005050",0,"24,972490","0,000000","2,212524","5,937338","1,932621"
26,"0,008283","0,038378","0,000654","0,005455",0,"52,770616","0,000000","8,062840","25,433540","2,051353"
27,"0,005490","0,023847","0,000666","0,003802",0,"33,805734","0,000000","3,665447","12,285233","3,850937"
28,"0,011151","0,015859","0,000589","0,003941",0,"31,540219","0,000000","3,221273","6,779909","3,278017"
29,"0,011131","0,033139","0,000580","0,005544",0,"50,394215","0,000000","3,046274","25,006056","2,224445"
30,"0,006465","0,020920","0,000659","0,004785",0,"32,829367","0,000000","5,188465","11,548996","1,695156"
31,"0,006408","0,033524","0,000576","0,004807",0,"45,314653","0,000000","2,402782","24,254084","2,348423"
32,"0,005286","0,021046","0,000641","0,006353",0,"33,325966","0,000000","3,745079","12,615204","2,194881"
33,"0,006636","0,022487","0,000626","0,003749",0,"33,498230","0,000000","4,579067","9,321213","4,941940"
34,"0,008085","0,034960","0,005706","0,004623",0,"53,372978","0,000000","3,948689","23,731232","4,547358"
35,"0,005385","0,019030","0,000598","0,005740",0,"30,752887","0,000000","6,089449","8,773565","1,732111"
36,"0,011805","0,034547","0,000621","0,005908",0,"52,880989","0,000000","2,373934","24,628162","2,352715"
37,"0,010611","0,022647","0,000640","0,006496",0,"40,394615","0,000000","4,492521","11,991739","2,158403"
38,"0,005891","0,013116","0,000649","0,005538",0,"25,194132","0,000000","2,480507","5,916595","2,078533"
39,"0,006724","0,036397","0,000652","0,003998",0,"47,770381","0,000000","4,382610","26,712179","1,953363"
40,"0,010988","0,024030","0,000557","0,003732",0,"39,306883","0,000000","2,597094","5,958557","3,385544"
41,"0,005671","0,014462","0,000588","0,004339",0,"25,060460","0,000000","2,597094","5,958557","3,385544"
42,"0,006019","0,032672","0,000675","0,003767",0,"43,131796","0,000000","2,341270","23,994207","3,665447"
43,"0,005343","0,022283","0,000604","0,004601",0,"32,830262","0,000000","6,643534","9,875774","1,874208"
44,"0,008657","0,033664","0,000942","0,004458",0,"47,720874","0,000000","2,283335","26,025534","1,970768"
45,"0,005427","0,024976","0,001068","0,004311",0,"35,781888","0,000000","5,305052","12,476444","4,343271"
46,"0,005335","0,032225","0,000625","0,003833",0,"42,018144","0,000000","2,477407","24,825573","2,326965"
47,"0,009336","0,023317","0,000586","0,003859",0,"37,097500","0,000000","4,097223","12,521982","3,941298"
48,"0,005310","0,015626","0,000670","0,005911",0,"27,516958","0,000000","2,686262","7,008076","2,066374"
49,"0,009525","0,035535","0,000623","0,005646",0,"51,329329","0,000000","2,297640","25,385618","3,462315"
50,"0,005558","0,021355","0,000559","0,006580",0,"34,051694","0,000000","4,372120","12,804270","1,743793"
51,"0,005350","0,015439","0,000784","0,004672",0,"26,245058","0,000000","2,248526","5,859137","3,836870"
52,"0,006326","0,036182","0,000644","0,003791",0,"46,943589","0,000000","6,127596","25,572777","1,976490"
53,"0,013639","0,023066","0,000555","0,003866",0,"41,126519","0,000000","4,089355","12,150288","3,968716"
54,"0,005592","0,016784","0,000618","0,005821",0,"28,815451","0,000000","2,737522","9,227753","2,233267"
55,"0,008318","0,034796","0,000687","0,003840",0,"47,640838","0,000000","3,883123","25,546789","1,778841"
56,"0,005315","0,023095","0,000711","0,004208",0,"33,328749","0,000000","3,254652","14,163971","3,176928"
57,"0,009204","0,013529","0,000594","0,005050",0,"28,376744","0,000000","2,256632","6,763697","2,018213"
58,"0,005341","0,033996","0,000617","0,004062",0,"44,015933","0,000000","3,063202","26,841164","1,809597"
59,"0,007118","0,026069","0,000556","0,003703",0,"37,445612","0,000000","5,990267","13,433456","3,706217"
