Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,FPS
0,"0,052902","0,014771","0,000838","0,017807",0,"86,317055",0,"2,635717","5,809546","2,164841",0
1,"0,008127","0,015216","0,001387","0,009847",0,"34,577674",0,"3,179789","7,016659","2,332687",64
2,"0,005362","0,016233","0,000658","0,008459",0,"30,711834",0,"2,289772","8,814573","2,193213",61
3,"0,008575","0,012999","0,001223","0,007445",0,"30,242544",0,"2,629519","5,801916","2,106667",57
4,"0,00708","0,02059","0,001347","0,011864",0,"40,881194",0,"3,468037","6,574154","1,978159",47
5,"0,007147","0,014061","0,000597","0,012254",0,"34,059006",0,"3,069639","5,777836","2,290249",45
6,"0,007073","0,014365","0,000596","0,006997",0,"29,030105",0,"3,55196","5,906582","2,230883",46
7,"0,007039","0,012751","0,001522","0,012064",0,"33,375728",0,"2,225637","5,817413","2,223253",49
8,"0,007111","0,012602","0,000743","0,012159",0,"32,615744",0,"2,202034","5,777359","2,208948",48
9,"0,007186","0,012801","0,00071","0,010339",0,"31,035809",0,"2,225399","5,942106","2,082109",46
10,"0,00713","0,013072","0,000889","0,009988",0,"31,078975",0,"2,233028","5,839586","2,319574",48
11,"0,00562","0,013242","0,001055","0,005627",0,"25,543948",0,"2,296686","5,861998","2,254009",43
12,"0,005801","0,013645","0,001028","0,005967",0,"26,440894",0,"2,503157","5,8496","2,14839",38
13,"0,005431","0,012731","0,001861","0,010378",0,"30,4012",0,"2,258539","5,826473","2,160549",37
14,"0,006347","0,012726","0,000617","0,004797",0,"24,487222",0,"2,182722","5,807638","1,956701",30
15,"0,005458","0,01281","0,001401","0,010359",0,"30,027656",0,"2,378464","5,912304","2,106428",27
16,"0,005372","0,013015","0,000648","0,012306",0,"31,340837",0,"2,352715","5,832911","2,24328",28
17,"0,006631","0,012898","0,000633","0,005453",0,"25,615086",0,"2,364159","5,871058","2,231598",29
18,"0,005517","0,013991","0,000647","0,011375",0,"31,529961",0,"2,337933","6,85811","2,115488",26
19,"0,005372","0,013045","0,000637","0,01096",0,"30,014473",0,"2,392054","5,887508","2,129793",25
20,"0,005381","0,013208","0,000619","0,005232",0,"24,439702",0,"2,509832","5,85413","2,255917",26
21,"0,005409","0,013164","0,002184","0,010449",0,"31,2056",0,"2,560377","5,92351","2,175093",26
22,"0,005556","0,015872","0,002298","0,010809",0,"34,534597",0,"3,878593","6,556034","2,700567",25
23,"0,005347","0,012879","0,000665","0,004216",0,"23,106906",0,"2,513885","5,835295","1,963377",25
24,"0,005336","0,012738","0,001007","0,005982",0,"25,06282",0,"2,161503","5,800962","2,146482",26
25,"0,007278","0,012782","0,00054","0,005815",0,"26,413791",0,"2,32935","5,834341","1,992941",25
26,"0,005424","0,012609","0,000536","0,003943",0,"22,511918",0,"2,282858","5,811691","2,055168",25
27,"0,005339","0,012577","0,000632","0,003876",0,"22,42414",0,"2,164364","5,867004","2,114773",23
28,"0,005404","0,012582","0,000611","0,005204",0,"23,801",0,"2,340078","5,805254","1,943588",22
29,"0,006827","0,013428","0,000618","0,004981",0,"25,854354",0,"2,308369","6,434679","1,991034",20
30,"0,005308","0,012492","0,0011","0,003746",0,"22,645937",0,"2,147675","5,852699","1,940012",21
31,"0,00536","0,012748","0,000617","0,005501",0,"24,226546",0,"2,387047","5,772114","1,968145",20
32,"0,005374","0,012779","0,00135","0,005479",0,"24,982465",0,"2,290964","5,816698","2,029657",20
33,"0,005517","0,012556","0,00187","0,003924",0,"23,867369",0,"2,32935","5,758047","2,024174",19
34,"0,006185","0,014559","0,00063","0,004804",0,"26,177626",0,"2,378941","6,97732","2,243996",19
35,"0,00534","0,0127","0,001462","0,003868",0,"23,370784",0,"2,233744","5,899906","2,094984",21
36,"0,006461","0,012813","0,00071","0,007629",0,"27,612566",0,"2,251625","5,836248","2,095461",20
37,"0,005378","0,012594","0,000648","0,006469",0,"25,089218",0,"2,260208","5,827188","2,01726",17
38,"0,006442","0,013354","0,000579","0,004579",0,"24,954112",0,"2,583504","5,928755","1,935959",18
39,"0,006989","0,012614","0,000574","0,004059",0,"24,235891",0,"2,474546","5,825281","2,048016",18
40,"0,006237","0,014437","0,001407","0,004592",0,"26,672421",0,"2,716303","6,325722","3,014565",19
41,"0,005344","0,012315","0,000584","0,003673",0,"21,915363",0,"2,257586","5,79524","1,995087",19
42,"0,006188","0,012972","0,000581","0,004076",0,"23,818474",0,"2,575636","5,858183","1,958609",20
43,"0,005928","0,012736","0,000591","0,00462",0,"23,874538",0,"2,655029","5,85413","1,966476",19
44,"0,005441","0,01239","0,000615","0,003828",0,"22,274536",0,"2,135992","5,887032","1,825333",19
45,"0,006034","0,01213","0,000545","0,004545",0,"23,254558",0,"2,118587","5,846739","1,837492",19
46,"0,005394","0,013042","0,000806","0,004859",0,"24,101486",0,"2,236366","5,840302","1,942158",18
47,"0,005321","0,012923","0,000585","0,003951",0,"22,7805",0,"2,228022","6,50382","1,919746",19
48,"0,005359","0,012228","0,00058","0,006051",0,"24,218065",0,"2,188921","5,8074","1,950979",20
49,"0,005359","0,012104","0,000669","0,005315",0,"23,4464",0,"2,113342","5,835056","1,819134",19
50,"0,005388","0,012072","0,000577","0,005989",0,"24,024717",0,"2,108812","5,793333","1,816034",21
51,"0,005392","0,012269","0,000555","0,004811",0,"23,026391",0,"2,171278","5,764961","1,964808",24
52,"0,00542","0,012135","0,000605","0,004657",0,"22,817013",0,"2,159595","5,786896","1,922131",25
53,"0,005261","0,013468","0,000577","0,004033",0,"23,339551",0,"2,172947","5,895376","1,98555",29
54,"0,005333","0,013125","0,000564","0,003993",0,"23,014585",0,"2,092838","6,793499","1,858234",68
55,"0,006004","0,012294","0,000568","0,004587",0,"23,452065",0,"2,15745","5,868673","1,954317",62
56,"0,005354","0,012237","0,000569","0,004323",0,"22,483438",0,"2,237797","5,767822","1,95837",60
57,"0,005386","0,01226","0,000648","0,003852",0,"22,145159",0,"2,067566","5,853176","1,829624",57
58,"0,005534","0,012211","0,000578","0,004769",0,"23,091674",0,"2,126455","5,852699","1,851797",57
59,"0,005448","0,012236","0,000547","0,004009",0,"22,239848",0,"2,198219","5,859137","1,966715",46
60,"0,005329","0,012314","0,000593","0,006139",0,"24,374998",0,"2,134085","5,827188","1,950026",31
61,"0,005511","0,013359","0,001675","0,005387",0,"25,93087",0,"2,246618","6,935358","1,908302",27
62,"0,005366","0,012399","0,000706","0,00409",0,"22,560912",0,"2,150059","5,85556","1,902819",29
63,"0,005468","0,012349","0,001509","0,00523",0,"24,555863",0,"2,321005","5,801201","1,830101",28
64,"0,010597","0,013582","0,000628","0,004738",0,"29,545215",0,"2,45285","5,824566","2,356768",28
65,"0,008525","0,01261","0,001524","0,003724",0,"26,384222",0,"2,237082","5,784273","2,184391",26
66,"0,005436","0,013499","0,000572","0,004528",0,"24,03435",0,"2,280951","5,80287","2,915382",28
67,"0,005601","0,012766","0,000661","0,004577",0,"23,604517",0,"2,247095","5,86915","1,952887",26
68,"0,005597","0,01271","0,001349","0,00378",0,"23,436193",0,"2,279758","5,883694","2,083063",24
69,"0,005385","0,01249","0,000546","0,004178",0,"22,598673",0,"2,179146","5,799055","1,93572",25
70,"0,005395","0,012945","0,000754","0,005337",0,"24,430132",0,"2,254009","5,82242","1,936197",26
71,"0,005351","0,014232","0,001466","0,00371",0,"24,758364",0,"2,70009","6,113291","1,848459",27
72,"0,006077","0,013941","0,000638","0,006031",0,"26,686627",0,"2,580166","6,216049","2,557993",25
73,"0,005461","0,012402","0,000567","0,005214",0,"23,643972",0,"2,336025","5,78928","1,826763",
74,"0,005382","0,012337","0,001508","0,003796",0,"23,023896",0,"2,193451","5,866051","1,870394",
75,"0,00532","0,012308","0,000765","0,004748",0,"23,141787",0,"2,458096","5,736351","1,914263",
76,"0,005276","0,012244","0,000779","0,00477",0,"23,068473",0,"2,168179","5,842686","1,810074",
77,"0,005307","0,012333","0,000588","0,004268",0,"22,49659",0,"2,131462","5,789757","1,915932",
78,"0,005584","0,012594","0,002443","0,003831",0,"24,451157",0,"2,358913","5,802393","2,047777",
79,"0,005442","0,013631","0,001503","0,00483",0,"25,406664",0,"2,222061","7,067442","1,922846",
80,"0,005683","0,012483","0,000664","0,005119",0,"23,948748",0,"2,262592","5,79381","2,016783",
81,"0,005376","0,01294","0,002659","0,003868",0,"24,843228",0,"2,212286","6,168365","2,131701",
82,"0,005497","0,012838","0,000623","0,004501",0,"23,460097",0,"2,370119","5,777597","2,034187",
83,"0,007177","0,014043","0,001546","0,006053",0,"28,818798",0,"2,280951","7,166862","2,002716",
