Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess,,Captura,Procesamiento,Tracking,Escritura
0,"0,080954","0,063324","0,009246","0,122079",0,0,0,0,"15,790701","38,528919","4,50182",,"29,927362","137,077759","135,769657","105,462255"
1,"0,013814","0,050943","0,008929","0,023998",0,0,0,20,"13,337612","28,119326","4,393578",,,,,
2,"0,013675","0,050914","0,009308","0,018111",0,0,0,32,"6,675243","27,833462","4,922628",,,,,
3,"0,015321","0,049052","0,004474","0,015588",0,0,0,50,"12,689114","27,763367","4,075766",,,,,
4,"0,014432","0,048048","0,003902","0,020636",0,0,0,50,"11,745691","28,881311","4,133463",,,,,
5,"0,016155","0,041943","0,006028","0,021563",0,0,0,33,"6,663084","27,86684","4,014492",,,,,
6,"0,013875","0,051676","0,002696","0,014038",0,0,0,34,"9,533882","35,017967","4,042864",,,,,
7,"0,013776","0,044077","0,003155","0,023542",0,0,0,36,"9,097099","27,85182","4,239559",,,,,
8,"0,019507","0,040916","0,006705","0,02484",0,0,0,34,"9,171963","24,107695","3,956795",,,,,
9,"0,013799","0,037853","0,007261","0,020928",0,0,0,29,"10,230303","20,029545","4,206181",,,,,
10,"0,01361","0,034077","0,004071","0,019978",0,0,0,36,"5,589962","20,08152","4,508495",,,,,
11,"0,013681","0,03819","0,004362","0,011859",0,0,0,35,"7,606983","23,052216","4,340887",,,,,
12,"0,015133","0,036572","0,003612","0,012247",0,0,0,38,"9,398699","20,14637","3,849268",,,,,
13,"0,013689","0,03842","0,003601","0,023547",0,0,0,38,"9,466648","20,116806","5,759239",,,,,
14,"0,010205","0,034754","0,004883","0,012835",0,0,0,32,"7,202864","20,280123","3,769875",,,,,
15,"0,010384","0,03576","0,007736","0,021718",0,0,0,32,"8,643627","20,379543","3,680944",,,,,
16,"0,011188","0,040813","0,006412","0,020286",0,0,0,26,"7,716894","24,829388","4,523277",,,,,
17,"0,015697","0,036952","0,005155","0,013069",0,0,0,24,"6,602287","20,193338","4,388809",,,,,
18,"0,010401","0,036365","0,006453","0,021559",0,0,0,22,"6,976128","20,231009","4,268169",,,,,
19,"0,010555","0,038028","0,003923","0,02026",0,0,0,21,"8,733511","20,37096","4,147291",,,,,
20,"0,010958","0,056655","0,004388","0,0102",0,0,0,20,"8,90708","38,600683","5,649328",,,,,
21,"0,01034","0,043732","0,003432","0,020957",0,0,0,18,"9,654284","25,607586","3,99065",,,,,
22,"0,01044","0,03015","0,005583","0,019975",0,0,0,16,"7,355928","15,795708","4,002571",,,,,
23,"0,010371","0,038647","0,004847","0,010936",0,0,0,15,"8,018494","20,437717","6,211996",,,,,
24,"0,010443","0,051401","0,002951","0,013276",0,0,0,14,"5,292177","34,187794","5,140781",,,,,
25,"0,010275","0,04775","0,006274","0,01088",0,0,0,15,"6,850481","33,414602","4,454613",,,,,
26,"0,010251","0,04677","0,004127","0,010465",0,0,0,17,"8,869886","26,593447","5,997658",,,,,
27,"0,01186","0,047794","0,003179","0,008174",0,0,0,15,"5,597353","27,61817","4,361629",,,,,
28,"0,010404","0,043358","0,003883","0,008577",0,0,0,15,"6,575346","27,335644","5,918503",,,,,
29,"0,010502","0,034025","0,003183","0,007541",0,0,0,15,"5,098104","20,11466","6,184578",,,,,
30,"0,012219","0,032123","0,002652","0,007914",0,0,0,12,"5,957603","19,884825","3,894567",,,,,
31,"0,010503","0,0323","0,002679","0,009748",0,0,0,12,"6,291866","19,503355","4,256248",,,,,
32,"0,010395","0,034155","0,003093","0,010451",0,0,0,12,"7,820606","20,234108","3,694057",,,,,
33,"0,011548","0,032092","0,006586","0,008142",0,0,0,12,"6,390333","18,247604","5,153418",,,,,
34,"0,01017","0,030069","0,010643","0,008356",0,0,0,11,"4,833221","18,393755","4,272938",,,,,
35,"0,010526","0,031873","0,009068","0,008021",0,0,0,10,"8,398056","17,220259","3,814697",,,,,
36,"0,0113","0,028509","0,006028","0,011871",0,0,0,12,"4,771709","17,085075","3,857136",,,,,
37,"0,010137","0,029657","0,002563","0,010724",0,0,0,12,"4,436255","17,683268","3,88813",,,,,
38,"0,011416","0,029775","0,001927","0,009354",0,0,0,11,"5,385637","17,270565","4,028797",,,,,
39,"0,011391","0,030486","0,007958","0,009318",0,0,0,9,"6,335735","17,373562","4,036903",,,,,
40,"0,010419","0,037442","0,00268","0,007819",0,0,0,10,"4,076481","19,980907","9,43923",,,,,
41,"0,009933","0,024421","0,002424","0,007717",0,0,0,10,"5,199671","13,202667","3,610134",,,,,
42,"0,009981","0,023507","0,002917","0,009398",0,0,0,9,"4,662991","12,94589","3,612995",,,,,
43,"0,012064","0,025065","0,003915","0,007972",0,0,0,9,"6,456614","12,85243","3,471136",,,,,
44,"0,010174","0,024773","0,003136","0,008165",0,0,0,9,"5,098343","12,779951","3,662825",,,,,
45,"0,010084","0,022353","0,006035","0,009418",0,0,0,9,"5,121946","11,784077","3,256559",,,,,
46,"0,010461","0,018117","0,002722","0,00823",0,0,0,9,"4,253387","8,564711","2,7771",,,,,
47,"0,009965","0,018405","0,002747","0,007933",0,0,0,10,"4,727364","8,458376","2,958298",,,,,
48,"0,013211","0,018952","0,00527","0,011743",0,0,0,10,"4,9963","8,534908","3,084183",,,,,
49,"0,01123","0,019845","0,007219","0,009892",0,0,0,11,"5,439043","8,486748","3,052711",,,,,
50,"0,010127","0,018213","0,003","0,01314",0,0,0,10,"3,627777","8,717775","2,926826",,,,,
51,"0,011293","0,019521","0,002761","0,009351",0,0,0,8,"5,331755","8,4548","3,343105",,,,,
52,"0,010761","0,018621","0,002381","0,00813",0,0,0,8,"4,894018","8,484125","3,041744",,,,,
53,"0,010065","0,018502","0,003752","0,008018",0,0,0,8,"4,597425","8,518219","3,044128",,,,,
54,"0,011004","0,019597","0,004861","0,008082",0,0,0,9,"5,946636","8,506536","2,910137",,,,,
55,"0,009955","0,021024","0,002669","0,008945",0,0,0,8,"7,359743","8,472204","2,901077",,,,,
56,"0,010227","0,018545","0,002459","0,008613",0,0,0,8,"4,794359","8,470297","2,940893",,,,,
57,"0,010181","0,018958","0,002716","0,008153",0,0,0,8,"4,528284","8,597851","3,079414",,,,,
58,"0,009959","0,01861","0,002797","0,007891",0,0,0,8,"5,000353","8,446693","2,923012",,,,,
59,"0,011247","0,020196","0,002582","0,008086",0,0,0,8,"4,563808","10,466576","3,001928",,,,,
60,"0,010317","0,019224","0,002603","0,011911",0,0,0,8,"5,166054","8,784533","3,00622",,,,,
61,"0,010592","0,019006","0,002883","0,009649",0,0,0,8,"5,150795","8,469343","2,968073",,,,,
62,"0,010385","0,018891","0,002628","0,008073",0,0,0,7,"5,161762","8,511305","3,043413",,,,,
63,"0,010201","0,021758","0,003593","0,010479",0,0,0,9,"7,329464","8,396149","2,964258",,,,,
