Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess,
0,"0,038842","0,037156","0,002697","0,199505",0,"278,20123",0,0,"7,251263","23,643255","4,091024",
1,"0,007483","0,03385","0,010842","0,013899",0,"66,073285",0,28,"5,088091","23,951054","3,226042",
2,"0,00739","0,038344","0,004758","0,010533",0,"61,025883",0,33,"9,848595","23,320436","1,972675",
3,"0,007206","0,029842","0,001729","0,019169",0,"57,946034",0,32,"2,788305","23,32139","1,904488",
4,"0,007448","0,031681","0,001717","0,01266",0,"53,50601",0,31,"3,309011","23,325443","2,932072",
5,"0,008413","0,03079","0,004345","0,022471",0,"66,019778",0,32,"3,329515","23,267508","2,019405",
6,"0,007625","0,033272","0,002978","0,008719",0,"52,594363",0,29,"3,013372","23,246288","2,217293",
7,"0,007069","0,036778","0,00146","0,016156",0,"61,463401",0,27,"8,829117","23,535728","2,270222",
8,"0,007022","0,035464","0,00191","0,01392",0,"58,31539",0,28,"4,252434","24,129868","2,439022",
9,"0,007114","0,036335","0,00255","0,011855",0,"57,854573",0,29,"7,214546","24,688959","2,172947",
10,"0,009743","0,032052","0,002379","0,012559",0,"56,732936",0,28,"3,22032","23,742914","2,655029",
11,"0,007063","0,033498","0,001701","0,012984",0,"55,245653",0,30,"3,544092","23,916721","3,702402",
12,"0,007021","0,032453","0,001624","0,007303",0,"48,401548",0,28,"3,405333","25,005341","2,099514",
13,"0,006989","0,030872","0,003682","0,011516",0,"53,059787",0,29,"3,12686","23,731232","2,379656",
14,"0,007409","0,033548","0,003524","0,009559",0,"54,039628",0,29,"5,569458","23,984194","2,305031",
15,"0,007357","0,030873","0,002014","0,011951",0,"52,194061",0,28,"2,54941","24,590254","1,973867",
16,"0,007329","0,031868","0,003017","0,011301",0,"53,515642",0,29,"3,363132","24,698734","1,968861",
17,"0,007789","0,032196","0,00244","0,00656",0,"48,985825",0,29,"3,405094","24,420261","1,979113",
18,"0,00924","0,03345","0,003705","0,01168",0,"58,073909",0,29,"3,804207","24,650574","2,102852",
19,"0,007478","0,03344","0,003811","0,01155",0,"56,278392",0,29,"5,260229","24,346352","2,143383",
