Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
0,"0,037928","0,01799","0,00267","0,181831",0,0,0,0,"7,687092","5,956173","2,105713"
1,"0,006983","0,016467","0,001729","0,017507",0,0,0,65,"5,529404","7,115602","2,122879"
2,"0,00699","0,015101","0,00406","0,012274",0,0,0,72,"3,543854","7,3843","2,191305"
3,"0,007914","0,014459","0,00367","0,009941",0,0,0,61,"4,799128","5,979061","2,066135"
4,"0,009811","0,013548","0,004016","0,0142",0,0,0,56,"3,257275","6,67882","1,936436"
5,"0,008972","0,014948","0,007398","0,015482",0,0,0,54,"3,478527","6,234646","2,202749"
6,"0,008626","0,018966","0,003218","0,010561",0,0,0,54,"8,134127","5,791903","2,335787"
7,"0,007891","0,015357","0,002198","0,015803",0,0,0,55,"5,024433","5,919456","2,272129"
8,"0,007622","0,01463","0,002177","0,013894",0,0,0,55,"3,905296","6,267548","2,091885"
9,"0,007764","0,013924","0,001934","0,01346",0,0,0,52,"3,491163","6,031513","2,270699"
10,"0,009386","0,015797","0,001732","0,01142",0,0,0,44,"3,210068","8,335829","2,303839"
11,"0,007551","0,01322","0,004164","0,021971",0,0,0,40,"3,144026","5,827665","2,367258"
12,"0,009661","0,013544","0,001534","0,009521",0,0,0,35,"2,712965","6,612778","2,236843"
13,"0,007503","0,012296","0,001807","0,012035",0,0,0,32,"2,245188","5,865812","2,350569"
14,"0,009056","0,014565","0,001716","0,009944",0,0,0,0,"2,295017","6,224632","3,83997"
15,"0,007383","0,013669","0,001308","0,013145",0,0,0,0,"2,462149","6,033659","2,298355"
16,"0,008293","0,01409","0,0058","0,015073",0,0,0,0,"2,566576","6,47068","2,489328"
17,"0,011004","0,012947","0,001702","0,007537",0,0,0,0,"2,585411","6,532192","2,022266"
18,"0,008825","0,012342","0,001426","0,011773",,0,0,0,"2,90966","5,779505","1,877308"
19,"0,007793","0,013606","0,00154","0,014688",0,0,0,0,"3,317118","6,231546","2,358913"
20,"0,007612","0,012217","0,002518","0,00643",0,0,0,0,"2,673388","5,914211","1,797676"
21,"0,007943","0,013418","0,002592","0,011911",0,0,0,0,"2,431631","6,07872","3,193855"
22,"0,008412","0,013444","0,001452","0,01137",0,0,0,0,"2,728224","5,920649","3,359079"
23,"0,007302","0,012941","0,003267","0,005965",0,0,0,0,"2,399683","6,584167","2,166271"
24,"0,00603","0,016235","0,001433","0,007482",0,0,0,0,"2,465963","9,068727","2,378225"
25,"0,007345","0,014986","0,001668","0,00695",0,0,0,0,"4,56214","6,378174","2,260685"
26,"0,007273","0,013591","0,001583","0,006879",0,0,0,0,"2,460241","6,433249","2,370119"
27,"0,005285","0,01426","0,001664","0,006197",0,0,0,0,"3,620863","5,717516","2,195835"
28,"0,005315","0,014212","0,003339","0,005978",0,0,0,0,"3,768682","6,511688","2,143145"
29,"0,007865","0,014195","0,001747","0,005321",0,0,0,0,"2,893209","7,860899","1,890421"
30,"0,005396","0,016581","0,00555","0,005296",0,0,0,0,"3,275871","6,611109","3,361464"
31,"0,007073","0,015337","0,004052","0,007904",0,0,0,0,"2,584457","7,627964","1,919985"
32,"0,005519","0,015306","0,005138","0,00823",0,0,0,0,"4,925966","6,896734","1,886845"
33,"0,005354","0,013598","0,00169","0,006287",0,0,0,0,"2,969265","6,818533","2,091169"
34,"0,00553","0,015443","0,001851","0,005342",0,0,0,0,"3,570318","8,399963","1,886368"
