Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
0,0,"0,015112",0,0,0,"0,000000",0,0,"4,320383","5,985975","2,122641"
1,0,"0,019065",0,0,0,"0,000000",0,0,"7,320642","5,699396","2,805233"
2,0,"0,014199",0,0,0,"0,000000",0,0,"3,039598","6,129265","2,473831"
3,0,"0,013970",0,0,0,"0,000000",0,0,"2,277851","7,164955","1,973391"
4,0,"0,014050",0,0,0,"0,000000",0,0,"2,258539","7,252693","2,061129"
5,0,"0,015613",0,0,0,"0,000000",0,0,"4,243612","6,991863","1,935005"
6,0,"0,014132",0,0,0,"0,000000",0,0,"2,476215","7,308006","1,878500"
7,0,"0,014706",0,0,0,"0,000000",0,0,"2,083302","7,579803","2,550840"
8,0,"0,014430",0,0,0,"0,000000",0,0,"2,153397","7,448196","2,357483"
9,0,"0,013345",0,0,0,"0,000000",0,0,"2,707481","6,021261","2,006531"
10,0,"0,013940",0,0,0,"0,000000",0,0,"2,189875","7,215023","1,993418"
11,0,"0,015217",0,0,0,"0,000000",0,0,"2,441406","7,265091","1,951694"
12,0,"0,014167",0,0,0,"0,000000",0,0,"2,318859","7,142067","1,987457"
13,0,"0,012670",0,0,0,"0,000000",0,0,"2,466917","5,779743","2,046585"
14,0,"0,015345",0,0,0,"0,000000",0,0,"2,362967","6,779909","2,895594"
15,0,"0,014852",0,0,0,"0,000000",0,0,"2,297401","7,182598","2,727509"
16,0,"0,012287",0,0,0,"0,000000",0,0,"2,235174","5,775928","1,968145"
17,0,"0,013709",0,0,0,"0,000000",0,0,"2,224922","7,096767","1,935005"
18,0,"0,013662",0,0,0,"0,000000",0,0,"2,376080","5,808353","2,946377"
19,0,"0,013647",0,0,0,"0,000000",0,0,"2,214670","5,908489","2,621412"
20,0,"0,012955",0,0,0,"0,000000",0,0,"2,109528","5,898952","2,115726"
21,0,"0,013676",0,0,0,"0,000000",0,0,"2,165794","5,870819","3,083944"
22,0,"0,014338",0,0,0,"0,000000",0,0,"2,763987","6,715536","2,461672"
23,0,"0,013177",0,0,0,"0,000000",0,0,"2,300978","5,785704","2,651930"
24,0,"0,012352",0,0,0,"0,000000",0,0,"2,149105","5,819559","1,825333"
25,0,"0,013040",0,0,0,"0,000000",0,0,"2,174377","5,764961","2,537489"
26,0,"0,014456",0,0,0,"0,000000",0,0,"2,212286","7,087231","2,730846"
27,0,"0,012979",0,0,0,"0,000000",0,0,"2,178431","6,197691","2,210617"
28,0,"0,013624",0,0,0,"0,000000",0,0,"2,251387","7,052422","1,850367"
29,0,"0,012972",0,0,0,"0,000000",0,0,"2,114534","5,815983","2,506018"
30,0,"0,013948",0,0,0,"0,000000",0,0,"2,307892","7,249594","1,923084"
31,0,"0,014542",0,0,0,"0,000000",0,0,"2,139330","7,153511","2,645254"
32,0,"0,013472",0,0,0,"0,000000",0,0,"2,055168","6,537437","2,003431"
33,0,"0,013082",0,0,0,"0,000000",0,0,"2,158403","5,938768","2,580643"
34,0,"0,013589",0,0,0,"0,000000",0,0,"2,175093","7,004023","2,066135"
35,0,"0,013469",0,0,0,"0,000000",0,0,"2,171278","6,919622","2,059221"
36,0,"0,013645",0,0,0,"0,000000",0,0,"2,241135","7,029295","2,024174"
37,0,"0,013431",0,0,0,"0,000000",0,0,"2,235413","6,156445","2,472162"
38,0,"0,013584",0,0,0,"0,000000",0,0,"2,198458","7,103682","1,928806"
39,0,"0,013574",0,0,0,"0,000000",0,0,"2,323627","6,997347","1,926899"
40,0,"0,014182",0,0,0,"0,000000",0,0,"2,769470","7,063150","1,865625"
41,0,"0,013962",0,0,0,"0,000000",0,0,"2,249718","7,171631","1,882553"
42,0,"0,013450",0,0,0,"0,000000",0,0,"2,250195","6,794691","1,809835"
43,0,"0,012778",0,0,0,"0,000000",0,0,"2,338171","6,077528","1,935720"
44,0,"0,014963",0,0,0,"0,000000",0,0,"2,341270","7,894516","1,959085"
45,0,"0,013658",0,0,0,"0,000000",0,0,"2,254725","6,275654","2,676249"
46,0,"0,013122",0,0,0,"0,000000",0,0,"2,289295","6,167650","2,243042"
47,0,"0,012425",0,0,0,"0,000000",0,0,"2,410412","5,778074","1,904964"
48,0,"0,012371",0,0,0,"0,000000",0,0,"2,347231","5,828619","1,909018"
49,0,"0,015339",0,0,0,"0,000000",0,0,"2,531290","8,390903","1,944780"
50,0,"0,014133",0,0,0,"0,000000",0,0,"2,120018","7,111311","2,232552"
51,0,"0,012582",0,0,0,"0,000000",0,0,"2,228975","5,831718","1,872540"
52,0,"0,014648",0,0,0,"0,000000",0,0,"2,186537","7,643461","2,070904"
53,0,"0,015027",0,0,0,"0,000000",0,0,"2,246618","8,289099","1,900911"
54,0,"0,014815",0,0,0,"0,000000",0,0,"2,172709","6,080389","4,052401"
55,0,"0,012934",0,0,0,"0,000000",0,0,"2,333879","6,007910","2,016783"
56,0,"0,014033",0,0,0,"0,000000",0,0,"2,420187","6,834745","2,172947"
57,0,"0,014622",0,0,0,"0,000000",0,0,"2,200842","6,731033","2,115011"
58,0,"0,014806",0,0,0,"0,000000",0,0,"2,652645","7,603645","2,230883"
59,0,"0,016335",0,0,0,"0,000000",0,0,"4,140377","7,134914","2,120018"
60,0,"0,014705",0,0,0,"0,000000",0,0,"2,647161","7,052422","2,194881"
61,0,"0,014129",0,0,0,"0,000000",0,0,"2,789497","6,286860","2,074242"
62,0,"0,014159",0,0,0,"0,000000",0,0,"2,263784","7,480383","2,077579"
63,0,"0,014780",0,0,0,"0,000000",0,0,"3,599882","6,325960","2,119541"
64,0,"0,018194",0,0,0,"0,000000",0,0,"2,265692","9,680986","1,985312"
65,0,"0,014115",0,0,0,"0,000000",0,0,"3,424644","5,845308","2,105474"
66,0,"0,012771",0,0,0,"0,000000",0,0,"2,381563","5,940199","1,937151"
67,0,"0,012783",0,0,0,"0,000000",0,0,"2,232313","5,806923","2,351284"
68,0,"0,013169",0,0,0,"0,000000",0,0,"2,571344","5,848646","2,164364"
69,0,"0,014794",0,0,0,"0,000000",0,0,"2,387285","5,898237","3,138781"
70,0,"0,012792",0,0,0,"0,000000",0,0,"2,536297","5,824327","1,947641"
71,0,"0,012397",0,0,0,"0,000000",0,0,"2,211809","5,820990","1,973867"
72,0,"0,014231",0,0,0,"0,000000",0,0,"3,514528","6,157160","2,164364"
73,0,"0,015699",0,0,0,"0,000000",0,0,"2,466440","8,730650","2,057076"
74,0,"0,015677",0,0,0,"0,000000",0,0,"2,866983","8,412838","1,842499"
75,0,"0,012678",0,0,0,"0,000000",0,0,"2,307653","5,758286","2,349615"
76,0,"0,013628",0,0,0,"0,000000",0,0,"2,273321","6,619692","1,955986"
77,0,"0,015636",0,0,0,"0,000000",0,0,"2,130985","6,969690","3,056049"
78,0,"0,013908",0,0,0,"0,000000",0,0,"2,573013","6,518126","2,186775"
79,0,"0,017728",0,0,0,"0,000000",0,0,"2,292395","6,826401","4,998684"
80,0,"0,015090",0,0,0,"0,000000",0,0,"2,399206","7,357359","2,296209"
81,0,"0,013907",0,0,0,"0,000000",0,0,"2,614975","6,392956","2,072811"
82,0,"0,017439",0,0,0,"0,000000",0,0,"2,552509","7,975578","2,379179"
83,0,"0,017530",0,0,0,"0,000000",0,0,"2,422571","8,790016","3,408909"
84,0,"0,013645",0,0,0,"0,000000",0,0,"2,177000","6,550789","2,540588"
85,0,"0,014552",0,0,0,"0,000000",0,0,"2,232313","7,863045","2,047777"
86,0,"0,015016",0,0,0,"0,000000",0,0,"2,880573","7,598639","1,955509"
87,0,"0,015884",0,0,0,"0,000000",0,0,"2,482891","8,945227","2,068758"
88,0,"0,013693",0,0,0,"0,000000",0,0,"2,102375","7,170916","1,981020"
89,0,"0,013863",0,0,0,"0,000000",0,0,"2,117872","7,445097","1,883268"
90,0,"0,013969",0,0,0,"0,000000",0,0,"2,547741","6,981134","1,957655"
91,0,"0,013499",0,0,0,"0,000000",0,0,"2,136469","7,107019","1,937389"
92,0,"0,014158",0,0,0,"0,000000",0,0,"2,271652","7,545710","1,965761"
93,0,"0,013483",0,0,0,"0,000000",0,0,"2,416372","6,845951","1,914501"
94,0,"0,013180",0,0,0,"0,000000",0,0,"2,027512","6,855726","1,961470"
95,0,"0,016134",0,0,0,"0,000000",0,0,"2,832413","7,304668","2,075911"
96,0,"0,014108",0,0,0,"0,000000",0,0,"2,386808","7,330656","2,078056"
97,0,"0,013288",0,0,0,"0,000000",0,0,"2,481222","6,164789","1,864433"
98,0,"0,012573",0,0,0,"0,000000",0,0,"2,238274","5,791187","2,227545"
99,0,"0,013602",0,0,0,"0,000000",0,0,"2,146006","6,972790","1,943827"
100,0,"0,014491",0,0,0,"0,000000",0,0,"2,148151","7,915974","1,928091"
101,0,"0,013873",0,0,0,"0,000000",0,0,"2,058983","6,855011","2,367496"
102,0,"0,012556",0,0,0,"0,000000",0,0,"1,834869","5,933762","2,470493"
103,0,"0,013430",0,0,0,"0,000000",0,0,"1,907110","7,052183","1,847267"
104,0,"0,014421",0,0,0,"0,000000",0,0,"2,118826","7,213116","2,013206"
105,0,"0,013619",0,0,0,"0,000000",0,0,"2,164125","7,327795","1,910448"
106,0,"0,012312",0,0,0,"0,000000",0,0,"1,888990","6,090403","1,890182"
107,0,"0,014148",0,0,0,"0,000000",0,0,"3,118753","6,638050","1,971483"
108,0,"0,012386",0,0,0,"0,000000",0,0,"2,016068","6,065130","1,856089"
109,0,"0,012028",0,0,0,"0,000000",0,0,"2,120018","5,725145","1,807451"
110,0,"0,012753",0,0,0,"0,000000",0,0,"2,475262","5,781174","2,195597"
111,0,"0,012824",0,0,0,"0,000000",0,0,"2,337933","6,243467","1,872778"
112,0,"0,012614",0,0,0,"0,000000",0,0,"2,179146","6,112576","1,917601"
113,0,"0,012792",0,0,0,"0,000000",0,0,"2,201080","6,167889","2,079725"
114,0,"0,012048",0,0,0,"0,000000",0,0,"2,123117","5,741119","1,824617"
115,0,"0,013112",0,0,0,"0,000000",0,0,"2,516508","6,203890","1,886129"
116,0,"0,014327",0,0,0,"0,000000",0,0,"2,863646","6,287098","1,949787"
117,0,"0,013608",0,0,0,"0,000000",0,0,"2,592325","6,074190","1,915932"
118,0,"0,012803",0,0,0,"0,000000",0,0,"2,211809","5,705357","1,957893"
119,0,"0,015142",0,0,0,"0,000000",0,0,"2,333879","7,315159","3,062010"
120,0,"0,012384",0,0,0,"0,000000",0,0,"2,084732","5,821705","2,031088"
121,0,"0,012128",0,0,0,"0,000000",0,0,"2,099514","5,788326","1,903534"
122,0,"0,014489",0,0,0,"0,000000",0,0,"2,223015","7,393599","2,013683"
123,0,"0,013689",0,0,0,"0,000000",0,0,"2,049446","7,249594","2,051592"
124,0,"0,014548",0,0,0,"0,000000",0,0,"2,445936","7,117987","1,915693"
125,0,"0,014989",0,0,0,"0,000000",0,0,"2,951145","7,423639","2,220869"
126,0,"0,013836",0,0,0,"0,000000",0,0,"2,333403","7,249594","1,964092"
127,0,"0,014909",0,0,0,"0,000000",0,0,"2,240658","6,293774","3,913641"
128,0,"0,014934",0,0,0,"0,000000",0,0,"2,518177","6,870270","2,811670"
129,0,"0,013650",0,0,0,"0,000000",0,0,"2,059937","5,954027","2,630949"
130,0,"0,014783",0,0,0,"0,000000",0,0,"2,098083","7,057667","2,207994"
131,0,"0,019712",0,0,0,"0,000000",0,0,"4,725695","7,166624","2,037048"
132,0,"0,014281",0,0,0,"0,000000",0,0,"2,073288","7,033825","2,157927"
133,0,"0,015104",0,0,0,"0,000000",0,0,"2,166033","8,254766","1,909733"
