02-20-2025 09:33:38 RAM 13173/30991MB (lfb 2367x4MB) SWAP 3/15495MB (cached 0MB) CPU [75%@2264,21%@2265,16%@2271,50%@2261,61%@2265,16%@2264,7%@2264,38%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 98%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.1C Tboard@48C AO@48C GPU@52C Tdiode@50.75C PMIC@50C GPU 5728mW/5728mW CPU 3405mW/3405mW SOC 3251mW/3251mW CV 0mW/0mW VDDRQ 928mW/928mW SYS5V 3640mW/3640mW
02-20-2025 09:33:38 RAM 13185/30991MB (lfb 2367x4MB) SWAP 3/15495MB (cached 0MB) CPU [61%@2262,27%@2264,33%@2264,41%@2264,50%@2262,58%@2265,8%@2264,30%@2263] EMC_FREQ 7%@2133 GR3D_FREQ 98%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@50.1C Tboard@48C AO@48.5C GPU@52C Tdiode@50.75C PMIC@50C GPU 6651mW/6189mW CPU 3867mW/3636mW SOC 3248mW/3249mW CV 0mW/0mW VDDRQ 1082mW/1005mW SYS5V 3680mW/3660mW
02-20-2025 09:33:38 RAM 13186/30991MB (lfb 2359x4MB) SWAP 3/15495MB (cached 0MB) CPU [0%@2266,42%@2262,72%@2269,40%@2256,0%@2260,50%@2261,25%@2257,16%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 71%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@50.1C Tboard@48C AO@48.5C GPU@51C Tdiode@50.75C PMIC@50C GPU 7267mW/6548mW CPU 3865mW/3712mW SOC 3401mW/3300mW CV 0mW/0mW VDDRQ 1082mW/1030mW SYS5V 3720mW/3680mW
02-20-2025 09:33:38 RAM 13186/30991MB (lfb 2349x4MB) SWAP 3/15495MB (cached 0MB) CPU [16%@2263,18%@2265,25%@2261,30%@2264,0%@2262,33%@2263,38%@2263,8%@2265] EMC_FREQ 10%@2133 GR3D_FREQ 11%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@50.1C Tboard@48C AO@48.5C GPU@51.5C Tdiode@51.25C PMIC@50C GPU 8037mW/6920mW CPU 3862mW/3749mW SOC 3554mW/3363mW CV 0mW/0mW VDDRQ 1235mW/1081mW SYS5V 3760mW/3700mW
02-20-2025 09:33:38 RAM 13187/30991MB (lfb 2339x4MB) SWAP 3/15495MB (cached 0MB) CPU [25%@2265,16%@2262,8%@2265,46%@2265,33%@2265,66%@2264,58%@2266,8%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 76%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@50.1C Tboard@48C AO@48.5C GPU@53.5C Tdiode@51.25C PMIC@50C GPU 10029mW/7542mW CPU 3857mW/3771mW SOC 3704mW/3431mW CV 0mW/0mW VDDRQ 1388mW/1143mW SYS5V 3840mW/3728mW
02-20-2025 09:33:38 RAM 13189/30991MB (lfb 2328x4MB) SWAP 3/15495MB (cached 0MB) CPU [33%@2265,16%@2262,33%@2264,46%@2265,25%@2263,69%@2264,16%@2263,41%@2262] EMC_FREQ 14%@2133 GR3D_FREQ 85%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@50.1C Tboard@48C AO@48.5C GPU@54C Tdiode@51.5C PMIC@50C GPU 11254mW/8161mW CPU 4162mW/3836mW SOC 3854mW/3502mW CV 0mW/0mW VDDRQ 1541mW/1209mW SYS5V 3953mW/3765mW
02-20-2025 09:33:39 RAM 13188/30991MB (lfb 2317x4MB) SWAP 3/15495MB (cached 0MB) CPU [38%@2267,61%@2261,0%@2261,41%@2262,0%@2264,36%@2261,9%@2265,50%@2264] EMC_FREQ 16%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@50.1C Tboard@48C AO@48.5C GPU@53.5C Tdiode@51.5C PMIC@50C GPU 12323mW/8755mW CPU 4159mW/3882mW SOC 4005mW/3573mW CV 0mW/0mW VDDRQ 1694mW/1278mW SYS5V 3993mW/3798mW
02-20-2025 09:33:39 RAM 13188/30991MB (lfb 2307x4MB) SWAP 3/15495MB (cached 0MB) CPU [41%@2264,33%@2265,0%@2264,41%@2263,8%@2266,30%@2264,38%@2264,40%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 46%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@50.1C Tboard@48C AO@49C GPU@54C Tdiode@51.5C PMIC@50C GPU 13088mW/9297mW CPU 4157mW/3916mW SOC 4003mW/3627mW CV 0mW/0mW VDDRQ 1847mW/1349mW SYS5V 4033mW/3827mW
02-20-2025 09:33:39 RAM 13189/30991MB (lfb 2295x4MB) SWAP 3/15495MB (cached 0MB) CPU [50%@2264,9%@2261,15%@2262,41%@2264,28%@2261,16%@2263,53%@2264,53%@2262] EMC_FREQ 20%@2133 GR3D_FREQ 58%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@50.1C Tboard@48C AO@49C GPU@54.5C Tdiode@51.5C PMIC@50C GPU 13544mW/9769mW CPU 4155mW/3943mW SOC 4003mW/3669mW CV 0mW/0mW VDDRQ 1847mW/1404mW SYS5V 4033mW/3850mW
02-20-2025 09:33:39 RAM 13189/30991MB (lfb 2285x4MB) SWAP 3/15495MB (cached 0MB) CPU [33%@2264,23%@2265,0%@2264,36%@2264,36%@2264,0%@2265,53%@2264,41%@2260] EMC_FREQ 21%@2133 GR3D_FREQ 98%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@50.1C Tboard@48C AO@49C GPU@54.5C Tdiode@51.75C PMIC@50C GPU 14000mW/10192mW CPU 4155mW/3964mW SOC 4155mW/3717mW CV 0mW/0mW VDDRQ 1846mW/1449mW SYS5V 4073mW/3872mW
02-20-2025 09:33:39 RAM 13189/30991MB (lfb 2274x4MB) SWAP 3/15495MB (cached 0MB) CPU [33%@2264,0%@2262,7%@2261,41%@2264,46%@2260,8%@2263,41%@2264,50%@2264] EMC_FREQ 22%@2133 GR3D_FREQ 93%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51C thermal@51.2C Tboard@48C AO@49C GPU@54.5C Tdiode@51.75C PMIC@50C GPU 14308mW/10566mW CPU 4001mW/3967mW SOC 4155mW/3757mW CV 0mW/0mW VDDRQ 1846mW/1485mW SYS5V 4073mW/3890mW
