01-27-2025 13:28:46 RAM 9732/30991MB (lfb 4219x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2259,8%@2259,18%@2258,25%@2254,92%@2258,27%@2260,38%@2260,50%@2260] EMC_FREQ 5%@2133 GR3D_FREQ 16%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@39.5C thermal@37.25C Tboard@36C AO@36.5C GPU@36.5C Tdiode@41.5C PMIC@50C GPU 928mW/928mW CPU 4952mW/4952mW SOC 2940mW/2940mW CV 1393mW/1393mW VDDRQ 773mW/773mW SYS5V 3685mW/3685mW
01-27-2025 13:28:46 RAM 9788/30991MB (lfb 4205x4MB) SWAP 0/15495MB (cached 0MB) CPU [90%@2260,18%@2260,35%@2257,23%@2260,46%@2259,23%@2259,25%@2261,58%@2261] EMC_FREQ 6%@2133 GR3D_FREQ 20%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@40C thermal@37.25C Tboard@36C AO@36C GPU@36.5C Tdiode@42C PMIC@50C GPU 928mW/928mW CPU 5104mW/5028mW SOC 3093mW/3016mW CV 1392mW/1392mW VDDRQ 928mW/850mW SYS5V 3725mW/3705mW
01-27-2025 13:28:46 RAM 9836/30991MB (lfb 4193x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2256,25%@2258,33%@2258,18%@2260,46%@2260,50%@2260,100%@2260,16%@2259] EMC_FREQ 7%@2133 GR3D_FREQ 18%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@39.5C thermal@37.25C Tboard@36C AO@36.5C GPU@37C Tdiode@42C PMIC@50C GPU 928mW/928mW CPU 5104mW/5053mW SOC 3093mW/3042mW CV 1392mW/1392mW VDDRQ 928mW/876mW SYS5V 3725mW/3711mW
01-27-2025 13:28:46 RAM 9887/30991MB (lfb 4180x4MB) SWAP 0/15495MB (cached 0MB) CPU [46%@2260,35%@2260,33%@2260,27%@2260,50%@2260,41%@2260,100%@2260,9%@2260] EMC_FREQ 7%@2133 GR3D_FREQ 28%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@40C thermal@37.25C Tboard@36C AO@36.5C GPU@37C Tdiode@41.75C PMIC@50C GPU 1082mW/966mW CPU 5259mW/5104mW SOC 3093mW/3054mW CV 1392mW/1392mW VDDRQ 928mW/889mW SYS5V 3725mW/3715mW
01-27-2025 13:28:46 RAM 9946/30991MB (lfb 4165x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2258,8%@2259,21%@2257,16%@2259,8%@2262,8%@2258,100%@2257,0%@2254] EMC_FREQ 7%@2133 GR3D_FREQ 4%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@39.5C thermal@37.25C Tboard@36C AO@36.5C GPU@36.5C Tdiode@41.75C PMIC@50C GPU 928mW/958mW CPU 4952mW/5074mW SOC 2940mW/3031mW CV 1393mW/1392mW VDDRQ 773mW/866mW SYS5V 3685mW/3709mW
01-27-2025 13:28:46 RAM 9984/30991MB (lfb 4156x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2258,0%@2258,7%@2260,16%@2259,0%@2262,0%@2259,100%@2258,0%@2256] EMC_FREQ 7%@2133 GR3D_FREQ 5%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@39C thermal@37.25C Tboard@36C AO@36.5C GPU@36.5C Tdiode@41.75C PMIC@50C GPU 928mW/953mW CPU 4334mW/4950mW SOC 2941mW/3016mW CV 1393mW/1392mW VDDRQ 774mW/850mW SYS5V 3645mW/3698mW
01-27-2025 13:28:46 RAM 10027/30991MB (lfb 4146x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2259,8%@2257,15%@2253,16%@2249,8%@2258,0%@2257,100%@2253,0%@2258] EMC_FREQ 6%@2133 GR3D_FREQ 3%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@39C thermal@37.25C Tboard@36C AO@36.5C GPU@36.5C Tdiode@41.75C PMIC@50C GPU 774mW/928mW CPU 4026mW/4818mW SOC 2787mW/2983mW CV 1394mW/1392mW VDDRQ 774mW/839mW SYS5V 3605mW/3685mW
01-27-2025 13:28:46 RAM 10084/30991MB (lfb 4131x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2260,0%@2259,8%@2258,8%@2259,7%@2259,8%@2259,100%@2260,0%@2258] EMC_FREQ 6%@2133 GR3D_FREQ 3%@[828] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@39C thermal@37.45C Tboard@36C AO@36.5C GPU@36.5C Tdiode@41.75C PMIC@50C GPU 774mW/908mW CPU 3718mW/4681mW SOC 2787mW/2959mW CV 1394mW/1392mW VDDRQ 619mW/812mW SYS5V 3605mW/3675mW
01-27-2025 13:28:47 RAM 10129/30991MB (lfb 4120x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2261,0%@2257,9%@2258,8%@2257,8%@2259,0%@2260,92%@2261,7%@2259] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[675] VIC_FREQ 115 CVNAS_FREQ @1356 APE 150 AUX@36.5C CPU@39C thermal@37.45C Tboard@36C AO@36.5C GPU@36.5C Tdiode@41.75C PMIC@50C GPU 774mW/893mW CPU 3408mW/4539mW SOC 2788mW/2940mW CV 1240mW/1375mW VDDRQ 619mW/790mW SYS5V 3605mW/3667mW
01-27-2025 13:28:47 RAM 10183/30991MB (lfb 4107x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@2258,8%@2255,0%@2258,0%@2260,8%@2252,8%@2259,100%@2257,0%@2257] EMC_FREQ 5%@2133 GR3D_FREQ 1%@[624] VIC_FREQ 115 CVNAS_FREQ @1356 APE 150 AUX@36.5C CPU@39C thermal@37.45C Tboard@36C AO@36.5C GPU@36.5C Tdiode@41.75C PMIC@50C GPU 775mW/881mW CPU 3255mW/4411mW SOC 2790mW/2925mW CV 1240mW/1362mW VDDRQ 620mW/773mW SYS5V 3571mW/3657mW
01-27-2025 13:28:47 RAM 10217/30991MB (lfb 4098x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2260,16%@2259,25%@2258,35%@2256,15%@2255,0%@2262,100%@2254,25%@2259] EMC_FREQ 5%@2133 GR3D_FREQ 16%@[624] VIC_FREQ 115 CVNAS_FREQ @1356 APE 150 AUX@37C CPU@39C thermal@37.45C Tboard@36C AO@36.5C GPU@36C Tdiode@41.75C PMIC@50C GPU 775mW/872mW CPU 3410mW/4320mW SOC 2788mW/2912mW CV 1240mW/1351mW VDDRQ 620mW/759mW SYS5V 3571mW/3649mW
