01-23-2025 10:07:27 RAM 7255/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [30%@2257,0%@2255,15%@2256,15%@2255,58%@2258,41%@2255,78%@2257,33%@2260] EMC_FREQ 2%@2133 GR3D_FREQ 2%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@51C thermal@48.6C Tboard@48C AO@48C GPU@48.5C Tdiode@53C PMIC@50C GPU 1552mW/1552mW CPU 3260mW/3260mW SOC 2794mW/2794mW CV 1397mW/1397mW VDDRQ 621mW/621mW SYS5V 3451mW/3451mW
01-23-2025 10:07:27 RAM 7256/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [8%@2257,21%@2257,15%@2258,30%@2258,61%@2257,50%@2256,33%@2257,10%@2258] EMC_FREQ 4%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@48.6C Tboard@48C AO@48C GPU@48.5C Tdiode@53C PMIC@50C GPU 1707mW/1629mW CPU 3569mW/3414mW SOC 2948mW/2871mW CV 1552mW/1474mW VDDRQ 776mW/698mW SYS5V 3491mW/3471mW
01-23-2025 10:07:27 RAM 7255/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [15%@2257,0%@2256,25%@2257,9%@2255,58%@2257,40%@2255,27%@2255,23%@2257] EMC_FREQ 4%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53C PMIC@50C GPU 1862mW/1707mW CPU 3568mW/3465mW SOC 2947mW/2896mW CV 1552mW/1500mW VDDRQ 775mW/724mW SYS5V 3491mW/3477mW
01-23-2025 10:07:27 RAM 7255/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [9%@2255,15%@2256,50%@2256,41%@2258,16%@2258,46%@2258,38%@2258,16%@2258] EMC_FREQ 5%@2133 GR3D_FREQ 6%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53C PMIC@50C GPU 1861mW/1745mW CPU 3723mW/3530mW SOC 3102mW/2947mW CV 1552mW/1513mW VDDRQ 930mW/775mW SYS5V 3531mW/3491mW
01-23-2025 10:07:28 RAM 7256/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [8%@2257,15%@2258,30%@2256,38%@2256,16%@2258,46%@2255,33%@2248,25%@2258] EMC_FREQ 6%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53C PMIC@50C GPU 2016mW/1799mW CPU 3721mW/3568mW SOC 3102mW/2978mW CV 1706mW/1551mW VDDRQ 930mW/806mW SYS5V 3531mW/3499mW
01-23-2025 10:07:28 RAM 7258/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [0%@2258,0%@2254,15%@2257,16%@2257,58%@2250,46%@2259,45%@2260,25%@2256] EMC_FREQ 6%@2133 GR3D_FREQ 7%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53C PMIC@50C GPU 2016mW/1835mW CPU 3876mW/3619mW SOC 3101mW/2999mW CV 1706mW/1577mW VDDRQ 930mW/827mW SYS5V 3571mW/3511mW
01-23-2025 10:07:28 RAM 7254/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [9%@2258,15%@2257,0%@2256,33%@2252,33%@2258,41%@2257,53%@2260,27%@2257] EMC_FREQ 7%@2133 GR3D_FREQ 7%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53C PMIC@50C GPU 2015mW/1861mW CPU 3876mW/3656mW SOC 3101mW/3013mW CV 1706mW/1595mW VDDRQ 930mW/841mW SYS5V 3571mW/3519mW
01-23-2025 10:07:28 RAM 7259/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [21%@2256,0%@2257,36%@2258,25%@2258,8%@2256,41%@2257,45%@2263,30%@2252] EMC_FREQ 7%@2133 GR3D_FREQ 7%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48.5C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2015mW/1880mW CPU 3876mW/3683mW SOC 3101mW/3024mW CV 1706mW/1609mW VDDRQ 930mW/852mW SYS5V 3571mW/3526mW
01-23-2025 10:07:28 RAM 7256/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [15%@2257,16%@2258,8%@2257,18%@2255,46%@2258,45%@2258,53%@2269,25%@2254] EMC_FREQ 8%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2171mW/1912mW CPU 3876mW/3705mW SOC 3256mW/3050mW CV 1706mW/1620mW VDDRQ 930mW/861mW SYS5V 3571mW/3531mW
01-23-2025 10:07:28 RAM 7256/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [16%@2259,28%@2257,0%@2257,0%@2256,46%@2253,45%@2257,50%@2257,38%@2258] EMC_FREQ 8%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48C CPU@50.5C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2171mW/1938mW CPU 3876mW/3722mW SOC 3256mW/3070mW CV 1706mW/1628mW VDDRQ 930mW/868mW SYS5V 3571mW/3535mW
01-23-2025 10:07:28 RAM 7257/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [50%@2256,20%@2258,8%@2256,0%@2260,0%@2255,41%@2256,41%@2257,33%@2254] EMC_FREQ 9%@2133 GR3D_FREQ 3%@[1377] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@48.5C CPU@51C thermal@48.9C Tboard@48C AO@48C GPU@48.5C Tdiode@53.25C PMIC@50C GPU 2171mW/1959mW CPU 3876mW/3736mW SOC 3256mW/3087mW CV 1706mW/1635mW VDDRQ 930mW/873mW SYS5V 3571mW/3538mW
