01-27-2025 13:36:06 RAM 10443/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2260,33%@2259,27%@2263,38%@2263,33%@2263,46%@2262,25%@2263,53%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 33%@[420] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@47.5C thermal@44.8C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 775mW/775mW CPU 4030mW/4030mW SOC 2943mW/2943mW CV 1240mW/1240mW VDDRQ 775mW/775mW SYS5V 3611mW/3611mW
01-27-2025 13:36:06 RAM 10450/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2259,25%@2259,16%@2259,16%@2258,54%@2258,18%@2259,33%@2257,33%@2260] EMC_FREQ 4%@2133 GR3D_FREQ 43%@[420] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@48.5C thermal@44.8C Tboard@44C AO@44.5C GPU@44C Tdiode@49.25C PMIC@50C GPU 774mW/774mW CPU 5263mW/4646mW SOC 2941mW/2942mW CV 1393mW/1316mW VDDRQ 774mW/774mW SYS5V 3645mW/3628mW
01-27-2025 13:36:06 RAM 10448/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2259,38%@2257,16%@2257,15%@2257,53%@2256,53%@2258,50%@2257,36%@2257] EMC_FREQ 5%@2133 GR3D_FREQ 32%@[420] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@48C thermal@44.8C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.25C PMIC@50C GPU 773mW/774mW CPU 6035mW/5109mW SOC 3095mW/2993mW CV 1393mW/1342mW VDDRQ 928mW/825mW SYS5V 3685mW/3647mW
01-27-2025 13:36:06 RAM 10449/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2259,46%@2257,53%@2258,30%@2254,38%@2258,58%@2257,23%@2256,46%@2254] EMC_FREQ 6%@2133 GR3D_FREQ 28%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@48C thermal@44.8C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/812mW CPU 6032mW/5340mW SOC 3093mW/3018mW CV 1547mW/1393mW VDDRQ 928mW/851mW SYS5V 3725mW/3666mW
01-27-2025 13:36:06 RAM 10453/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2256,45%@2257,54%@2260,36%@2256,40%@2251,45%@2258,25%@2258,18%@2261] EMC_FREQ 6%@2133 GR3D_FREQ 38%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@48C thermal@44.8C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/835mW CPU 6032mW/5478mW SOC 3093mW/3033mW CV 1547mW/1424mW VDDRQ 928mW/866mW SYS5V 3725mW/3678mW
01-27-2025 13:36:07 RAM 10451/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [11%@2259,41%@2257,50%@2257,46%@2255,46%@2258,8%@2259,16%@2256,38%@2257] EMC_FREQ 7%@2133 GR3D_FREQ 29%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@47.5C thermal@45.4C Tboard@44C AO@44C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/851mW CPU 5878mW/5545mW SOC 3248mW/3068mW CV 1547mW/1444mW VDDRQ 928mW/876mW SYS5V 3725mW/3686mW
01-27-2025 13:36:07 RAM 10452/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2257,33%@2255,54%@2257,46%@2256,42%@2257,15%@2256,18%@2258,33%@2257] EMC_FREQ 8%@2133 GR3D_FREQ 15%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@47.5C thermal@45.4C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/862mW CPU 5725mW/5570mW SOC 3248mW/3094mW CV 1547mW/1459mW VDDRQ 1083mW/906mW SYS5V 3725mW/3691mW
01-27-2025 13:36:07 RAM 10452/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2257,25%@2257,36%@2256,53%@2257,50%@2258,7%@2258,21%@2257,16%@2254] EMC_FREQ 8%@2133 GR3D_FREQ 16%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@47.5C thermal@45.4C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/870mW CPU 5416mW/5551mW SOC 3249mW/3113mW CV 1548mW/1470mW VDDRQ 1083mW/928mW SYS5V 3725mW/3695mW
01-27-2025 13:36:07 RAM 10451/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [57%@2256,36%@2257,30%@2257,33%@2257,38%@2257,9%@2255,18%@2256,16%@2254] EMC_FREQ 9%@2133 GR3D_FREQ 38%@[522] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@47.5C thermal@45.4C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/876mW CPU 5261mW/5519mW SOC 3249mW/3128mW CV 1548mW/1478mW VDDRQ 1083mW/945mW SYS5V 3725mW/3699mW
01-27-2025 13:36:07 RAM 10452/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2258,25%@2257,38%@2258,33%@2258,54%@2257,15%@2257,53%@2258,36%@2254] EMC_FREQ 9%@2133 GR3D_FREQ 13%@[624] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@47.5C thermal@45.4C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/881mW CPU 5416mW/5508mW SOC 3249mW/3140mW CV 1548mW/1485mW VDDRQ 1083mW/959mW SYS5V 3766mW/3705mW
01-27-2025 13:36:07 RAM 10456/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2258,38%@2255,36%@2257,18%@2258,50%@2258,28%@2256,25%@2259,42%@2257] EMC_FREQ 10%@2133 GR3D_FREQ 41%@[624] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@47.5C thermal@45.4C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/886mW CPU 5261mW/5486mW SOC 3249mW/3150mW CV 1702mW/1505mW VDDRQ 1083mW/970mW SYS5V 3766mW/3711mW
01-27-2025 13:36:07 RAM 10455/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [40%@2256,57%@2256,33%@2253,20%@2255,38%@2250,50%@2257,33%@2257,38%@2257] EMC_FREQ 10%@2133 GR3D_FREQ 44%@[624] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@47.5C thermal@45.4C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 1083mW/902mW CPU 5261mW/5467mW SOC 3249mW/3158mW CV 1702mW/1521mW VDDRQ 1083mW/979mW SYS5V 3766mW/3715mW
01-27-2025 13:36:07 RAM 10456/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2257,36%@2257,46%@2256,38%@2257,9%@2257,23%@2256,36%@2256,45%@2256] EMC_FREQ 10%@2133 GR3D_FREQ 9%@[624] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@45C CPU@48C thermal@45.4C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 1083mW/916mW CPU 5416mW/5463mW SOC 3249mW/3165mW CV 1702mW/1535mW VDDRQ 1083mW/987mW SYS5V 3766mW/3719mW
01-27-2025 13:36:08 RAM 10455/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [40%@2257,30%@2257,27%@2255,30%@2256,57%@2255,36%@2256,45%@2257,58%@2257] EMC_FREQ 11%@2133 GR3D_FREQ 9%@[624] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@48C thermal@45.4C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/917mW CPU 5571mW/5471mW SOC 3249mW/3171mW CV 1702mW/1547mW VDDRQ 1083mW/994mW SYS5V 3766mW/3722mW
01-27-2025 13:36:08 RAM 10453/30991MB (lfb 3545x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@2257,54%@2257,36%@2255,30%@2257,33%@2258,35%@2257,40%@2257,61%@2256] EMC_FREQ 11%@2133 GR3D_FREQ 46%@[624] VIC_FREQ 115 NVDLA0_FREQ @1395 CVNAS_FREQ @1356 APE 150 AUX@44.5C CPU@48C thermal@45.75C Tboard@44C AO@44.5C GPU@44.5C Tdiode@49.5C PMIC@50C GPU 928mW/917mW CPU 5571mW/5477mW SOC 3249mW/3176mW CV 1702mW/1557mW VDDRQ 1083mW/1000mW SYS5V 3766mW/3725mW
