02-07-2025 09:36:02 RAM 7959/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2264,75%@2265,25%@2261,38%@2265,61%@2263,71%@2266,50%@2261,45%@2263] EMC_FREQ 4%@2133 GR3D_FREQ 37%@[522] VIC_FREQ 1036 APE 150 AUX@46C CPU@49.5C thermal@46.75C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 931mW/931mW CPU 3727mW/3727mW SOC 2951mW/2951mW CV -310mW/-310mW VDDRQ 621mW/621mW SYS5V 3440mW/3440mW
02-07-2025 09:36:02 RAM 7959/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [35%@2264,100%@2264,33%@2264,41%@2265,60%@2263,69%@2264,46%@2264,61%@2264] EMC_FREQ 5%@2133 GR3D_FREQ 73%@[522] VIC_FREQ 1036 APE 150 AUX@46C CPU@50C thermal@46.75C Tboard@47C AO@45.5C GPU@47C Tdiode@48.75C PMIC@50C GPU 1241mW/1086mW CPU 4656mW/4191mW SOC 3104mW/3027mW CV 0mW/-155mW VDDRQ 776mW/698mW SYS5V 3520mW/3480mW
02-07-2025 09:36:02 RAM 7957/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2263,100%@2264,36%@2264,53%@2264,46%@2264,66%@2264,50%@2264,50%@2263] EMC_FREQ 6%@2133 GR3D_FREQ 37%@[522] VIC_FREQ 1036 APE 150 AUX@46C CPU@49.5C thermal@46.75C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 1396mW/1189mW CPU 5427mW/4603mW SOC 3101mW/3052mW CV 0mW/-103mW VDDRQ 775mW/724mW SYS5V 3560mW/3506mW
02-07-2025 09:36:02 RAM 7962/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2264,100%@2264,84%@2263,54%@2264,30%@2264,30%@2261,28%@2263,16%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 57%@[522] VIC_FREQ 1036 APE 150 AUX@46C CPU@49.5C thermal@46.75C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 1550mW/1279mW CPU 5582mW/4848mW SOC 3256mW/3103mW CV -310mW/-155mW VDDRQ 930mW/775mW SYS5V 3600mW/3530mW
02-07-2025 09:36:02 RAM 7965/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2264,100%@2263,83%@2262,18%@2264,27%@2263,25%@2263,42%@2264,35%@2264] EMC_FREQ 8%@2133 GR3D_FREQ 40%@[522] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@46.75C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 1705mW/1364mW CPU 5735mW/5025mW SOC 3255mW/3133mW CV 0mW/-124mW VDDRQ 930mW/806mW SYS5V 3640mW/3552mW
02-07-2025 09:36:02 RAM 7965/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2264,100%@2264,25%@2264,33%@2264,38%@2263,42%@2264,16%@2265,8%@2262] EMC_FREQ 8%@2133 GR3D_FREQ 87%@[522] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 1705mW/1421mW CPU 5580mW/5117mW SOC 3255mW/3153mW CV 0mW/-103mW VDDRQ 930mW/827mW SYS5V 3640mW/3566mW
02-07-2025 09:36:03 RAM 7967/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2264,100%@2258,41%@2264,25%@2263,70%@2264,33%@2263,8%@2263,46%@2263] EMC_FREQ 9%@2133 GR3D_FREQ 39%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@49.5C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 1860mW/1484mW CPU 5580mW/5183mW SOC 3255mW/3168mW CV 0mW/-88mW VDDRQ 930mW/841mW SYS5V 3640mW/3577mW
02-07-2025 09:36:03 RAM 7973/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2264,100%@2263,33%@2264,16%@2265,23%@2266,76%@2265,0%@2265,0%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 61%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@49C PMIC@50C GPU 2015mW/1550mW CPU 5425mW/5214mW SOC 3255mW/3179mW CV 0mW/-77mW VDDRQ 930mW/852mW SYS5V 3640mW/3585mW
02-07-2025 09:36:03 RAM 7979/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2262,100%@2263,33%@2259,25%@2264,8%@2264,69%@2263,0%@2262,0%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 59%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@49C PMIC@50C GPU 2171mW/1619mW CPU 5270mW/5220mW SOC 3256mW/3187mW CV 0mW/-68mW VDDRQ 930mW/861mW SYS5V 3640mW/3591mW
02-07-2025 09:36:03 RAM 7983/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2263,100%@2263,8%@2264,75%@2261,18%@2264,23%@2262,8%@2269,0%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 44%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@49C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2171mW/1674mW CPU 5115mW/5209mW SOC 3256mW/3194mW CV 0mW/-62mW VDDRQ 930mW/868mW SYS5V 3640mW/3596mW
02-07-2025 09:36:03 RAM 7987/30991MB (lfb 3001x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2263,100%@2263,8%@2263,66%@2263,16%@2264,10%@2263,33%@2263,8%@2263] EMC_FREQ 11%@2133 GR3D_FREQ 58%@[624] VIC_FREQ 1036 APE 150 AUX@46C CPU@49.5C thermal@47.55C Tboard@47C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 2171mW/1719mW CPU 4962mW/5187mW SOC 3256mW/3200mW CV 0mW/-56mW VDDRQ 930mW/873mW SYS5V 3600mW/3596mW
