02-07-2025 09:41:26 RAM 8078/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2264,50%@2265,30%@2261,45%@2264,92%@2266,36%@2265,75%@2265,46%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 84%@[522] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.1C Tboard@46C AO@46C GPU@47C Tdiode@49.25C PMIC@50C GPU 1087mW/1087mW CPU 3881mW/3881mW SOC 2950mW/2950mW CV -310mW/-310mW VDDRQ 621mW/621mW SYS5V 3440mW/3440mW
02-07-2025 09:41:26 RAM 8078/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2264,46%@2264,38%@2267,16%@2264,100%@2264,16%@2264,92%@2261,63%@2264] EMC_FREQ 5%@2133 GR3D_FREQ 98%@[522] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.1C Tboard@46C AO@46C GPU@47C Tdiode@49.25C PMIC@50C GPU 1241mW/1164mW CPU 4500mW/4190mW SOC 2948mW/2949mW CV 0mW/-155mW VDDRQ 776mW/698mW SYS5V 3520mW/3480mW
02-07-2025 09:41:26 RAM 8079/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2263,41%@2262,41%@2264,40%@2264,100%@2263,54%@2270,50%@2261,50%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 29%@[522] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@50C thermal@47.1C Tboard@46C AO@46C GPU@47C Tdiode@49C PMIC@50C GPU 1396mW/1241mW CPU 5119mW/4500mW SOC 3102mW/3000mW CV -310mW/-206mW VDDRQ 775mW/724mW SYS5V 3560mW/3506mW
02-07-2025 09:41:26 RAM 8082/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [46%@2262,33%@2262,23%@2262,38%@2264,100%@2255,40%@2264,36%@2264,45%@2256] EMC_FREQ 7%@2133 GR3D_FREQ 47%@[522] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.1C Tboard@46C AO@46C GPU@47C Tdiode@49C PMIC@50C GPU 1550mW/1318mW CPU 5427mW/4731mW SOC 3101mW/3025mW CV -310mW/-232mW VDDRQ 930mW/775mW SYS5V 3600mW/3530mW
02-07-2025 09:41:26 RAM 8086/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2263,38%@2260,30%@2265,63%@2265,100%@2264,9%@2264,30%@2263,41%@2264] EMC_FREQ 8%@2133 GR3D_FREQ 43%@[522] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1550mW/1364mW CPU 5427mW/4870mW SOC 3256mW/3071mW CV 0mW/-186mW VDDRQ 930mW/806mW SYS5V 3600mW/3544mW
02-07-2025 09:41:26 RAM 8087/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2269,33%@2264,18%@2264,38%@2264,100%@2263,15%@2263,35%@2255,35%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 74%@[522] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1705mW/1421mW CPU 5580mW/4989mW SOC 3256mW/3102mW CV 0mW/-155mW VDDRQ 930mW/827mW SYS5V 3600mW/3553mW
02-07-2025 09:41:26 RAM 8085/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2265,69%@2264,8%@2264,9%@2263,100%@2265,8%@2262,16%@2265,8%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 50%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1860mW/1484mW CPU 5425mW/5051mW SOC 3256mW/3124mW CV 0mW/-132mW VDDRQ 930mW/841mW SYS5V 3640mW/3565mW
02-07-2025 09:41:26 RAM 8094/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2264,25%@2264,16%@2264,25%@2264,100%@2265,8%@2265,38%@2264,50%@2262] EMC_FREQ 9%@2133 GR3D_FREQ 52%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1860mW/1531mW CPU 5272mW/5078mW SOC 3256mW/3140mW CV 0mW/-116mW VDDRQ 930mW/852mW SYS5V 3600mW/3570mW
02-07-2025 09:41:27 RAM 8101/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2265,38%@2263,33%@2263,25%@2261,100%@2265,8%@2264,18%@2265,54%@2265] EMC_FREQ 10%@2133 GR3D_FREQ 51%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@47C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2015mW/1584mW CPU 5425mW/5117mW SOC 3255mW/3153mW CV -310mW/-137mW VDDRQ 930mW/861mW SYS5V 3600mW/3573mW
02-07-2025 09:41:27 RAM 8106/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2265,66%@2265,25%@2264,33%@2263,100%@2263,8%@2264,15%@2264,0%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 54%@[624] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@47C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2171mW/1643mW CPU 5272mW/5132mW SOC 3256mW/3163mW CV 0mW/-124mW VDDRQ 930mW/868mW SYS5V 3600mW/3576mW
02-07-2025 09:41:27 RAM 8113/30991MB (lfb 2914x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2261,72%@2263,33%@2264,27%@2263,100%@2263,0%@2264,0%@2264,0%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 58%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49.25C PMIC@50C GPU 2171mW/1691mW CPU 5117mW/5131mW SOC 3256mW/3172mW CV 0mW/-112mW VDDRQ 930mW/873mW SYS5V 3600mW/3578mW
