02-11-2025 09:55:13 RAM 9986/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [70%@2264,30%@2264,54%@2265,69%@2262,64%@2260,75%@2264,46%@2262,58%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.6C Tboard@48C AO@48C GPU@50C Tdiode@50.25C PMIC@50C GPU 2945mW/2945mW CPU 4030mW/4030mW SOC 2945mW/2945mW CV 0mW/0mW VDDRQ 620mW/620mW SYS5V 3560mW/3560mW
02-11-2025 09:55:13 RAM 9986/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2263,18%@2264,57%@2264,61%@2262,45%@2263,36%@2264,50%@2265,53%@2262] EMC_FREQ 5%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.6C Tboard@48C AO@48C GPU@50C Tdiode@50.5C PMIC@50C GPU 3718mW/3331mW CPU 4491mW/4260mW SOC 3097mW/3021mW CV 0mW/0mW VDDRQ 774mW/697mW SYS5V 3600mW/3580mW
02-11-2025 09:55:13 RAM 9988/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2262,23%@2266,63%@2264,75%@2263,38%@2262,72%@2271,30%@2264,33%@2262] EMC_FREQ 7%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.6C Tboard@48C AO@48C GPU@50C Tdiode@50.5C PMIC@50C GPU 4180mW/3614mW CPU 4799mW/4440mW SOC 3251mW/3097mW CV 0mW/0mW VDDRQ 928mW/774mW SYS5V 3640mW/3600mW
02-11-2025 09:55:13 RAM 9987/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2260,58%@2264,58%@2263,41%@2264,57%@2264,50%@2264,36%@2264,33%@2263] EMC_FREQ 8%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@48.6C Tboard@48C AO@48C GPU@50C Tdiode@50.75C PMIC@50C GPU 4642mW/3871mW CPU 5261mW/4645mW SOC 3249mW/3135mW CV 0mW/0mW VDDRQ 928mW/812mW SYS5V 3680mW/3620mW
02-11-2025 09:55:13 RAM 9989/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2264,54%@2263,61%@2261,50%@2262,16%@2263,72%@2267,45%@2264,36%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@48.6C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 4795mW/4056mW CPU 5414mW/4799mW SOC 3403mW/3189mW CV 0mW/0mW VDDRQ 928mW/835mW SYS5V 3680mW/3632mW
02-11-2025 09:55:13 RAM 9992/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2263,9%@2264,50%@2264,69%@2264,36%@2264,64%@2262,69%@2267,45%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5104mW/4230mW CPU 5411mW/4901mW SOC 3401mW/3224mW CV 0mW/0mW VDDRQ 1082mW/876mW SYS5V 3720mW/3646mW
02-11-2025 09:55:13 RAM 9992/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2264,46%@2263,42%@2266,36%@2262,36%@2263,41%@2262,9%@2264,76%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5411mW/4399mW CPU 5411mW/4973mW SOC 3401mW/3249mW CV 0mW/0mW VDDRQ 1082mW/906mW SYS5V 3720mW/3657mW
02-11-2025 09:55:13 RAM 9994/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [40%@2265,30%@2263,41%@2263,38%@2263,41%@2264,33%@2266,50%@2261,75%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5411mW/4525mW CPU 5566mW/5047mW SOC 3401mW/3268mW CV 0mW/0mW VDDRQ 1082mW/928mW SYS5V 3720mW/3665mW
02-11-2025 09:55:13 RAM 9995/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [46%@2264,16%@2264,54%@2263,36%@2265,53%@2262,50%@2263,20%@2262,72%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5721mW/4658mW CPU 5566mW/5105mW SOC 3401mW/3283mW CV 0mW/0mW VDDRQ 1082mW/945mW SYS5V 3760mW/3675mW
02-11-2025 09:55:14 RAM 10000/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2263,30%@2264,38%@2264,45%@2264,16%@2263,38%@2264,46%@2264,84%@2268] EMC_FREQ 12%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.65C Tboard@48C AO@48C GPU@50.5C Tdiode@51C PMIC@50C GPU 5721mW/4764mW CPU 5566mW/5151mW SOC 3401mW/3295mW CV 0mW/0mW VDDRQ 1082mW/958mW SYS5V 3760mW/3684mW
02-11-2025 09:55:14 RAM 10003/30991MB (lfb 2106x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2264,30%@2264,66%@2263,57%@2264,50%@2264,33%@2264,57%@2264,50%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@49.65C Tboard@48C AO@48C GPU@51C Tdiode@50.75C PMIC@50C GPU 5721mW/4851mW CPU 5718mW/5203mW SOC 3556mW/3318mW CV 0mW/0mW VDDRQ 1082mW/970mW SYS5V 3760mW/3690mW
