02-11-2025 09:56:20 RAM 9930/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2265,41%@2264,58%@2265,84%@2263,46%@2267,61%@2263,38%@2263,30%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@47.75C Tboard@47C AO@47C GPU@49C Tdiode@49.75C PMIC@50C GPU 2946mW/2946mW CPU 3876mW/3876mW SOC 2946mW/2946mW CV 0mW/0mW VDDRQ 620mW/620mW SYS5V 3560mW/3560mW
02-11-2025 09:56:20 RAM 9933/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2265,23%@2265,54%@2264,75%@2264,75%@2261,63%@2264,27%@2263,25%@2268] EMC_FREQ 5%@2133 GR3D_FREQ 43%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50C thermal@47.75C Tboard@47C AO@47C GPU@49.5C Tdiode@49.75C PMIC@50C GPU 3718mW/3332mW CPU 4338mW/4107mW SOC 3098mW/3022mW CV 0mW/0mW VDDRQ 774mW/697mW SYS5V 3600mW/3580mW
02-11-2025 09:56:20 RAM 9933/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2264,41%@2263,40%@2265,9%@2265,54%@2263,66%@2263,38%@2263,46%@2261] EMC_FREQ 7%@2133 GR3D_FREQ 48%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@47.75C Tboard@47C AO@47.5C GPU@49.5C Tdiode@49.75C PMIC@50C GPU 4180mW/3614mW CPU 4799mW/4337mW SOC 3251mW/3098mW CV 0mW/0mW VDDRQ 928mW/774mW SYS5V 3640mW/3600mW
02-11-2025 09:56:20 RAM 9930/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2262,38%@2264,33%@2262,30%@2267,69%@2264,41%@2263,46%@2263,40%@2264] EMC_FREQ 8%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@47.75C Tboard@47C AO@47.5C GPU@49.5C Tdiode@50C PMIC@50C GPU 4797mW/3910mW CPU 4952mW/4491mW SOC 3249mW/3136mW CV 0mW/0mW VDDRQ 928mW/812mW SYS5V 3680mW/3620mW
02-11-2025 09:56:20 RAM 9936/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2265,36%@2263,25%@2264,50%@2264,83%@2264,50%@2264,33%@2264,41%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 46%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@47.75C Tboard@47C AO@47C GPU@50C Tdiode@50C PMIC@50C GPU 5104mW/4149mW CPU 5414mW/4675mW SOC 3403mW/3189mW CV 0mW/0mW VDDRQ 1082mW/866mW SYS5V 3720mW/3640mW
02-11-2025 09:56:20 RAM 9936/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [46%@2263,50%@2264,64%@2264,41%@2264,18%@2265,66%@2264,42%@2263,38%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 49%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50C PMIC@50C GPU 5414mW/4359mW CPU 5411mW/4798mW SOC 3403mW/3225mW CV 0mW/0mW VDDRQ 1082mW/902mW SYS5V 3720mW/3653mW
02-11-2025 09:56:21 RAM 9940/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2263,66%@2265,45%@2264,54%@2263,58%@2263,27%@2264,33%@2262,45%@2263] EMC_FREQ 11%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50C PMIC@50C GPU 5411mW/4510mW CPU 5566mW/4908mW SOC 3401mW/3250mW CV 0mW/0mW VDDRQ 1082mW/928mW SYS5V 3720mW/3662mW
02-11-2025 09:56:21 RAM 9940/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2264,66%@2263,27%@2263,42%@2264,38%@2270,69%@2265,30%@2264,69%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 43%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@49.5C Tdiode@50C PMIC@50C GPU 5566mW/4642mW CPU 5718mW/5009mW SOC 3401mW/3269mW CV 0mW/0mW VDDRQ 1082mW/947mW SYS5V 3720mW/3670mW
02-11-2025 09:56:21 RAM 9943/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2263,45%@2259,38%@2263,27%@2264,58%@2264,41%@2263,41%@2264,58%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50C PMIC@50C GPU 5564mW/4744mW CPU 5721mW/5088mW SOC 3400mW/3283mW CV 0mW/0mW VDDRQ 1081mW/962mW SYS5V 3760mW/3680mW
02-11-2025 09:56:21 RAM 9943/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2264,33%@2265,27%@2263,9%@2264,58%@2262,41%@2262,40%@2262,63%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 5721mW/4842mW CPU 5718mW/5151mW SOC 3400mW/3295mW CV 0mW/0mW VDDRQ 1081mW/974mW SYS5V 3760mW/3688mW
02-11-2025 09:56:21 RAM 9945/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2264,69%@2264,57%@2264,69%@2265,41%@2263,41%@2263,57%@2263,33%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 36%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.5C PMIC@50C GPU 5718mW/4921mW CPU 6027mW/5230mW SOC 3400mW/3304mW CV 0mW/0mW VDDRQ 1081mW/983mW SYS5V 3760mW/3694mW
02-11-2025 09:56:21 RAM 9945/30991MB (lfb 2095x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,41%@2264,18%@2263,75%@2264,42%@2262,54%@2257,36%@2260,33%@2263] EMC_FREQ 14%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.5C PMIC@50C GPU 5718mW/4988mW CPU 6182mW/5310mW SOC 3554mW/3325mW CV 0mW/0mW VDDRQ 1081mW/991mW SYS5V 3760mW/3700mW
