02-19-2025 08:01:30 RAM 8326/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2265,45%@2265,54%@2265,50%@2264,36%@2265,50%@2262,81%@2264,41%@2267] EMC_FREQ 7%@2133 GR3D_FREQ 46%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@40.9C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1083mW/1083mW CPU 6037mW/6037mW SOC 2941mW/2941mW CV -309mW/-309mW VDDRQ 774mW/774mW SYS5V 3514mW/3514mW
02-19-2025 08:01:30 RAM 8327/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2265,41%@2259,8%@2265,16%@2264,53%@2265,30%@2265,75%@2265,66%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 33%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@40.9C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1238mW/1160mW CPU 5728mW/5882mW SOC 3096mW/3018mW CV -309mW/-309mW VDDRQ 774mW/774mW SYS5V 3514mW/3514mW
02-19-2025 08:01:30 RAM 8330/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2265,16%@2265,38%@2265,58%@2264,25%@2263,18%@2265,75%@2265,66%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 61%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@40.9C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1238mW/1186mW CPU 5728mW/5831mW SOC 3096mW/3044mW CV 0mW/-206mW VDDRQ 774mW/774mW SYS5V 3514mW/3514mW
02-19-2025 08:01:31 RAM 8326/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2265,20%@2271,66%@2265,50%@2265,25%@2265,25%@2265,83%@2265,54%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 29%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@40.9C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1393mW/1238mW CPU 5725mW/5804mW SOC 3095mW/3057mW CV -309mW/-231mW VDDRQ 773mW/773mW SYS5V 3554mW/3524mW
02-19-2025 08:01:31 RAM 8329/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2265,41%@2265,66%@2265,58%@2265,38%@2265,16%@2265,58%@2265,78%@2265] EMC_FREQ 9%@2133 GR3D_FREQ 70%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@40.9C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1392mW/1268mW CPU 5880mW/5819mW SOC 3095mW/3064mW CV 0mW/-185mW VDDRQ 928mW/804mW SYS5V 3554mW/3530mW
02-19-2025 08:01:31 RAM 8331/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2265,41%@2262,25%@2265,46%@2265,25%@2264,41%@2263,38%@2265,66%@2265] EMC_FREQ 9%@2133 GR3D_FREQ 67%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@40.9C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1392mW/1289mW CPU 5571mW/5778mW SOC 3095mW/3069mW CV -309mW/-206mW VDDRQ 928mW/825mW SYS5V 3554mW/3534mW
02-19-2025 08:01:31 RAM 8330/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2265,30%@2264,18%@2265,54%@2265,9%@2265,75%@2266,46%@2260,16%@2262] EMC_FREQ 9%@2133 GR3D_FREQ 56%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.05C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1393mW/1304mW CPU 5416mW/5726mW SOC 3095mW/3073mW CV 0mW/-176mW VDDRQ 928mW/839mW SYS5V 3554mW/3536mW
02-19-2025 08:01:31 RAM 8326/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [40%@2266,9%@2264,33%@2265,45%@2271,25%@2265,75%@2265,50%@2265,18%@2265] EMC_FREQ 9%@2133 GR3D_FREQ 60%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@42.5C thermal@41.05C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1548mW/1334mW CPU 5263mW/5668mW SOC 3096mW/3076mW CV 0mW/-154mW VDDRQ 928mW/850mW SYS5V 3554mW/3539mW
02-19-2025 08:01:31 RAM 8330/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2265,61%@2264,66%@2263,33%@2263,18%@2265,83%@2265,27%@2265,33%@2267] EMC_FREQ 10%@2133 GR3D_FREQ 65%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.05C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.5C PMIC@50C GPU 1548mW/1358mW CPU 5418mW/5640mW SOC 3096mW/3078mW CV 0mW/-137mW VDDRQ 928mW/859mW SYS5V 3554mW/3540mW
02-19-2025 08:01:31 RAM 8329/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2266,61%@2265,46%@2265,50%@2265,30%@2265,76%@2265,16%@2265,0%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 30%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@42.5C thermal@41.05C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.75C PMIC@50C GPU 1548mW/1377mW CPU 5263mW/5602mW SOC 3096mW/3080mW CV 0mW/-123mW VDDRQ 928mW/866mW SYS5V 3554mW/3542mW
02-19-2025 08:01:31 RAM 8331/30991MB (lfb 4097x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2264,69%@2266,45%@2265,45%@2265,41%@2263,45%@2262,46%@2265,14%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 14%@[522] VIC_FREQ 115 APE 150 AUX@40C CPU@43C thermal@41.05C Tboard@39C AO@39.5C GPU@40.5C Tdiode@42.75C PMIC@50C GPU 1548mW/1392mW CPU 5108mW/5557mW SOC 3096mW/3081mW CV 0mW/-112mW VDDRQ 928mW/871mW SYS5V 3554mW/3543mW
