02-07-2025 09:10:49 RAM 9307/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2259,63%@2263,100%@2263,45%@2263,8%@2262,33%@2263,50%@2263,50%@2263] EMC_FREQ 6%@2133 GR3D_FREQ 52%@[420] VIC_FREQ 1036 APE 150 AUX@48C CPU@51.5C thermal@48.9C Tboard@47C AO@47C GPU@48C Tdiode@50.25C PMIC@50C GPU 775mW/775mW CPU 5737mW/5737mW SOC 2946mW/2946mW CV 0mW/0mW VDDRQ 620mW/620mW SYS5V 3560mW/3560mW
02-07-2025 09:10:49 RAM 9312/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2264,71%@2263,100%@2263,45%@2263,41%@2257,50%@2263,50%@2265,50%@2261] EMC_FREQ 6%@2133 GR3D_FREQ 65%@[420] VIC_FREQ 1036 APE 150 AUX@48C CPU@51.5C thermal@48.9C Tboard@47C AO@47.5C GPU@48C Tdiode@50.25C PMIC@50C GPU 1085mW/930mW CPU 6355mW/6046mW SOC 3100mW/3023mW CV -310mW/-155mW VDDRQ 775mW/697mW SYS5V 3600mW/3580mW
02-07-2025 09:10:49 RAM 9312/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2264,50%@2263,100%@2265,76%@2263,66%@2264,91%@2265,50%@2262,61%@2264] EMC_FREQ 7%@2133 GR3D_FREQ 56%@[1032] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@48.9C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1239mW/1033mW CPU 6817mW/6303mW SOC 3098mW/3048mW CV 0mW/-103mW VDDRQ 774mW/723mW SYS5V 3640mW/3600mW
02-07-2025 09:10:49 RAM 9313/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [70%@2264,50%@2264,100%@2264,54%@2264,75%@2264,78%@2264,61%@2264,69%@2264] EMC_FREQ 8%@2133 GR3D_FREQ 61%@[828] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@48.9C Tboard@47C AO@47C GPU@49C Tdiode@50.25C PMIC@50C GPU 1394mW/1123mW CPU 7124mW/6508mW SOC 3252mW/3099mW CV 0mW/-77mW VDDRQ 929mW/774mW SYS5V 3680mW/3620mW
02-07-2025 09:10:49 RAM 9316/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2261,58%@2264,100%@2263,36%@2264,50%@2269,72%@2264,71%@2264,36%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 70%@[828] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@48.9C Tboard@47C AO@47.5C GPU@49C Tdiode@50.25C PMIC@50C GPU 1548mW/1208mW CPU 7279mW/6662mW SOC 3252mW/3129mW CV 0mW/-62mW VDDRQ 929mW/805mW SYS5V 3680mW/3632mW
02-07-2025 09:10:49 RAM 9314/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2262,60%@2264,100%@2258,46%@2261,33%@2263,54%@2263,38%@2263,75%@2263] EMC_FREQ 9%@2133 GR3D_FREQ 4%@[828] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@48.9C Tboard@47C AO@47C GPU@48.5C Tdiode@50.25C PMIC@50C GPU 1703mW/1290mW CPU 7585mW/6816mW SOC 3252mW/3150mW CV 0mW/-51mW VDDRQ 928mW/825mW SYS5V 3680mW/3640mW
02-07-2025 09:10:49 RAM 9315/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [71%@2263,69%@2264,100%@2264,53%@2264,61%@2264,53%@2263,64%@2262,75%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 5%@[828] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@48.9C Tboard@47C AO@47C GPU@48.5C Tdiode@50.5C PMIC@50C GPU 1702mW/1349mW CPU 7740mW/6948mW SOC 3251mW/3164mW CV 0mW/-44mW VDDRQ 928mW/840mW SYS5V 3720mW/3651mW
02-07-2025 09:10:50 RAM 9315/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,76%@2264,100%@2264,50%@2264,61%@2264,50%@2264,40%@2264,72%@2263] EMC_FREQ 10%@2133 GR3D_FREQ 19%@[828] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@49.35C Tboard@47C AO@47C GPU@49C Tdiode@50.5C PMIC@50C GPU 1702mW/1393mW CPU 7895mW/7066mW SOC 3405mW/3194mW CV -309mW/-77mW VDDRQ 928mW/851mW SYS5V 3680mW/3655mW
02-07-2025 09:10:50 RAM 9315/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2264,76%@2261,100%@2264,50%@2263,63%@2263,78%@2265,71%@2264,85%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 35%@[905] VIC_FREQ 1036 APE 150 AUX@48C CPU@52C thermal@49.35C Tboard@47C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 1857mW/1445mW CPU 7895mW/7158mW SOC 3405mW/3217mW CV 0mW/-68mW VDDRQ 1083mW/877mW SYS5V 3720mW/3662mW
02-07-2025 09:10:50 RAM 9317/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [81%@2262,81%@2263,100%@2264,72%@2260,80%@2263,91%@2264,76%@2264,75%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 35%@[905] VIC_FREQ 1036 APE 150 AUX@48C CPU@52.5C thermal@49.35C Tboard@47C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2012mW/1501mW CPU 8050mW/7247mW SOC 3405mW/3236mW CV 0mW/-61mW VDDRQ 1083mW/897mW SYS5V 3720mW/3668mW
02-07-2025 09:10:50 RAM 9318/30991MB (lfb 2455x4MB) SWAP 0/15495MB (cached 0MB) CPU [71%@2264,80%@2264,100%@2264,53%@2263,76%@2264,76%@2263,75%@2264,69%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 90%@[1032] VIC_FREQ 1036 APE 150 AUX@48.5C CPU@52.5C thermal@49.35C Tboard@47C AO@47.5C GPU@49C Tdiode@50.5C PMIC@50C GPU 2012mW/1548mW CPU 8201mW/7334mW SOC 3405mW/3251mW CV 0mW/-56mW VDDRQ 1083mW/914mW SYS5V 3720mW/3672mW
