02-14-2025 09:03:36 RAM 10021/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [42%@2263,33%@2263,100%@2263,61%@2264,54%@2266,66%@2263,72%@2264,75%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 49%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@51C thermal@48.15C Tboard@46C AO@46C GPU@49C Tdiode@49C PMIC@50C GPU 3707mW/3707mW CPU 8497mW/8497mW SOC 3244mW/3244mW CV 0mW/0mW VDDRQ 926mW/926mW SYS5V 3720mW/3720mW
02-14-2025 09:03:36 RAM 10022/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2265,20%@2262,38%@2263,66%@2264,61%@2261,66%@2267,45%@2262,63%@2261] EMC_FREQ 11%@2133 GR3D_FREQ 48%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@48.15C Tboard@46C AO@46C GPU@49C Tdiode@49C PMIC@50C GPU 4171mW/3939mW CPU 7879mW/8188mW SOC 3398mW/3321mW CV 0mW/0mW VDDRQ 1081mW/1003mW SYS5V 3760mW/3740mW
02-14-2025 09:03:37 RAM 10027/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2265,58%@2264,75%@2264,53%@2259,41%@2264,41%@2264,57%@2262,76%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 47%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@51C thermal@48.15C Tboard@46C AO@46C GPU@49C Tdiode@49C PMIC@50C GPU 4787mW/4221mW CPU 7721mW/8032mW SOC 3397mW/3346mW CV 0mW/0mW VDDRQ 1081mW/1029mW SYS5V 3760mW/3746mW
02-14-2025 09:03:37 RAM 10029/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2264,46%@2264,45%@2264,100%@2265,54%@2257,46%@2263,66%@2265,78%@2263] EMC_FREQ 13%@2133 GR3D_FREQ 30%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@48.15C Tboard@46C AO@46C GPU@49C Tdiode@49C PMIC@50C GPU 4941mW/4401mW CPU 7567mW/7916mW SOC 3397mW/3359mW CV 0mW/0mW VDDRQ 1081mW/1042mW SYS5V 3760mW/3750mW
02-14-2025 09:03:37 RAM 10033/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2263,60%@2264,53%@2265,100%@2264,60%@2264,61%@2264,61%@2264,83%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@51C thermal@48.15C Tboard@46C AO@46C GPU@49C Tdiode@49C PMIC@50C GPU 5096mW/4540mW CPU 7567mW/7846mW SOC 3397mW/3366mW CV 0mW/0mW VDDRQ 1081mW/1050mW SYS5V 3760mW/3752mW
02-14-2025 09:03:37 RAM 10043/30991MB (lfb 2508x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2264,58%@2264,46%@2264,50%@2264,40%@2263,53%@2264,58%@2263,72%@2263] EMC_FREQ 14%@2133 GR3D_FREQ 43%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@48.15C Tboard@46C AO@46C GPU@49C Tdiode@49.25C PMIC@50C GPU 5250mW/4658mW CPU 7412mW/7773mW SOC 3397mW/3371mW CV 0mW/0mW VDDRQ 1081mW/1055mW SYS5V 3760mW/3753mW
02-14-2025 09:03:37 RAM 10047/30991MB (lfb 2508x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@2265,25%@2264,41%@2264,30%@2262,41%@2263,38%@2264,53%@2262,69%@2262] EMC_FREQ 14%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@48.15C Tboard@46C AO@46C GPU@49C Tdiode@49.25C PMIC@50C GPU 5405mW/4765mW CPU 6949mW/7656mW SOC 3398mW/3375mW CV 0mW/0mW VDDRQ 1081mW/1058mW SYS5V 3760mW/3754mW
02-14-2025 09:03:37 RAM 10050/30991MB (lfb 2508x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2264,85%@2257,41%@2263,33%@2267,46%@2259,38%@2264,36%@2264,21%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@48.3C Tboard@46C AO@46C GPU@49C Tdiode@49C PMIC@50C GPU 5407mW/4845mW CPU 6488mW/7510mW SOC 3398mW/3378mW CV 0mW/0mW VDDRQ 1081mW/1061mW SYS5V 3760mW/3755mW
02-14-2025 09:03:37 RAM 10054/30991MB (lfb 2508x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2262,20%@2264,16%@2262,38%@2264,41%@2266,63%@2265,27%@2264,41%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46C GPU@49C Tdiode@49C PMIC@50C GPU 5716mW/4942mW CPU 6334mW/7379mW SOC 3398mW/3380mW CV 0mW/0mW VDDRQ 1081mW/1063mW SYS5V 3760mW/3755mW
02-14-2025 09:03:37 RAM 10045/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2263,33%@2264,58%@2263,45%@2264,18%@2262,80%@2266,46%@2264,58%@2262] EMC_FREQ 15%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46C GPU@49C Tdiode@49.25C PMIC@50C GPU 5716mW/5019mW CPU 6179mW/7259mW SOC 3398mW/3382mW CV 0mW/0mW VDDRQ 1081mW/1065mW SYS5V 3760mW/3756mW
02-14-2025 09:03:38 RAM 10052/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2264,38%@2264,41%@2261,53%@2260,16%@2267,83%@2260,58%@2264,35%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5870mW/5096mW CPU 5870mW/7133mW SOC 3398mW/3383mW CV 0mW/0mW VDDRQ 1081mW/1066mW SYS5V 3720mW/3752mW
02-14-2025 09:03:38 RAM 10051/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2264,33%@2264,16%@2264,41%@2263,40%@2265,75%@2266,83%@2263,33%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 30%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49.5C Tdiode@49.25C PMIC@50C GPU 5716mW/5148mW CPU 5870mW/7027mW SOC 3398mW/3384mW CV 0mW/0mW VDDRQ 1081mW/1068mW SYS5V 3720mW/3750mW
02-14-2025 09:03:38 RAM 10057/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2264,27%@2265,40%@2264,45%@2264,50%@2264,38%@2264,83%@2264,25%@2265] EMC_FREQ 16%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5870mW/5204mW CPU 5870mW/6938mW SOC 3398mW/3385mW CV 0mW/0mW VDDRQ 1081mW/1069mW SYS5V 3720mW/3747mW
02-14-2025 09:03:38 RAM 10065/30991MB (lfb 2508x4MB) SWAP 0/15495MB (cached 0MB) CPU [53%@2264,16%@2264,69%@2264,41%@2263,30%@2263,63%@2263,58%@2263,33%@2263] EMC_FREQ 16%@2133 GR3D_FREQ 36%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5873mW/5251mW CPU 5716mW/6851mW SOC 3400mW/3386mW CV 0mW/0mW VDDRQ 1081mW/1069mW SYS5V 3720mW/3745mW
02-14-2025 09:03:38 RAM 10061/30991MB (lfb 2509x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2264,63%@2265,25%@2263,38%@2259,58%@2260,38%@2271,40%@2263,9%@2263] EMC_FREQ 16%@2133 GR3D_FREQ 23%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@46C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5873mW/5293mW CPU 5718mW/6775mW SOC 3400mW/3387mW CV 0mW/0mW VDDRQ 1081mW/1070mW SYS5V 3720mW/3744mW
