02-14-2025 09:05:50 RAM 10026/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2264,53%@2264,64%@2264,54%@2263,36%@2261,25%@2260,33%@2263,91%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.25C Tboard@48C AO@47C GPU@49.5C Tdiode@50.25C PMIC@50C GPU 2945mW/2945mW CPU 4030mW/4030mW SOC 2945mW/2945mW CV 0mW/0mW VDDRQ 620mW/620mW SYS5V 3560mW/3560mW
02-14-2025 09:05:50 RAM 10024/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2264,9%@2264,45%@2264,53%@2264,75%@2267,33%@2264,15%@2264,75%@2263] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.25C Tboard@48C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 3562mW/3253mW CPU 4491mW/4260mW SOC 3097mW/3021mW CV 0mW/0mW VDDRQ 774mW/697mW SYS5V 3600mW/3580mW
02-14-2025 09:05:50 RAM 10028/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2260,30%@2264,58%@2264,41%@2263,50%@2263,63%@2265,27%@2264,25%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 21%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.25C Tboard@48C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 4180mW/3562mW CPU 4799mW/4440mW SOC 3251mW/3097mW CV 0mW/0mW VDDRQ 773mW/722mW SYS5V 3640mW/3600mW
02-14-2025 09:05:50 RAM 10032/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2264,61%@2264,84%@2264,61%@2261,21%@2261,91%@2266,69%@2261,41%@2266] EMC_FREQ 8%@2133 GR3D_FREQ 42%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.25C Tboard@48C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 4485mW/3793mW CPU 5568mW/4722mW SOC 3248mW/3135mW CV -309mW/-77mW VDDRQ 928mW/773mW SYS5V 3680mW/3620mW
02-14-2025 09:05:50 RAM 10030/30991MB (lfb 2505x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2263,58%@2264,45%@2263,58%@2264,75%@2261,35%@2264,41%@2264,38%@2262] EMC_FREQ 9%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.25C Tboard@48C AO@47.5C GPU@50C Tdiode@50.5C PMIC@50C GPU 4947mW/4023mW CPU 5721mW/4921mW SOC 3401mW/3188mW CV 0mW/-61mW VDDRQ 927mW/804mW SYS5V 3680mW/3632mW
02-14-2025 09:05:50 RAM 10033/30991MB (lfb 2505x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,46%@2264,25%@2264,18%@2263,33%@2263,45%@2265,58%@2262,58%@2262] EMC_FREQ 9%@2133 GR3D_FREQ 39%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.45C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5102mW/4203mW CPU 5721mW/5055mW SOC 3401mW/3223mW CV 0mW/-51mW VDDRQ 1081mW/850mW SYS5V 3720mW/3646mW
02-14-2025 09:05:51 RAM 10035/30991MB (lfb 2505x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,61%@2257,25%@2263,46%@2264,46%@2265,33%@2264,41%@2274,30%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.45C Tboard@48C AO@47.5C GPU@50C Tdiode@50.5C PMIC@50C GPU 5257mW/4354mW CPU 5564mW/5127mW SOC 3401mW/3249mW CV 0mW/-44mW VDDRQ 1081mW/883mW SYS5V 3720mW/3657mW
02-14-2025 09:05:51 RAM 10038/30991MB (lfb 2505x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2264,41%@2271,41%@2264,27%@2262,83%@2264,38%@2264,25%@2264,45%@2263] EMC_FREQ 11%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.45C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5409mW/4485mW CPU 5564mW/5182mW SOC 3400mW/3268mW CV 0mW/-38mW VDDRQ 1081mW/908mW SYS5V 3720mW/3665mW
02-14-2025 09:05:51 RAM 10050/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [46%@2267,27%@2263,45%@2262,50%@2259,45%@2270,58%@2257,30%@2267,72%@2267] EMC_FREQ 12%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.45C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5564mW/4605mW CPU 5564mW/5224mW SOC 3400mW/3282mW CV 0mW/-34mW VDDRQ 1081mW/927mW SYS5V 3720mW/3671mW
02-14-2025 09:05:51 RAM 10051/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2263,38%@2258,30%@2267,50%@2264,81%@2264,18%@2262,9%@2264,78%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.45C Tboard@48C AO@48C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5718mW/4716mW CPU 5564mW/5258mW SOC 3400mW/3294mW CV 0mW/-30mW VDDRQ 1081mW/942mW SYS5V 3720mW/3676mW
02-14-2025 09:05:51 RAM 10054/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [38%@2264,33%@2264,50%@2264,16%@2264,41%@2263,66%@2264,38%@2266,54%@2263] EMC_FREQ 13%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.45C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5718mW/4807mW CPU 5564mW/5286mW SOC 3400mW/3304mW CV 0mW/-28mW VDDRQ 1081mW/955mW SYS5V 3760mW/3683mW
02-14-2025 09:05:51 RAM 10057/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [10%@2264,38%@2270,30%@2264,41%@2264,84%@2264,38%@2265,61%@2262,33%@2266] EMC_FREQ 13%@2133 GR3D_FREQ 36%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.45C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5873mW/4896mW CPU 5564mW/5309mW SOC 3400mW/3312mW CV 0mW/-25mW VDDRQ 1081mW/965mW SYS5V 3760mW/3690mW
02-14-2025 09:05:51 RAM 10058/30991MB (lfb 2504x4MB) SWAP 0/15495MB (cached 0MB) CPU [40%@2264,33%@2264,66%@2264,50%@2263,80%@2264,0%@2264,50%@2264,54%@2263] EMC_FREQ 14%@2133 GR3D_FREQ 25%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.45C Tboard@48C AO@47.5C GPU@50C Tdiode@50.75C PMIC@50C GPU 5873mW/4971mW CPU 5564mW/5329mW SOC 3400mW/3318mW CV 0mW/-23mW VDDRQ 1081mW/974mW SYS5V 3760mW/3695mW
02-14-2025 09:05:51 RAM 10058/30991MB (lfb 2505x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2263,40%@2262,64%@2263,36%@2264,78%@2263,23%@2262,33%@2268,41%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 49%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.45C Tboard@48C AO@47.5C GPU@50C Tdiode@50.75C PMIC@50C GPU 5873mW/5036mW CPU 5718mW/5356mW SOC 3400mW/3324mW CV 0mW/-22mW VDDRQ 1081mW/982mW SYS5V 3760mW/3700mW
02-14-2025 09:05:52 RAM 10061/30991MB (lfb 2505x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2264,33%@2264,18%@2264,50%@2265,90%@2264,75%@2265,10%@2262,33%@2264] EMC_FREQ 15%@2133 GR3D_FREQ 45%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.8C Tboard@48C AO@47.5C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 6027mW/5102mW CPU 5564mW/5370mW SOC 3554mW/3339mW CV 0mW/-20mW VDDRQ 1081mW/988mW SYS5V 3760mW/3704mW
