02-18-2025 09:08:05 RAM 10088/30991MB (lfb 2050x4MB) SWAP 1/15495MB (cached 0MB) CPU [100%@2262,8%@2261,0%@2262,0%@2257,0%@2264,7%@2262,0%@2263,0%@2264] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 115 APE 150 AUX@49C CPU@50.5C thermal@49.75C Tboard@48C AO@48C GPU@49C Tdiode@51C PMIC@50C GPU 620mW/620mW CPU 4500mW/4500mW SOC 2948mW/2948mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3520mW/3520mW
02-18-2025 09:08:05 RAM 10131/30991MB (lfb 2040x4MB) SWAP 1/15495MB (cached 0MB) CPU [100%@2263,21%@2263,0%@2261,7%@2260,15%@2263,9%@2262,8%@2263,15%@2262] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 115 APE 150 AUX@49C CPU@50.5C thermal@49.75C Tboard@48C AO@48C GPU@49C Tdiode@51C PMIC@50C GPU 465mW/542mW CPU 4036mW/4268mW SOC 2794mW/2871mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3480mW/3500mW
02-18-2025 09:08:05 RAM 10028/30991MB (lfb 2066x4MB) SWAP 1/15495MB (cached 0MB) CPU [66%@2262,38%@2264,100%@2264,30%@2264,66%@2263,92%@2263,83%@2264,92%@2263] EMC_FREQ 5%@2133 GR3D_FREQ 17%@[318] VIC_FREQ 115 APE 150 AUX@49C CPU@52C thermal@49.75C Tboard@48C AO@48C GPU@49C Tdiode@51C PMIC@50C GPU 620mW/568mW CPU 5119mW/4551mW SOC 2793mW/2845mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3480mW/3493mW
02-18-2025 09:08:06 RAM 10001/30991MB (lfb 2056x4MB) SWAP 1/15495MB (cached 0MB) CPU [100%@2264,21%@2263,83%@2264,72%@2263,33%@2260,100%@2259,8%@2264,90%@2263] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 115 APE 150 AUX@49C CPU@51.5C thermal@49.75C Tboard@48C AO@48C GPU@48.5C Tdiode@51C PMIC@50C GPU 620mW/581mW CPU 5740mW/4848mW SOC 2947mW/2870mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3520mW/3500mW
02-18-2025 09:08:06 RAM 9994/30991MB (lfb 2046x4MB) SWAP 1/15495MB (cached 0MB) CPU [100%@2263,16%@2263,0%@2262,8%@2263,7%@2263,16%@2266,7%@2264,0%@2262] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.75C Tboard@48C AO@48C GPU@49C Tdiode@51C PMIC@50C GPU 465mW/558mW CPU 4966mW/4872mW SOC 2793mW/2855mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3480mW/3496mW
02-18-2025 09:08:06 RAM 10040/30991MB (lfb 2035x4MB) SWAP 1/15495MB (cached 0MB) CPU [86%@1517,7%@2264,7%@2264,0%@2263,16%@2263,0%@2263,0%@2263,0%@2263] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 115 APE 150 AUX@49C CPU@50.5C thermal@49.75C Tboard@48C AO@48C GPU@49C Tdiode@51C PMIC@50C GPU 465mW/542mW CPU 4347mW/4784mW SOC 2794mW/2844mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3440mW/3486mW
02-18-2025 09:08:06 RAM 9946/30991MB (lfb 2060x4MB) SWAP 1/15495MB (cached 0MB) CPU [41%@2265,50%@2264,9%@2266,25%@2263,76%@2264,54%@2264,18%@2257,8%@2263] EMC_FREQ 5%@2133 GR3D_FREQ 2%@[828] VIC_FREQ 115 APE 150 AUX@48.5C CPU@51.5C thermal@49.75C Tboard@48C AO@48C GPU@49C Tdiode@51C PMIC@50C GPU 620mW/553mW CPU 4811mW/4788mW SOC 2793mW/2837mW CV -310mW/-44mW VDDRQ 465mW/465mW SYS5V 3440mW/3480mW
02-18-2025 09:08:06 RAM 9988/30991MB (lfb 2049x4MB) SWAP 1/15495MB (cached 0MB) CPU [0%@2262,9%@2267,0%@2263,0%@2270,100%@2263,0%@2264,7%@2263,0%@2261] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.55C Tboard@48C AO@48C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/542mW CPU 4347mW/4733mW SOC 2794mW/2832mW CV -310mW/-77mW VDDRQ 465mW/465mW SYS5V 3440mW/3475mW
02-18-2025 09:08:06 RAM 10030/30991MB (lfb 2039x4MB) SWAP 1/15495MB (cached 0MB) CPU [10%@2264,38%@2269,15%@2263,36%@2263,100%@2259,0%@2264,0%@2262,8%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@50.5C thermal@49.55C Tboard@48C AO@48C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/533mW CPU 4192mW/4673mW SOC 2794mW/2827mW CV 0mW/-68mW VDDRQ 465mW/465mW SYS5V 3400mW/3466mW
02-18-2025 09:08:06 RAM 9944/30991MB (lfb 2061x4MB) SWAP 1/15495MB (cached 0MB) CPU [38%@2264,33%@2264,90%@2264,46%@2266,91%@2263,75%@2264,83%@2263,76%@2262] EMC_FREQ 4%@2133 GR3D_FREQ 91%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.55C Tboard@48C AO@48C GPU@49C Tdiode@51C PMIC@50C GPU 620mW/542mW CPU 5121mW/4717mW SOC 2793mW/2824mW CV 0mW/-62mW VDDRQ 465mW/465mW SYS5V 3440mW/3464mW
02-18-2025 09:08:06 RAM 9988/30991MB (lfb 2050x4MB) SWAP 1/15495MB (cached 0MB) CPU [30%@2262,100%@2263,91%@2263,61%@2263,100%@2264,0%@2263,90%@2264,58%@2263] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[522] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.55C Tboard@48C AO@48C GPU@48.5C Tdiode@51C PMIC@50C GPU 465mW/535mW CPU 5895mW/4824mW SOC 2792mW/2821mW CV 0mW/-56mW VDDRQ 465mW/465mW SYS5V 3440mW/3461mW
