02-18-2025 11:10:33 RAM 10631/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [38%@2263,38%@2264,41%@2263,50%@2264,76%@2264,75%@2264,46%@2263,50%@2263] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@52C thermal@49.75C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.25C PMIC@50C GPU 1395mW/1395mW CPU 5117mW/5117mW SOC 2791mW/2791mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3520mW/3520mW
02-18-2025 11:10:33 RAM 10660/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [90%@2264,33%@2262,53%@2264,72%@2269,50%@2264,46%@2264,41%@2264,50%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51.5C thermal@49.75C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.25C PMIC@50C GPU 1240mW/1317mW CPU 5427mW/5272mW SOC 2791mW/2791mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3520mW/3520mW
02-18-2025 11:10:33 RAM 10571/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [30%@2262,15%@2264,8%@2264,0%@2261,100%@2264,0%@2263,8%@2261,23%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51C thermal@49.75C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.25C PMIC@50C GPU 1396mW/1343mW CPU 4962mW/5168mW SOC 2791mW/2791mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3520mW/3520mW
02-18-2025 11:10:33 RAM 10613/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [15%@2263,0%@2264,41%@2263,9%@2264,100%@2263,0%@2266,0%@2264,0%@2262] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51C thermal@49.75C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.25C PMIC@50C GPU 1241mW/1318mW CPU 4498mW/5001mW SOC 2792mW/2791mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3520mW/3520mW
02-18-2025 11:10:33 RAM 10657/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [0%@2263,8%@2264,0%@2263,0%@2252,100%@2264,0%@2264,8%@2264,0%@2262] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@50.5C thermal@49.6C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.5C PMIC@50C GPU 1241mW/1302mW CPU 4035mW/4807mW SOC 2793mW/2791mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3480mW/3512mW
02-18-2025 11:10:33 RAM 10569/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [30%@2261,8%@2264,8%@2264,8%@2264,53%@2264,0%@2262,9%@2264,46%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51C thermal@49.6C Tboard@49C AO@48.5C GPU@50C Tdiode@51.5C PMIC@50C GPU 1241mW/1292mW CPU 3880mW/4653mW SOC 2793mW/2791mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3480mW/3506mW
02-18-2025 11:10:33 RAM 10613/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [0%@2262,7%@2264,0%@2263,14%@2264,0%@2264,0%@2264,16%@2261,100%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51C thermal@49.6C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.25C PMIC@50C GPU 1242mW/1285mW CPU 3415mW/4476mW SOC 2794mW/2792mW CV 0mW/0mW VDDRQ 465mW/465mW SYS5V 3480mW/3502mW
02-18-2025 11:10:34 RAM 10655/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [8%@2264,0%@2264,0%@2264,0%@2256,0%@2263,7%@2263,0%@2263,100%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51C thermal@49.6C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.25C PMIC@50C GPU 1086mW/1260mW CPU 3260mW/4324mW SOC 2794mW/2792mW CV -310mW/-38mW VDDRQ 310mW/445mW SYS5V 3480mW/3500mW
02-18-2025 11:10:34 RAM 10575/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [23%@2264,18%@2263,8%@2263,0%@2263,7%@2263,8%@2262,30%@2263,100%@2261] EMC_FREQ 3%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51.5C thermal@49.6C Tboard@49C AO@48.5C GPU@50C Tdiode@51.25C PMIC@50C GPU 1242mW/1258mW CPU 3260mW/4206mW SOC 2794mW/2792mW CV 0mW/-34mW VDDRQ 465mW/447mW SYS5V 3480mW/3497mW
02-18-2025 11:10:34 RAM 10617/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [8%@2264,15%@2264,0%@2263,8%@2262,0%@2263,0%@2263,0%@2259,100%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51.5C thermal@49.6C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.25C PMIC@50C GPU 1242mW/1256mW CPU 3260mW/4111mW SOC 2794mW/2792mW CV 0mW/-31mW VDDRQ 465mW/449mW SYS5V 3480mW/3496mW
02-18-2025 11:10:34 RAM 10662/30991MB (lfb 1179x4MB) SWAP 2/15495MB (cached 0MB) CPU [0%@2264,0%@2263,9%@2263,8%@2263,0%@2264,0%@2264,8%@2264,100%@2263] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@51C thermal@49.6C Tboard@49C AO@48.5C GPU@49.5C Tdiode@51.25C PMIC@50C GPU 1242mW/1255mW CPU 3105mW/4019mW SOC 2794mW/2792mW CV 0mW/-28mW VDDRQ 310mW/436mW SYS5V 3440mW/3490mW
