02-19-2025 10:11:11 RAM 11169/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2263,75%@2265,25%@2261,66%@2261,81%@2259,20%@2268,46%@2262,33%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 27%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@46.95C Tboard@47C AO@46C GPU@48.5C Tdiode@49C PMIC@50C GPU 3100mW/3100mW CPU 4185mW/4185mW SOC 2945mW/2945mW CV 0mW/0mW VDDRQ 620mW/620mW SYS5V 3560mW/3560mW
02-19-2025 10:11:11 RAM 11170/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [64%@2264,64%@2263,28%@2263,0%@2264,78%@2264,27%@2264,41%@2264,38%@2264] EMC_FREQ 5%@2133 GR3D_FREQ 29%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@46.95C Tboard@47C AO@46C GPU@48.5C Tdiode@49C PMIC@50C GPU 3717mW/3408mW CPU 4646mW/4415mW SOC 3097mW/3021mW CV 0mW/0mW VDDRQ 774mW/697mW SYS5V 3600mW/3580mW
02-19-2025 10:11:11 RAM 11176/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2262,53%@2264,83%@2267,8%@2264,38%@2263,38%@2263,50%@2262,27%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 29%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@46.95C Tboard@47C AO@46.5C GPU@48.5C Tdiode@49C PMIC@50C GPU 4334mW/3717mW CPU 4799mW/4543mW SOC 3251mW/3097mW CV 0mW/0mW VDDRQ 928mW/774mW SYS5V 3640mW/3600mW
02-19-2025 10:11:11 RAM 11180/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2263,54%@2267,58%@2265,30%@2265,81%@2263,38%@2261,41%@2264,50%@2264] EMC_FREQ 8%@2133 GR3D_FREQ 47%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@46.95C Tboard@47C AO@46.5C GPU@48.5C Tdiode@49.25C PMIC@50C GPU 4795mW/3986mW CPU 5261mW/4722mW SOC 3249mW/3135mW CV 0mW/0mW VDDRQ 928mW/812mW SYS5V 3680mW/3620mW
02-19-2025 10:11:11 RAM 11180/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2265,33%@2263,25%@2265,45%@2264,41%@2264,41%@2265,61%@2264,63%@2265] EMC_FREQ 9%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@46.95C Tboard@47C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5104mW/4210mW CPU 5414mW/4861mW SOC 3403mW/3189mW CV 0mW/0mW VDDRQ 928mW/835mW SYS5V 3720mW/3640mW
02-19-2025 10:11:12 RAM 11184/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2264,23%@2265,16%@2261,66%@2263,36%@2265,45%@2264,25%@2264,81%@2262] EMC_FREQ 10%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@46.95C Tboard@47C AO@46C GPU@49C Tdiode@49.25C PMIC@50C GPU 5257mW/4384mW CPU 5411mW/4952mW SOC 3401mW/3224mW CV 0mW/0mW VDDRQ 1082mW/876mW SYS5V 3720mW/3653mW
02-19-2025 10:11:12 RAM 11187/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2263,36%@2264,33%@2264,0%@2265,42%@2264,46%@2264,58%@2265,30%@2263] EMC_FREQ 10%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@48.3C Tboard@47C AO@46.5C GPU@49C Tdiode@49.25C PMIC@50C GPU 5566mW/4553mW CPU 5411mW/5018mW SOC 3401mW/3249mW CV 0mW/0mW VDDRQ 1082mW/906mW SYS5V 3720mW/3662mW
02-19-2025 10:11:12 RAM 11191/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2265,58%@2265,8%@2265,27%@2265,53%@2265,45%@2264,33%@2264,25%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@47C AO@46.5C GPU@49C Tdiode@49.5C PMIC@50C GPU 5411mW/4660mW CPU 5257mW/5048mW SOC 3401mW/3268mW CV 0mW/0mW VDDRQ 1082mW/928mW SYS5V 3720mW/3670mW
02-19-2025 10:11:12 RAM 11195/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2263,80%@2264,38%@2265,50%@2264,10%@2265,38%@2265,41%@2263,33%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@47C AO@46.5C GPU@49C Tdiode@49.5C PMIC@50C GPU 5721mW/4778mW CPU 5411mW/5088mW SOC 3401mW/3283mW CV 0mW/0mW VDDRQ 1082mW/945mW SYS5V 3760mW/3680mW
02-19-2025 10:11:12 RAM 11196/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2264,81%@2263,61%@2263,15%@2262,30%@2264,42%@2261,41%@2264,28%@2261] EMC_FREQ 12%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@47C AO@46.5C GPU@49C Tdiode@49.5C PMIC@50C GPU 5721mW/4872mW CPU 5411mW/5120mW SOC 3401mW/3295mW CV 0mW/0mW VDDRQ 1082mW/958mW SYS5V 3760mW/3688mW
02-19-2025 10:11:12 RAM 11200/30991MB (lfb 2989x4MB) SWAP 0/15495MB (cached 0MB) CPU [28%@2262,84%@2264,50%@2264,9%@2265,46%@2264,45%@2264,36%@2265,41%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@48.3C Tboard@47C AO@46.5C GPU@49.5C Tdiode@49.5C PMIC@50C GPU 5875mW/4963mW CPU 5411mW/5147mW SOC 3401mW/3304mW CV 0mW/0mW VDDRQ 1081mW/969mW SYS5V 3760mW/3694mW
