02-21-2025 08:42:39 RAM 9520/30991MB (lfb 3387x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2263,41%@2264,25%@2263,25%@2262,38%@2259,46%@2264,23%@2261,83%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 75%@[420] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46.5C GPU@47C Tdiode@48.75C PMIC@50C GPU 776mW/776mW CPU 4656mW/4656mW SOC 2793mW/2793mW CV 0mW/0mW VDDRQ 620mW/620mW SYS5V 3440mW/3440mW
02-21-2025 08:42:39 RAM 9536/30991MB (lfb 3385x4MB) SWAP 0/15495MB (cached 0MB) CPU [33%@2265,30%@2264,91%@2264,33%@2264,18%@2263,0%@2264,58%@2266,30%@2260] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[420] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@47.7C Tboard@46C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 931mW/853mW CPU 5274mW/4965mW SOC 2947mW/2870mW CV 0mW/0mW VDDRQ 620mW/620mW SYS5V 3440mW/3440mW
02-21-2025 08:42:39 RAM 9545/30991MB (lfb 3385x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2264,76%@2264,66%@2264,64%@2263,84%@2262,93%@2264,71%@2263,76%@2263] EMC_FREQ 5%@2133 GR3D_FREQ 63%@[420] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@47.7C Tboard@46C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 930mW/879mW CPU 6202mW/5377mW SOC 2946mW/2895mW CV 0mW/0mW VDDRQ 620mW/620mW SYS5V 3480mW/3453mW
02-21-2025 08:42:40 RAM 9551/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2263,76%@2269,58%@2259,85%@2264,92%@2264,75%@2263,91%@2264,71%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 75%@[522] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@47.7C Tboard@46C AO@46C GPU@47C Tdiode@48.75C PMIC@50C GPU 1085mW/930mW CPU 6820mW/5738mW SOC 3100mW/2946mW CV 0mW/0mW VDDRQ 774mW/658mW SYS5V 3560mW/3480mW
02-21-2025 08:42:40 RAM 9545/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [91%@2264,71%@2264,81%@2263,75%@2264,76%@2264,75%@2264,92%@2263,83%@2262] EMC_FREQ 7%@2133 GR3D_FREQ 65%@[522] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1239mW/992mW CPU 7434mW/6077mW SOC 3253mW/3007mW CV 0mW/0mW VDDRQ 929mW/712mW SYS5V 3600mW/3504mW
02-21-2025 08:42:40 RAM 9557/30991MB (lfb 3382x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2264,54%@2264,53%@2265,42%@2262,66%@2264,69%@2264,70%@2263,50%@2263] EMC_FREQ 8%@2133 GR3D_FREQ 50%@[522] VIC_FREQ 115 APE 150 AUX@47C CPU@50.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1393mW/1059mW CPU 7279mW/6277mW SOC 3252mW/3048mW CV 0mW/0mW VDDRQ 929mW/748mW SYS5V 3640mW/3526mW
02-21-2025 08:42:40 RAM 9546/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2264,58%@2263,36%@2265,38%@2264,75%@2264,33%@2263,35%@2262,78%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 77%@[522] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50.5C thermal@47.7C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1548mW/1128mW CPU 7124mW/6398mW SOC 3252mW/3077mW CV 0mW/0mW VDDRQ 929mW/774mW SYS5V 3680mW/3548mW
02-21-2025 08:42:40 RAM 9545/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2265,20%@2263,45%@2261,60%@2264,69%@2264,84%@2263,45%@2264,38%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 41%@[522] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1548mW/1181mW CPU 6969mW/6469mW SOC 3252mW/3099mW CV 0mW/0mW VDDRQ 1084mW/813mW SYS5V 3720mW/3570mW
02-21-2025 08:42:40 RAM 9548/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2263,42%@2262,9%@2263,57%@2263,27%@2262,100%@2264,41%@2263,63%@2265] EMC_FREQ 10%@2133 GR3D_FREQ 49%@[624] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@48.75C PMIC@50C GPU 1704mW/1239mW CPU 6817mW/6508mW SOC 3253mW/3116mW CV 0mW/0mW VDDRQ 1084mW/843mW SYS5V 3720mW/3586mW
02-21-2025 08:42:40 RAM 9546/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2264,45%@2263,8%@2264,66%@2263,25%@2264,76%@2264,58%@2264,27%@2263] EMC_FREQ 10%@2133 GR3D_FREQ 49%@[624] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@48.75C PMIC@50C GPU 1704mW/1285mW CPU 6507mW/6508mW SOC 3253mW/3130mW CV 0mW/0mW VDDRQ 1084mW/867mW SYS5V 3720mW/3600mW
02-21-2025 08:42:40 RAM 9546/30991MB (lfb 3384x4MB) SWAP 0/15495MB (cached 0MB) CPU [60%@2263,42%@2262,46%@2264,46%@2264,91%@2263,25%@2264,58%@2263,63%@2258] EMC_FREQ 11%@2133 GR3D_FREQ 44%@[624] VIC_FREQ 115 APE 150 AUX@47C CPU@50C thermal@47.85C Tboard@46C AO@46C GPU@47.5C Tdiode@49C PMIC@50C GPU 1859mW/1337mW CPU 6507mW/6508mW SOC 3408mW/3155mW CV -309mW/-28mW VDDRQ 1084mW/887mW SYS5V 3720mW/3610mW
