02-25-2025 09:30:39 RAM 8302/30991MB (lfb 3537x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2262,16%@2265,38%@2258,100%@2265,38%@2271,0%@2264,33%@2263,66%@2264] EMC_FREQ 3%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@48.5C thermal@46.75C Tboard@45C AO@45.5C GPU@47C Tdiode@48.25C PMIC@50C GPU 2014mW/2014mW CPU 3873mW/3873mW SOC 2788mW/2788mW CV -309mW/-309mW VDDRQ 464mW/464mW SYS5V 3440mW/3440mW
02-25-2025 09:30:39 RAM 8305/30991MB (lfb 3537x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2264,16%@2264,0%@2265,100%@2265,18%@2264,90%@2264,9%@2264,54%@2262] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@46.75C Tboard@45C AO@45C GPU@47.5C Tdiode@48.25C PMIC@50C GPU 2323mW/2168mW CPU 4489mW/4181mW SOC 2941mW/2864mW CV 0mW/-154mW VDDRQ 619mW/541mW SYS5V 3480mW/3460mW
02-25-2025 09:30:39 RAM 8316/30991MB (lfb 3536x4MB) SWAP 0/15495MB (cached 0MB) CPU [45%@2266,20%@2263,27%@2264,92%@2266,36%@2264,92%@2264,42%@2262,66%@2267] EMC_FREQ 5%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@49C thermal@46.75C Tboard@45C AO@45C GPU@47.5C Tdiode@48.25C PMIC@50C GPU 2940mW/2425mW CPU 5259mW/4540mW SOC 3093mW/2940mW CV 0mW/-103mW VDDRQ 618mW/567mW SYS5V 3560mW/3493mW
02-25-2025 09:30:39 RAM 8318/30991MB (lfb 3536x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2266,30%@2264,50%@2262,91%@2264,100%@2264,100%@2265,71%@2264,78%@2264] EMC_FREQ 6%@2133 GR3D_FREQ 30%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@49.5C thermal@46.75C Tboard@45C AO@45.5C GPU@48C Tdiode@48.25C PMIC@50C GPU 3554mW/2707mW CPU 6027mW/4912mW SOC 3245mW/3016mW CV 0mW/-77mW VDDRQ 927mW/657mW SYS5V 3640mW/3530mW
02-25-2025 09:30:39 RAM 8320/30991MB (lfb 3536x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2264,41%@2265,58%@2263,92%@2264,33%@2263,58%@2265,66%@2263,92%@2263] EMC_FREQ 8%@2133 GR3D_FREQ 30%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@49.5C thermal@46.75C Tboard@45C AO@45.5C GPU@48C Tdiode@48.25C PMIC@50C GPU 4169mW/3000mW CPU 6640mW/5257mW SOC 3243mW/3062mW CV 0mW/-61mW VDDRQ 926mW/710mW SYS5V 3680mW/3560mW
02-25-2025 09:30:40 RAM 8321/30991MB (lfb 3536x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2264,69%@2264,78%@2264,53%@2265,36%@2263,76%@2264,27%@2264,100%@2265] EMC_FREQ 9%@2133 GR3D_FREQ 47%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@50C thermal@46.75C Tboard@45C AO@45.5C GPU@48.5C Tdiode@48.25C PMIC@50C GPU 4629mW/3271mW CPU 7252mW/5590mW SOC 3394mW/3117mW CV 0mW/-51mW VDDRQ 1080mW/772mW SYS5V 3714mW/3585mW
02-25-2025 09:30:40 RAM 8322/30991MB (lfb 3536x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2264,42%@2260,61%@2264,36%@2267,58%@2264,92%@2264,41%@2268,100%@2262] EMC_FREQ 10%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@46.75C Tboard@45C AO@45.5C GPU@48.5C Tdiode@48.5C PMIC@50C GPU 4937mW/3509mW CPU 7712mW/5893mW SOC 3393mW/3156mW CV 0mW/-44mW VDDRQ 1233mW/838mW SYS5V 3753mW/3609mW
02-25-2025 09:30:40 RAM 8324/30991MB (lfb 3535x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2265,27%@2264,38%@2262,50%@2262,91%@2263,90%@2257,45%@2264,100%@2264] EMC_FREQ 12%@2133 GR3D_FREQ 42%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@50C thermal@46.75C Tboard@45C AO@45.5C GPU@48.5C Tdiode@48.5C PMIC@50C GPU 5089mW/3706mW CPU 7866mW/6139mW SOC 3547mW/3205mW CV 0mW/-38mW VDDRQ 1233mW/887mW SYS5V 3793mW/3632mW
02-25-2025 09:30:40 RAM 8325/30991MB (lfb 3535x4MB) SWAP 0/15495MB (cached 0MB) CPU [30%@2264,30%@2264,58%@2264,33%@2265,83%@2265,90%@2263,30%@2264,100%@2263] EMC_FREQ 13%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@46C CPU@50C thermal@47.95C Tboard@45C AO@45.5C GPU@48.5C Tdiode@48.5C PMIC@50C GPU 5244mW/3877mW CPU 7862mW/6331mW SOC 3546mW/3243mW CV 0mW/-34mW VDDRQ 1233mW/925mW SYS5V 3793mW/3650mW
02-25-2025 09:30:40 RAM 8330/30991MB (lfb 3535x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2263,30%@2265,41%@2264,53%@2265,84%@2268,84%@2264,25%@2264,92%@2263] EMC_FREQ 13%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.95C Tboard@45C AO@45.5C GPU@48.5C Tdiode@48.5C PMIC@50C GPU 5244mW/4014mW CPU 7862mW/6484mW SOC 3546mW/3273mW CV 0mW/-30mW VDDRQ 1233mW/956mW SYS5V 3793mW/3664mW
02-25-2025 09:30:40 RAM 8337/30991MB (lfb 3535x4MB) SWAP 0/15495MB (cached 0MB) CPU [57%@2264,78%@2264,50%@2261,46%@2262,84%@2264,76%@2264,16%@2266,100%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@46.5C CPU@50C thermal@47.95C Tboard@45C AO@45.5C GPU@48.5C Tdiode@48.75C PMIC@50C GPU 5241mW/4125mW CPU 8017mW/6623mW SOC 3546mW/3298mW CV 0mW/-28mW VDDRQ 1233mW/981mW SYS5V 3793mW/3676mW
