02-19-2025 10:45:17 RAM 11876/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2265,16%@2265,16%@2265,92%@2262,25%@2264,91%@2264,50%@2264,75%@2264] EMC_FREQ 4%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@47C AO@47C GPU@49.5C Tdiode@50C PMIC@50C GPU 2791mW/2791mW CPU 3721mW/3721mW SOC 2947mW/2947mW CV -310mW/-310mW VDDRQ 620mW/620mW SYS5V 3560mW/3560mW
02-19-2025 10:45:17 RAM 11878/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2265,8%@2264,7%@2264,100%@2263,45%@2273,36%@2266,41%@2265,83%@2264] EMC_FREQ 5%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@47C AO@47.5C GPU@50C Tdiode@50C PMIC@50C GPU 3563mW/3177mW CPU 4338mW/4029mW SOC 3098mW/3022mW CV 0mW/-155mW VDDRQ 774mW/697mW SYS5V 3600mW/3580mW
02-19-2025 10:45:17 RAM 11877/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2265,41%@2265,0%@2266,100%@2265,0%@2262,46%@2262,50%@2262,83%@2262] EMC_FREQ 6%@2133 GR3D_FREQ 23%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.25C Tboard@47C AO@47C GPU@50C Tdiode@50C PMIC@50C GPU 3872mW/3408mW CPU 4646mW/4235mW SOC 3097mW/3047mW CV 0mW/-103mW VDDRQ 774mW/722mW SYS5V 3640mW/3600mW
02-19-2025 10:45:17 RAM 11879/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [21%@2264,75%@2264,14%@2268,91%@2264,8%@2264,38%@2265,53%@2265,61%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 21%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.25C Tboard@47C AO@47.5C GPU@50C Tdiode@50C PMIC@50C GPU 4334mW/3640mW CPU 4954mW/4414mW SOC 3251mW/3098mW CV 0mW/-77mW VDDRQ 928mW/774mW SYS5V 3640mW/3610mW
02-19-2025 10:45:18 RAM 11879/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2259,15%@2268,0%@2261,100%@2263,36%@2264,41%@2264,72%@2264,75%@2263] EMC_FREQ 8%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.25C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 4487mW/3809mW CPU 5106mW/4553mW SOC 3251mW/3128mW CV 0mW/-62mW VDDRQ 928mW/804mW SYS5V 3680mW/3624mW
02-19-2025 10:45:18 RAM 11879/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2265,9%@2265,7%@2265,100%@2261,41%@2260,41%@2264,53%@2264,33%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@50.5C thermal@48.25C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 4797mW/3974mW CPU 5261mW/4671mW SOC 3249mW/3148mW CV 0mW/-51mW VDDRQ 928mW/825mW SYS5V 3680mW/3633mW
02-19-2025 10:45:18 RAM 11881/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2265,41%@2262,0%@2265,100%@2264,53%@2265,83%@2265,25%@2264,53%@2264] EMC_FREQ 9%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 4950mW/4113mW CPU 5723mW/4821mW SOC 3403mW/3185mW CV 0mW/-44mW VDDRQ 928mW/840mW SYS5V 3720mW/3645mW
02-19-2025 10:45:18 RAM 11881/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2265,84%@2265,14%@2264,100%@2260,42%@2266,66%@2265,16%@2265,45%@2264] EMC_FREQ 10%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 5104mW/4237mW CPU 5723mW/4934mW SOC 3403mW/3212mW CV 0mW/-38mW VDDRQ 928mW/851mW SYS5V 3760mW/3660mW
02-19-2025 10:45:18 RAM 11881/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2265,84%@2265,0%@2265,100%@2265,54%@2264,66%@2265,0%@2264,50%@2265] EMC_FREQ 11%@2133 GR3D_FREQ 8%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 5104mW/4333mW CPU 5723mW/5021mW SOC 3403mW/3233mW CV 0mW/-34mW VDDRQ 1082mW/876mW SYS5V 3760mW/3671mW
02-19-2025 10:45:18 RAM 11881/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [8%@2264,80%@2264,14%@2267,100%@2264,33%@2265,66%@2265,0%@2264,45%@2264] EMC_FREQ 11%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 5259mW/4426mW CPU 5723mW/5091mW SOC 3403mW/3250mW CV 0mW/-31mW VDDRQ 1082mW/897mW SYS5V 3760mW/3680mW
02-19-2025 10:45:18 RAM 11881/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2267,83%@2269,8%@2265,100%@2264,45%@2263,66%@2266,0%@2262,46%@2262] EMC_FREQ 12%@2133 GR3D_FREQ 30%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.5C PMIC@50C GPU 5259mW/4501mW CPU 5721mW/5149mW SOC 3403mW/3264mW CV 0mW/-28mW VDDRQ 1082mW/914mW SYS5V 3760mW/3687mW
02-19-2025 10:45:18 RAM 11881/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2264,81%@2264,0%@2261,100%@2260,57%@2265,53%@2265,0%@2261,41%@2265] EMC_FREQ 12%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5414mW/4577mW CPU 5721mW/5196mW SOC 3403mW/3275mW CV 0mW/-25mW VDDRQ 1082mW/928mW SYS5V 3760mW/3693mW
02-19-2025 10:45:19 RAM 11881/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2264,84%@2264,8%@2265,100%@2263,63%@2264,36%@2264,26%@2263,50%@2264] EMC_FREQ 13%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50.5C Tdiode@50.25C PMIC@50C GPU 5568mW/4654mW CPU 5721mW/5237mW SOC 3401mW/3285mW CV 0mW/-23mW VDDRQ 1082mW/939mW SYS5V 3760mW/3698mW
02-19-2025 10:45:19 RAM 11882/30991MB (lfb 2643x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2264,83%@2264,14%@2265,100%@2265,69%@2265,41%@2265,8%@2264,53%@2267] EMC_FREQ 13%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.25C PMIC@50C GPU 5566mW/4719mW CPU 5721mW/5271mW SOC 3401mW/3293mW CV 0mW/-22mW VDDRQ 1082mW/950mW SYS5V 3760mW/3702mW
02-19-2025 10:45:19 RAM 11882/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2265,85%@2265,28%@2263,100%@2265,76%@2265,56%@2265,57%@2265,21%@2265] EMC_FREQ 14%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@47C AO@47.5C GPU@50C Tdiode@50.5C PMIC@50C GPU 5721mW/4785mW CPU 5875mW/5311mW SOC 3401mW/3300mW CV 0mW/-20mW VDDRQ 1082mW/958mW SYS5V 3760mW/3706mW
02-19-2025 10:45:19 RAM 11884/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [84%@2264,81%@2265,58%@2265,100%@2265,53%@2264,81%@2265,36%@2265,54%@2265] EMC_FREQ 15%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.8C Tboard@47C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5718mW/4844mW CPU 6491mW/5385mW SOC 3554mW/3316mW CV 0mW/-19mW VDDRQ 1081mW/966mW SYS5V 3760mW/3710mW
02-19-2025 10:45:19 RAM 11885/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@2265,58%@2265,30%@2264,100%@2267,15%@2265,75%@2265,45%@2264,66%@2265] EMC_FREQ 15%@2133 GR3D_FREQ 14%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.8C Tboard@47C AO@47.5C GPU@50C Tdiode@50.5C PMIC@50C GPU 5718mW/4895mW CPU 6646mW/5459mW SOC 3554mW/3330mW CV 0mW/-18mW VDDRQ 1081mW/973mW SYS5V 3800mW/3715mW
02-19-2025 10:45:19 RAM 11884/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2265,69%@2264,33%@2264,100%@2264,9%@2265,69%@2264,16%@2264,53%@2265] EMC_FREQ 15%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.8C Tboard@47C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5564mW/4932mW CPU 6646mW/5525mW SOC 3554mW/3343mW CV 0mW/-17mW VDDRQ 1081mW/979mW SYS5V 3760mW/3717mW
02-19-2025 10:45:19 RAM 11884/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2264,75%@2265,46%@2265,100%@2263,63%@2264,70%@2265,66%@2265,58%@2264] EMC_FREQ 16%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@47C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5718mW/4974mW CPU 6952mW/5600mW SOC 3554mW/3354mW CV 0mW/-16mW VDDRQ 1235mW/992mW SYS5V 3800mW/3722mW
02-19-2025 10:45:19 RAM 11886/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [91%@2265,46%@2265,58%@2265,91%@2264,69%@2263,69%@2265,63%@2264,75%@2265] EMC_FREQ 16%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@47C AO@48C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5716mW/5011mW CPU 7106mW/5675mW SOC 3553mW/3364mW CV 0mW/-15mW VDDRQ 1235mW/1004mW SYS5V 3800mW/3726mW
02-19-2025 10:45:20 RAM 11886/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2265,63%@2265,46%@2265,100%@2264,66%@2266,46%@2265,75%@2265,64%@2265] EMC_FREQ 17%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@47C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5716mW/5044mW CPU 7261mW/5751mW SOC 3553mW/3373mW CV 0mW/-14mW VDDRQ 1235mW/1015mW SYS5V 3800mW/3729mW
02-19-2025 10:45:20 RAM 11886/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2264,78%@2264,8%@2264,100%@2264,33%@2265,45%@2263,53%@2264,36%@2266] EMC_FREQ 17%@2133 GR3D_FREQ 22%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@47C AO@47.5C GPU@50.5C Tdiode@50.5C PMIC@50C GPU 5716mW/5075mW CPU 7106mW/5812mW SOC 3553mW/3381mW CV 0mW/-14mW VDDRQ 1235mW/1025mW SYS5V 3800mW/3732mW
02-19-2025 10:45:20 RAM 11889/30991MB (lfb 2642x4MB) SWAP 0/15495MB (cached 0MB) CPU [75%@2264,18%@2265,7%@2261,100%@2264,21%@2264,57%@2264,85%@2264,53%@2264] EMC_FREQ 17%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.8C Tboard@47C AO@47.5C GPU@50.5C Tdiode@50.75C PMIC@50C GPU 5718mW/5103mW CPU 6800mW/5855mW SOC 3554mW/3388mW CV 0mW/-13mW VDDRQ 1235mW/1034mW SYS5V 3800mW/3735mW
