01-23-2025 09:46:11 RAM 10440/30991MB (lfb 145x4MB) SWAP 2/15495MB (cached 0MB) CPU [9%@2256,16%@2253,40%@2257,72%@2260,50%@2257,84%@2256,53%@2258,63%@2257] EMC_FREQ 3%@2133 GR3D_FREQ 9%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.4C Tboard@48C AO@47.5C GPU@49C Tdiode@53C PMIC@50C GPU 2638mW/2638mW CPU 4033mW/4033mW SOC 2947mW/2947mW CV 0mW/0mW VDDRQ 775mW/775mW SYS5V 3531mW/3531mW
01-23-2025 09:46:11 RAM 10441/30991MB (lfb 145x4MB) SWAP 2/15495MB (cached 0MB) CPU [25%@2257,33%@2260,36%@2255,58%@2257,61%@2256,72%@2257,41%@2257,33%@2258] EMC_FREQ 4%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 3101mW/2869mW CPU 4497mW/4265mW SOC 3101mW/3024mW CV 0mW/0mW VDDRQ 775mW/775mW SYS5V 3571mW/3551mW
01-23-2025 09:46:11 RAM 10441/30991MB (lfb 145x4MB) SWAP 2/15495MB (cached 0MB) CPU [53%@2256,41%@2256,50%@2257,53%@2257,18%@2257,33%@2257,53%@2260,78%@2256] EMC_FREQ 5%@2133 GR3D_FREQ 17%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.4C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 3563mW/3100mW CPU 4960mW/4496mW SOC 3098mW/3048mW CV 0mW/0mW VDDRQ 929mW/826mW SYS5V 3611mW/3571mW
01-23-2025 09:46:11 RAM 10443/30991MB (lfb 145x4MB) SWAP 2/15495MB (cached 0MB) CPU [36%@2258,10%@2254,63%@2256,50%@2256,33%@2258,72%@2257,33%@2258,27%@2253] EMC_FREQ 6%@2133 GR3D_FREQ 20%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 3873mW/3293mW CPU 5268mW/4689mW SOC 3253mW/3099mW CV 0mW/0mW VDDRQ 929mW/852mW SYS5V 3651mW/3591mW
01-23-2025 09:46:11 RAM 10442/30991MB (lfb 145x4MB) SWAP 2/15495MB (cached 0MB) CPU [36%@2257,83%@2258,76%@2258,76%@2257,66%@2257,61%@2259,41%@2259,38%@2254] EMC_FREQ 7%@2133 GR3D_FREQ 10%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@48.4C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4181mW/3471mW CPU 5730mW/4897mW SOC 3252mW/3130mW CV 0mW/0mW VDDRQ 1084mW/898mW SYS5V 3651mW/3603mW
01-23-2025 09:46:12 RAM 10455/30991MB (lfb 142x4MB) SWAP 2/15495MB (cached 0MB) CPU [53%@2258,100%@2257,60%@2258,58%@2259,75%@2258,84%@2258,45%@2256,66%@2256] EMC_FREQ 8%@2133 GR3D_FREQ 22%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4180mW/3589mW CPU 6347mW/5139mW SOC 3251mW/3150mW CV 0mW/0mW VDDRQ 1083mW/929mW SYS5V 3691mW/3617mW
01-23-2025 09:46:12 RAM 10458/30991MB (lfb 142x4MB) SWAP 2/15495MB (cached 0MB) CPU [58%@2257,76%@2258,50%@2255,53%@2254,69%@2258,69%@2258,54%@2258,72%@2259] EMC_FREQ 8%@2133 GR3D_FREQ 53%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4178mW/3673mW CPU 6809mW/5377mW SOC 3404mW/3186mW CV 0mW/0mW VDDRQ 1083mW/951mW SYS5V 3691mW/3628mW
01-23-2025 09:46:12 RAM 10462/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [33%@2256,41%@2258,66%@2256,75%@2258,61%@2258,61%@2256,36%@2256,53%@2258] EMC_FREQ 9%@2133 GR3D_FREQ 49%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4333mW/3755mW CPU 6809mW/5556mW SOC 3404mW/3213mW CV 0mW/0mW VDDRQ 1083mW/967mW SYS5V 3691mW/3636mW
01-23-2025 09:46:12 RAM 10463/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [45%@2258,36%@2257,50%@2257,76%@2254,46%@2258,41%@2254,45%@2259,50%@2262] EMC_FREQ 9%@2133 GR3D_FREQ 50%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4487mW/3837mW CPU 6499mW/5661mW SOC 3404mW/3234mW CV 0mW/0mW VDDRQ 1083mW/980mW SYS5V 3691mW/3642mW
01-23-2025 09:46:12 RAM 10462/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [58%@2259,46%@2258,46%@2258,80%@2254,27%@2258,25%@2255,36%@2260,53%@2257] EMC_FREQ 10%@2133 GR3D_FREQ 11%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4642mW/3917mW CPU 6499mW/5745mW SOC 3404mW/3251mW CV 0mW/0mW VDDRQ 1083mW/990mW SYS5V 3691mW/3647mW
01-23-2025 09:46:12 RAM 10465/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [58%@2257,66%@2257,42%@2257,53%@2256,63%@2256,66%@2258,60%@2258,41%@2257] EMC_FREQ 11%@2133 GR3D_FREQ 49%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4952mW/4011mW CPU 6654mW/5827mW SOC 3404mW/3265mW CV 0mW/0mW VDDRQ 1237mW/1013mW SYS5V 3691mW/3651mW
01-23-2025 09:46:12 RAM 10463/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [58%@2257,53%@2258,50%@2257,30%@2257,54%@2258,54%@2258,54%@2257,54%@2256] EMC_FREQ 11%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4952mW/4090mW CPU 6651mW/5896mW SOC 3403mW/3277mW CV 0mW/0mW VDDRQ 1237mW/1031mW SYS5V 3691mW/3654mW
01-23-2025 09:46:12 RAM 10464/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [61%@2258,54%@2255,54%@2258,36%@2255,57%@2254,66%@2258,46%@2257,70%@2258] EMC_FREQ 12%@2133 GR3D_FREQ 30%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4952mW/4156mW CPU 6651mW/5954mW SOC 3403mW/3286mW CV 0mW/0mW VDDRQ 1237mW/1047mW SYS5V 3691mW/3657mW
01-23-2025 09:46:13 RAM 10464/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [40%@2257,46%@2258,60%@2258,64%@2256,54%@2257,61%@2259,50%@2258,58%@2256] EMC_FREQ 12%@2133 GR3D_FREQ 20%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.65C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4952mW/4213mW CPU 6806mW/6015mW SOC 3403mW/3295mW CV 0mW/0mW VDDRQ 1237mW/1061mW SYS5V 3691mW/3659mW
01-23-2025 09:46:13 RAM 10466/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [30%@2258,46%@2257,58%@2257,66%@2253,61%@2256,66%@2258,54%@2258,50%@2257] EMC_FREQ 13%@2133 GR3D_FREQ 54%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48C GPU@50C Tdiode@53.25C PMIC@50C GPU 4950mW/4262mW CPU 6651mW/6057mW SOC 3404mW/3302mW CV 0mW/0mW VDDRQ 1237mW/1072mW SYS5V 3731mW/3664mW
01-23-2025 09:46:13 RAM 10465/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [46%@2257,50%@2257,63%@2257,78%@2258,75%@2257,50%@2258,46%@2258,64%@2257] EMC_FREQ 13%@2133 GR3D_FREQ 47%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4950mW/4305mW CPU 6806mW/6104mW SOC 3403mW/3308mW CV 0mW/0mW VDDRQ 1237mW/1083mW SYS5V 3731mW/3668mW
01-23-2025 09:46:13 RAM 10467/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [54%@2259,36%@2256,53%@2256,58%@2258,66%@2258,58%@2257,80%@2258,58%@2258] EMC_FREQ 13%@2133 GR3D_FREQ 45%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4950mW/4343mW CPU 6960mW/6154mW SOC 3403mW/3314mW CV 0mW/0mW VDDRQ 1237mW/1092mW SYS5V 3731mW/3672mW
01-23-2025 09:46:13 RAM 10467/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [61%@2257,54%@2256,33%@2257,41%@2256,41%@2256,69%@2257,69%@2256,54%@2259] EMC_FREQ 14%@2133 GR3D_FREQ 22%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4950mW/4376mW CPU 6960mW/6199mW SOC 3403mW/3319mW CV 0mW/0mW VDDRQ 1237mW/1100mW SYS5V 3731mW/3675mW
01-23-2025 09:46:13 RAM 10466/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [50%@2253,66%@2255,46%@2257,36%@2257,41%@2257,45%@2257,66%@2256,41%@2258] EMC_FREQ 14%@2133 GR3D_FREQ 35%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4950mW/4407mW CPU 6806mW/6231mW SOC 3403mW/3323mW CV 0mW/0mW VDDRQ 1237mW/1107mW SYS5V 3691mW/3676mW
01-23-2025 09:46:13 RAM 10467/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [58%@2258,58%@2257,41%@2256,45%@2258,46%@2257,44%@2256,40%@2256,63%@2257] EMC_FREQ 14%@2133 GR3D_FREQ 49%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 5104mW/4441mW CPU 6806mW/6260mW SOC 3404mW/3327mW CV 0mW/0mW VDDRQ 1237mW/1113mW SYS5V 3691mW/3677mW
01-23-2025 09:46:13 RAM 10469/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [83%@2254,38%@2257,53%@2257,61%@2258,58%@2256,20%@2258,58%@2257,50%@2256] EMC_FREQ 14%@2133 GR3D_FREQ 9%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4952mW/4466mW CPU 6654mW/6278mW SOC 3404mW/3331mW CV 0mW/0mW VDDRQ 1238mW/1119mW SYS5V 3691mW/3677mW
01-23-2025 09:46:14 RAM 10470/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [61%@2256,61%@2255,72%@2259,63%@2257,45%@2254,50%@2257,41%@2257,46%@2256] EMC_FREQ 14%@2133 GR3D_FREQ 22%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48C GPU@49.5C Tdiode@53.5C PMIC@50C GPU 4952mW/4488mW CPU 6651mW/6295mW SOC 3404mW/3334mW CV 0mW/0mW VDDRQ 1238mW/1125mW SYS5V 3691mW/3678mW
01-23-2025 09:46:14 RAM 10471/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [66%@2257,66%@2256,50%@2256,66%@2255,58%@2254,36%@2263,58%@2258,66%@2256] EMC_FREQ 14%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52.5C thermal@49.8C Tboard@48C AO@48.5C GPU@50C Tdiode@53.5C PMIC@50C GPU 4952mW/4508mW CPU 6806mW/6317mW SOC 3404mW/3337mW CV 0mW/0mW VDDRQ 1237mW/1130mW SYS5V 3691mW/3678mW
01-23-2025 09:46:14 RAM 10470/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [53%@2257,41%@2257,27%@2258,81%@2257,33%@2255,33%@2255,41%@2253,46%@2255] EMC_FREQ 14%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4797mW/4520mW CPU 6654mW/6331mW SOC 3404mW/3340mW CV 0mW/0mW VDDRQ 1238mW/1134mW SYS5V 3691mW/3679mW
01-23-2025 09:46:14 RAM 10469/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [42%@2256,63%@2256,58%@2255,30%@2250,45%@2257,50%@2256,50%@2253,27%@2257] EMC_FREQ 14%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4797mW/4531mW CPU 6499mW/6338mW SOC 3404mW/3342mW CV 0mW/0mW VDDRQ 1238mW/1138mW SYS5V 3691mW/3679mW
01-23-2025 09:46:14 RAM 10468/30991MB (lfb 141x4MB) SWAP 2/15495MB (cached 0MB) CPU [63%@2258,71%@2256,58%@2256,42%@2258,53%@2257,61%@2257,58%@2256,27%@2258] EMC_FREQ 14%@2133 GR3D_FREQ 37%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@52C thermal@49.8C Tboard@48C AO@48C GPU@50C Tdiode@53.25C PMIC@50C GPU 4952mW/4547mW CPU 6499mW/6344mW SOC 3404mW/3345mW CV 0mW/0mW VDDRQ 1238mW/1142mW SYS5V 3691mW/3680mW
