01-23-2025 10:02:02 RAM 7285/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [50%@2258,75%@2257,18%@2257,75%@2260,66%@2259,50%@2258,18%@2258,21%@2259] EMC_FREQ 2%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.4C Tboard@48C AO@47.5C GPU@49C Tdiode@52.75C PMIC@50C GPU 2639mW/2639mW CPU 3726mW/3726mW SOC 2950mW/2950mW CV 0mW/0mW VDDRQ 776mW/776mW SYS5V 3250mW/3250mW
01-23-2025 10:02:02 RAM 7287/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [75%@2259,36%@2258,18%@2258,58%@2257,25%@2257,30%@2257,30%@2263,63%@2256] EMC_FREQ 4%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@52.75C PMIC@50C GPU 3257mW/2948mW CPU 4188mW/3957mW SOC 2947mW/2948mW CV 0mW/0mW VDDRQ 775mW/775mW SYS5V 3290mW/3270mW
01-23-2025 10:02:02 RAM 7288/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [9%@2260,69%@2257,38%@2256,35%@2259,57%@2251,41%@2257,23%@2258,75%@2258] EMC_FREQ 4%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 3566mW/3154mW CPU 4497mW/4137mW SOC 3101mW/2999mW CV 0mW/0mW VDDRQ 930mW/827mW SYS5V 3330mW/3290mW
01-23-2025 10:02:02 RAM 7290/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [8%@2256,0%@2258,45%@2257,41%@2256,60%@2256,66%@2255,69%@2257,41%@2258] EMC_FREQ 5%@2133 GR3D_FREQ 11%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 3875mW/3334mW CPU 4805mW/4304mW SOC 3100mW/3024mW CV 0mW/0mW VDDRQ 930mW/852mW SYS5V 3370mW/3310mW
01-23-2025 10:02:02 RAM 7289/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [38%@2258,21%@2258,45%@2257,41%@2258,9%@2258,30%@2259,61%@2256,83%@2256] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 4028mW/3473mW CPU 4958mW/4434mW SOC 3098mW/3039mW CV 0mW/0mW VDDRQ 929mW/868mW SYS5V 3370mW/3322mW
01-23-2025 10:02:02 RAM 7289/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [66%@2257,42%@2257,50%@2257,33%@2256,33%@2253,23%@2254,8%@2257,91%@2257] EMC_FREQ 7%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4338mW/3617mW CPU 5113mW/4547mW SOC 3253mW/3074mW CV 0mW/0mW VDDRQ 1084mW/904mW SYS5V 3410mW/3336mW
01-23-2025 10:02:03 RAM 7292/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [41%@2257,61%@2258,25%@2257,15%@2257,54%@2256,72%@2254,16%@2261,41%@2256] EMC_FREQ 7%@2133 GR3D_FREQ 17%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4493mW/3742mW CPU 5113mW/4628mW SOC 3253mW/3100mW CV 0mW/0mW VDDRQ 1084mW/929mW SYS5V 3410mW/3347mW
01-23-2025 10:02:03 RAM 7294/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [69%@2257,27%@2257,25%@2252,0%@2254,41%@2259,78%@2258,33%@2257,38%@2258] EMC_FREQ 8%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@47.5C GPU@49C Tdiode@53C PMIC@50C GPU 4493mW/3836mW CPU 5268mW/4708mW SOC 3253mW/3119mW CV 0mW/0mW VDDRQ 1084mW/949mW SYS5V 3410mW/3355mW
01-23-2025 10:02:03 RAM 7293/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [27%@2261,69%@2257,27%@2257,0%@2257,83%@2257,46%@2255,36%@2255,27%@2257] EMC_FREQ 8%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4646mW/3926mW CPU 5265mW/4770mW SOC 3252mW/3134mW CV 0mW/0mW VDDRQ 1084mW/964mW SYS5V 3410mW/3361mW
01-23-2025 10:02:03 RAM 7296/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [23%@2257,8%@2257,50%@2257,27%@2256,66%@2263,83%@2258,25%@2256,33%@2258] EMC_FREQ 9%@2133 GR3D_FREQ 21%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4493mW/3982mW CPU 5265mW/4819mW SOC 3253mW/3146mW CV 0mW/0mW VDDRQ 1084mW/976mW SYS5V 3410mW/3366mW
01-23-2025 10:02:03 RAM 7294/30991MB (lfb 325x4MB) SWAP 2/15495MB (cached 0MB) CPU [41%@2257,16%@2262,76%@2257,38%@2255,18%@2256,46%@2255,46%@2253,45%@2258] EMC_FREQ 9%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@49.15C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4646mW/4043mW CPU 5265mW/4860mW SOC 3253mW/3155mW CV 0mW/0mW VDDRQ 1084mW/985mW SYS5V 3410mW/3370mW
