01-23-2025 10:15:45 RAM 7230/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [83%@2258,15%@2258,10%@2257,27%@2258,76%@2258,33%@2256,84%@2258,50%@2257] EMC_FREQ 3%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.4C Tboard@48C AO@47.5C GPU@48.5C Tdiode@53C PMIC@50C GPU 2484mW/2484mW CPU 3726mW/3726mW SOC 2794mW/2794mW CV 0mW/0mW VDDRQ 776mW/776mW SYS5V 3250mW/3250mW
01-23-2025 10:15:45 RAM 7229/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [81%@2257,30%@2257,30%@2254,16%@2254,30%@2258,71%@2258,16%@2257,45%@2257] EMC_FREQ 4%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 3257mW/2870mW CPU 4190mW/3958mW SOC 2947mW/2870mW CV 0mW/0mW VDDRQ 775mW/775mW SYS5V 3290mW/3270mW
01-23-2025 10:15:45 RAM 7232/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [61%@2258,40%@2257,20%@2258,58%@2258,25%@2258,41%@2257,18%@2259,38%@2257] EMC_FREQ 4%@2133 GR3D_FREQ 17%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 3566mW/3102mW CPU 4497mW/4137mW SOC 3101mW/2947mW CV 0mW/0mW VDDRQ 930mW/827mW SYS5V 3330mW/3290mW
01-23-2025 10:15:45 RAM 7233/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [38%@2259,84%@2257,30%@2259,9%@2257,30%@2258,30%@2252,58%@2257,53%@2259] EMC_FREQ 5%@2133 GR3D_FREQ 6%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 3875mW/3295mW CPU 4650mW/4265mW SOC 3100mW/2985mW CV 0mW/0mW VDDRQ 930mW/852mW SYS5V 3370mW/3310mW
01-23-2025 10:15:45 RAM 7232/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [0%@2256,81%@2257,58%@2256,33%@2258,16%@2255,8%@2257,53%@2256,55%@2257] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53.25C PMIC@50C GPU 4185mW/3473mW CPU 4960mW/4404mW SOC 3098mW/3008mW CV 0mW/0mW VDDRQ 929mW/868mW SYS5V 3370mW/3322mW
01-23-2025 10:15:45 RAM 7234/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [76%@2256,50%@2262,30%@2257,25%@2256,36%@2256,36%@2257,30%@2258,33%@2257] EMC_FREQ 7%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.4C Tboard@48C AO@48C GPU@49C Tdiode@53.25C PMIC@50C GPU 4338mW/3617mW CPU 4958mW/4496mW SOC 3253mW/3048mW CV 0mW/0mW VDDRQ 1084mW/904mW SYS5V 3410mW/3336mW
01-23-2025 10:15:45 RAM 7235/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [23%@2257,90%@2259,23%@2256,16%@2258,38%@2256,46%@2256,58%@2258,41%@2257] EMC_FREQ 7%@2133 GR3D_FREQ 34%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.4C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4648mW/3764mW CPU 5113mW/4584mW SOC 3252mW/3077mW CV 0mW/0mW VDDRQ 1084mW/929mW SYS5V 3410mW/3347mW
01-23-2025 10:15:46 RAM 7238/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [33%@2258,85%@2257,18%@2257,25%@2258,41%@2258,36%@2255,25%@2256,30%@2256] EMC_FREQ 8%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@48.4C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4648mW/3875mW CPU 5113mW/4650mW SOC 3252mW/3099mW CV 0mW/0mW VDDRQ 1084mW/949mW SYS5V 3410mW/3355mW
01-23-2025 10:15:46 RAM 7239/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [10%@2258,83%@2257,27%@2257,53%@2263,33%@2258,23%@2258,46%@2257,41%@2258] EMC_FREQ 9%@2133 GR3D_FREQ 19%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4803mW/3978mW CPU 5111mW/4702mW SOC 3252mW/3116mW CV 0mW/0mW VDDRQ 1084mW/964mW SYS5V 3410mW/3361mW
01-23-2025 10:15:46 RAM 7240/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [18%@2259,81%@2258,25%@2256,33%@2254,76%@2259,16%@2258,36%@2259,36%@2255] EMC_FREQ 9%@2133 GR3D_FREQ 28%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4803mW/4060mW CPU 5265mW/4758mW SOC 3252mW/3130mW CV 0mW/0mW VDDRQ 1084mW/976mW SYS5V 3451mW/3370mW
01-23-2025 10:15:46 RAM 7240/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [25%@2258,81%@2248,25%@2258,16%@2258,75%@2256,18%@2254,46%@2250,33%@2258] EMC_FREQ 10%@2133 GR3D_FREQ 32%@[1377] VIC_FREQ 115 APE 150 AUX@47.5C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49.5C Tdiode@53C PMIC@50C GPU 4958mW/4142mW CPU 5265mW/4804mW SOC 3252mW/3141mW CV 0mW/0mW VDDRQ 1084mW/985mW SYS5V 3451mW/3377mW
01-23-2025 10:15:46 RAM 7242/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [84%@2256,15%@2257,41%@2254,41%@2254,53%@2258,28%@2258,33%@2257,38%@2256] EMC_FREQ 10%@2133 GR3D_FREQ 31%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48C GPU@49C Tdiode@53C PMIC@50C GPU 4803mW/4197mW CPU 5265mW/4842mW SOC 3252mW/3150mW CV 0mW/0mW VDDRQ 1084mW/994mW SYS5V 3451mW/3383mW
01-23-2025 10:15:46 RAM 7244/30991MB (lfb 326x4MB) SWAP 2/15495MB (cached 0MB) CPU [84%@2256,25%@2257,84%@2257,23%@2258,0%@2259,25%@2257,33%@2258,33%@2258] EMC_FREQ 10%@2133 GR3D_FREQ 21%@[1377] VIC_FREQ 115 APE 150 AUX@48C CPU@51.5C thermal@49.3C Tboard@48C AO@48.5C GPU@49.5C Tdiode@53.25C PMIC@50C GPU 4801mW/4243mW CPU 5265mW/4875mW SOC 3252mW/3158mW CV 0mW/0mW VDDRQ 1084mW/1000mW SYS5V 3451mW/3388mW
