Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
0,"0,044161","6,638363","42,042235","0,066163",97,"6790,728763","0,433425"
1,"0,02815","0,057366","81,03094","0,054921",96,"221,468169","0,844072"
2,"0,030218","0,060739","79,530639","0,052789",96,"223,276611","0,828444"
3,"0,008251","0,048856","75,893654","0,041497",96,"174,497489","0,790559"
4,"0,143926","0,03987","76,218215","0,055383",96,"315,396827","0,79394"
5,"0,936114","0,042891","78,129543","0,038777",96,"1095,911763","0,813849"
6,"0,017883","0,044521","67,506251","0,054365",96,"184,276417","0,70319"
7,"0,008602","0,048139","76,69779","0,049584",95,"183,022688","0,807345"
8,"0,006945","0,048401","75,519106","0,058907",96,"189,771479","0,786657"
9,"0,037871","0,052548","79,58168","0,057867",96,"227,867787","0,828976"
10,"0,008071","0,048807","74,5476","0,037923",96,"169,348648","0,776538"
11,"0,007014","0,044963","67,137688","0,054601",96,"173,716646","0,699351"
12,"0,025456","0,04515","73,654499","0,052203",96,"196,462923","0,767234"
13,"0,0076","0,04269","74,74569","0,04038",96,"165,414462","0,778601"
14,"0,012578","0,045792","73,374997","0,045555",96,"177,29974","0,764323"
15,"0,005729","0,051791","78,30568","0,040501",96,"176,326667","0,815684"
16,"0,007975","0,044628","59,739743","0,037468",96,"149,809636","0,622289"
17,"0,005477","0,047739","56,876589","0,037533",96,"147,625591","0,592464"
18,"0,006357","0,044488","54,668669","0,037667",96,"143,180596","0,569465"
19,"0,009307","0,045364","55,859994","0,045113",96,"155,644175","0,581875"
20,"0,007711","0,046038","56,395285","0,040944",96,"151,088774","0,587451"
21,"0,007665","0,040723","58,205521","0,040756",96,"147,349224","0,606308"
22,"0,005421","0,04089","57,201501","0,0354",95,"138,912506","0,602121"
23,"0,00638","0,03961","54,988812","0,043201",95,"144,180228","0,57883"
24,"0,008155","0,044249","55,910619","0,040867",95,"149,181476","0,588533"
25,"0,005863","0,040495","55,916892","0,043175",95,"145,449671","0,588599"
26,"0,011234","0,03628","56,080708","0,043274",95,"146,868559","0,590323"
27,"0,012668","0,041192","59,964649","0,048666",95,"162,490665","0,631207"
28,"0,005608","0,038525","61,56646","0,038965",95,"144,664416","0,648068"
29,"0,007431","0,032291","57,75689","0,046589",96,"144,068065","0,601634"
30,"0,005779","0,037111","59,374572","0,055981",96,"158,245265","0,618485"
31,"0,006103","0,037412","61,406163","0,055636",96,"160,557638","0,639648"
32,"0,007217","0,041062","61,639103","0,040233",96,"150,150229","0,642074"
33,"0,007294","0,034076","55,44346","0,047421",96,"144,233768","0,577536"
34,"0,008604","0,036293","61,039169","0,058519",96,"164,455598","0,635825"
35,"0,006059","0,036695","68,444569","0,046131",96,"157,329889","0,712964"
36,"0,008606","0,038241","60,057455","0,038685",95,"145,589998","0,632184"
37,"0,00911","0,039804","56,887149","0,065667",96,"171,468305","0,592574"
38,"0,010998","0,039871","71,298602","0,059478",97,"181,645782","0,735037"
39,"0,006403","0,047231","66,868361","0,048498",97,"168,999892","0,689365"
40,"0,006761","0,040144","60,538182","0,044054",96,"151,4982","0,630606"
41,"0,005894","0,039537","57,2736","0,049059",97,"151,763877","0,590449"
42,"0,006555","0,043248","62,220956","0,062174",96,"174,197756","0,648135"
43,"0,006292","0,043202","66,276874","0,042863",95,"158,633442","0,697651"
44,"0,005524","0,035974","56,109573","0,061669",94,"159,276163","0,59691"
45,"0,005366","0,044488","65,968507","0,048327",93,"164,150333","0,709339"
46,"0,009554","0,054486","58,514848","0,047049",95,"169,60453","0,615946"
47,"0,006137","0,043692","60,070991","0,048482",96,"158,381271","0,625739"
48,"0,005605","0,036544","58,337046","0,04408",95,"144,566486","0,614074"
49,"0,009512","0,054834","55,818775","0,042715",94,"162,880316","0,593817"
50,"0,013199","0,058903","57,872799","0,040851",95,"170,825583","0,609187"
51,"0,011658","0,043757","53,906774","0,043182",95,"152,50398","0,56744"
52,"0,013622","0,037161","58,830511","0,03967",95,"149,283911","0,619269"
53,"0,009468","0,04409","56,471096","0,061121",95,"171,150368","0,594433"
54,"0,01036","0,05398","63,334676","0,056148",95,"183,822434","0,666681"
55,"0,010907","0,040078","66,021053","0,048055",96,"165,061512","0,687719"
56,"0,006577","0,053647","59,441742","0,049743",96,"169,409253","0,619185"
57,"0,011006","0,042619","60,94281","0,049907",96,"164,47537","0,634821"
58,"0,009095","0,04285","63,112457","0,052977",96,"168,034528","0,657421"
59,"0,01234","0,039594","61,98568","0,054618",96,"168,537562","0,645684"
