Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS
0,"0,038043","0,021365","0,003112","0,20188",0,"264,399971",0,0
1,"0,00742","0,014991","0,001818","0,015345",0,"39,574216",0,63
2,"0,009909","0,016797","0,003183","0,010996",0,"40,884197",0,72
3,"0,010435","0,013207","0,001778","0,01013",0,"35,549355",0,63
4,"0,00801","0,014558","0,002026","0,013274",0,"37,86831",0,55
5,"0,007879","0,012564","0,00219","0,016017",0,"38,650459",0,55
6,"0,009033","0,015613","0,001483","0,010125",0,"36,254283",0,55
7,"0,006924","0,013905","0,001637","0,014982",0,"37,447684",0,54
8,"0,008117","0,015056","0,002177","0,01509",0,"40,439249",0,56
9,"0,007337","0,013528","0,002253","0,011443",0,"34,561052",0,51
10,"0,007433","0,01461","0,002271","0,011779",0,"36,092163",0,44
11,"0,007064","0,013435","0,001726","0,008216",0,"30,440891",0,40
12,"0,006984","0,012667","0,001433","0,007473",0,"28,556032",0,35
13,"0,009716","0,013244","0,002279","0,011789",0,"37,029168",0,30
14,"0,007998","0,012051","0,001606","0,007841",0,"29,497036",0,28
15,"0,007443","0,01445","0,001707","0,012935",0,"36,536119",0,28
16,"0,007461","0,01378","0,001485","0,017111",0,"39,837556",0,28
17,"0,007264","0,013223","0,001846","0,015706",0,"38,039424",0,26
18,"0,007288","0,012622","0,001425","0,014494",0,"35,829142",0,23
19,"0,00869","0,012018","0,001498","0,013552",0,"35,758164",0,23
20,"0,006992","0,014624","0,002631","0,006198",0,"30,444505",0,20
21,"0,007656","0,012693","0,001587","0,012404",0,"34,34021",0,21
22,"0,007073","0,012442","0,001695","0,01173",0,"32,939503",0,21
23,"0,006897","0,013648","0,002004","0,008928",0,"31,47793",0,18
24,"0,00692","0,011987","0,001506","0,008835",0,"29,247489",0,18
25,"0,006931","0,011978","0,001887","0,009038",0,"29,835069",0,18
26,"0,007027","0,014638","0,001817","0,005384",0,"28,865103",0,17
27,"0,006517","0,012047","0,003544","0,005669",0,"27,777308",0,17
28,"0,007267","0,013509","0,001742","0,005067",0,"27,584437",0,17
29,"0,005497","0,015803","0,00217","0,004792",0,"28,261266",0,14
30,"0,006353","0,016516","0,001719","0,011432",0,"36,019968",0,13
31,"0,008067","0,014327","0,003872","0,006883",0,"33,149465",0,13
32,"0,008958","0,013454","0,002093","0,007365",0,"31,869821",0,14
33,"0,008413","0,018894","0,001648","0,005293",0,"34,247117",0,13
34,"0,008732","0,016754","0,001724","0,005274",0,"32,483449",0,13
35,"0,007517","0,014304","0,001377","0,006276",0,"29,473963",0,14
36,"0,005887","0,017096","0,00312","0,007129",0,"33,230876",0,13
37,"0,008992","0,018207","0,002236","0,00653",0,"35,965534",0,13
38,"0,006941","0,020183","0,002123","0,006507",0,"35,7533",0,14
39,"0,006314","0,015224","0,001643","0,00512",0,"28,3013",0,13
40,"0,007696","0,017687","0,001864","0,005963",0,"33,210333",0,13
