Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
0,"0,040870","0,023218","0,003930","0,221308",0,"289,326012","0,000000"
1,"0,008779","0,016467","0,002692","0,012812",0,"40,749651","0,000000"
2,"0,007426","0,012937","0,001806","0,011800",0,"33,969552","0,000000"
3,"0,007735","0,012275","0,002297","0,010354",0,"32,661244","0,000000"
4,"0,007428","0,014834","0,002823","0,015412",0,"40,498057","0,000000"
5,"0,007057","0,013107","0,001676","0,014058",0,"35,897881","0,000000"
6,"0,008015","0,015267","0,001664","0,010974",0,"35,919193","0,000000"
7,"0,007200","0,012341","0,001786","0,014194",0,"35,520748","0,000000"
8,"0,007156","0,014733","0,001535","0,014464",0,"37,888388","0,000000"
9,"0,007237","0,014235","0,002926","0,013115",0,"37,513559","0,000000"
10,"0,008306","0,014933","0,001842","0,011476",0,"36,556691","0,000000"
11,"0,007691","0,013910","0,001153","0,006393",0,"29,146681","0,000000"
12,"0,007067","0,013142","0,001279","0,009236",0,"30,723187","0,000000"
13,"0,006969","0,014476","0,001796","0,012432",0,"35,673041","0,000000"
14,"0,008442","0,012401","0,002841","0,011552",0,"35,235359","0,000000"
15,"0,007233","0,015653","0,001295","0,021285",0,"45,465094","0,000000"
16,"0,008959","0,011853","0,001908","0,015300",0,"38,019914","0,000000"
17,"0,007044","0,017646","0,002148","0,007713",0,"34,550341","0,000000"
18,"0,008202","0,013466","0,001283","0,012240",0,"35,191229","0,000000"
19,"0,008546","0,011600","0,002079","0,015268",0,"37,492630","0,000000"
20,"0,008105","0,013223","0,001386","0,006650",0,"29,363007","0,000000"
21,"0,007722","0,013928","0,001716","0,016545",0,"39,910419","0,000000"
22,"0,007206","0,011955","0,001380","0,012949",0,"33,490461","0,000000"
23,"0,008053","0,014010","0,002870","0,006922",0,"31,854078","0,000000"
24,"0,007205","0,013521","0,002361","0,009790",0,"32,876902","0,000000"
25,"0,007110","0,013618","0,001575","0,008186",0,"30,489674","0,000000"
26,"0,007285","0,013541","0,001652","0,007655",0,"30,132414","0,000000"
27,"0,008039","0,013544","0,002405","0,005325",0,"29,312671","0,000000"
28,"0,005443","0,012505","0,001360","0,006228",0,"25,536045","0,000000"
29,"0,008480","0,014001","0,001334","0,005570",0,"29,384960","0,000000"
30,"0,008391","0,012573","0,001404","0,005340",0,"27,708128","0,000000"
31,"0,005319","0,013925","0,001400","0,008309",0,"28,951951","0,000000"
32,"0,005276","0,018974","0,004215","0,006429",0,"34,894802","0,000000"
33,"0,005445","0,012501","0,005135","0,005369",0,"28,449469","0,000000"
34,"0,007732","0,015749","0,001352","0,005290",0,"30,122429","0,000000"
35,"0,005657","0,012908","0,001646","0,006210",0,"26,421294","0,000000"
36,"0,005339","0,014540","0,002133","0,007514",0,"29,525573","0,000000"
37,"0,005413","0,012335","0,002167","0,008081",0,"27,996363","0,000000"
38,"0,005341","0,017507","0,002697","0,005820",0,"31,365964","0,000000"
39,"0,006656","0,012826","0,001920","0,005012",0,"26,414415","0,000000"
40,"0,005348","0,014092","0,001927","0,005667",0,"27,034439","0,000000"
41,"0,005250","0,015797","0,001943","0,005056",0,"28,046157","0,000000"
42,"0,005286","0,012990","0,001832","0,005077",0,"25,185185","0,000000"
43,"0,005347","0,014046","0,002108","0,005561",0,"27,061129","0,000000"
44,"0,005391","0,016544","0,001617","0,004941",0,"28,493694","0,000000"
45,"0,006352","0,015930","0,001971","0,005725",0,"29,977239","0,000000"
46,"0,005239","0,014360","0,001557","0,005116",0,"26,272683","0,000000"
47,"0,005518","0,012895","0,001546","0,005224",0,"25,182655","0,000000"
48,"0,007063","0,014882","0,002097","0,007378",0,"31,420269","0,000000"
49,"0,005827","0,013820","0,001978","0,005813",0,"27,438487","0,000000"
50,"0,006353","0,014328","0,002483","0,007091",0,"30,254658","0,000000"
51,"0,006539","0,015509","0,003701","0,005318",0,"31,067617","0,000000"
52,"0,008195","0,014923","0,002317","0,005136",0,"30,571246","0,000000"
53,"0,005521","0,014515","0,003399","0,005049",0,"28,483869","0,000000"
54,"0,005639","0,016009","0,001721","0,005211",0,"28,580034","0,000000"
55,"0,005380","0,018482","0,001366","0,005883",0,"31,110401","0,000000"
56,"0,005619","0,013866","0,001445","0,005443",0,"26,373582","0,000000"
57,"0,007308","0,012355","0,001853","0,005150",0,"26,665946","0,000000"
58,"0,005341","0,014321","0,002565","0,005724",0,"27,950378","0,000000"
59,"0,005775","0,016255","0,002681","0,005145",0,"29,856403","0,000000"
60,"0,006391","0,013426","0,001595","0,008733",0,"30,144445","0,000000"
61,"0,005260","0,012795","0,004482","0,006610",0,"29,147639","0,000000"
62,"0,005281","0,013867","0,002538","0,005181",0,"26,867264","0,000000"
63,"0,005265","0,013879","0,002144","0,007214",0,"28,502654","0,000000"
64,"0,005234","0,014348","0,001558","0,005614",0,"26,754174","0,000000"
65,"0,005343","0,015952","0,002126","0,004970",0,"28,391385","0,000000"
66,"0,006253","0,015121","0,002195","0,005670",0,"29,238971","0,000000"
67,"0,005231","0,012458","0,001793","0,005143",0,"24,625834","0,000000"
68,"0,005347","0,014815","0,001225","0,005366",0,"26,753531","0,000000"
69,"0,005513","0,014194","0,001818","0,004956",0,"26,481585","0,000000"
70,"0,005286","0,014199","0,001692","0,006039",0,"27,215503","0,000000"
71,"0,006316","0,014557","0,001712","0,005046",0,"27,631069","0,000000"
72,"0,005435","0,014067","0,002104","0,007549",0,"29,156151","0,000000"
73,"0,005685","0,013372","0,003415","0,006204",0,"28,676613","0,000000"
74,"0,005336","0,013330","0,001753","0,005935",0,"26,354766","0,000000"
75,"0,005451","0,015443","0,001734","0,005223",0,"27,851205","0,000000"
76,"0,005472","0,012708","0,001660","0,005365",0,"25,205889","0,000000"
77,"0,005264","0,014807","0,001544","0,005738",0,"27,352883","0,000000"
78,"0,005361","0,013330","0,001920","0,006219",0,"26,829631","0,000000"
79,"0,005741","0,012734","0,001536","0,005377",0,"25,388521","0,000000"
80,"0,005365","0,014059","0,001980","0,005990",0,"27,394709","0,000000"
81,"0,005254","0,012431","0,002226","0,004930",0,"24,841236","0,000000"
82,"0,005291","0,012609","0,001602","0,005680",0,"25,183295","0,000000"
83,"0,006605","0,013227","0,001468","0,006336",0,"27,636156","0,000000"
84,"0,006451","0,014584","0,001754","0,007353",0,"30,142141","0,000000"
85,"0,005202","0,013345","0,004315","0,008951",0,"31,813309","0,000000"
86,"0,005331","0,013029","0,003143","0,005890",0,"27,392852","0,000000"
87,"0,005309","0,011918","0,001925","0,005000",0,"24,153370","0,000000"
88,"0,005305","0,013733","0,003034","0,005127",0,"27,199407","0,000000"
89,"0,005216","0,014896","0,001753","0,005837",0,"27,702272","0,000000"
90,"0,005297","0,013913","0,001556","0,006190",0,"26,956037","0,000000"
91,"0,007787","0,014302","0,001669","0,006157",0,"29,915062","0,000000"
92,"0,005367","0,012119","0,002263","0,005541",0,"25,290021","0,000000"
93,"0,005407","0,013776","0,001572","0,005396",0,"26,152165","0,000000"
94,"0,005307","0,013868","0,005123","0,005335",0,"29,634058","0,000000"
95,"0,005334","0,014065","0,002746","0,005061",0,"27,205357","0,000000"
96,"0,005262","0,012863","0,002121","0,007311",0,"27,556602","0,000000"
97,"0,005202","0,012352","0,001739","0,006856",0,"26,148614","0,000000"
98,"0,005390","0,014358","0,001586","0,006044",0,"27,378676","0,000000"
99,"0,005391","0,013956","0,001705","0,005869",0,"26,920419","0,000000"
100,"0,005265","0,014758","0,002213","0,005861",0,"28,096655","0,000000"
101,"0,005269","0,013804","0,003654","0,005561",0,"28,287606","0,000000"
102,"0,005291","0,014072","0,002008","0,005654",0,"27,026406","0,000000"
103,"0,005303","0,013600","0,001444","0,005293",0,"25,640081","0,000000"
104,"0,005711","0,012027","0,001462","0,007027",0,"26,226695","0,000000"
105,"0,005650","0,012549","0,001692","0,006453",0,"26,345036","0,000000"
106,"0,005312","0,012639","0,001582","0,005190",0,"24,723054","0,000000"
107,"0,005225","0,014764","0,002065","0,005823",0,"27,877127","0,000000"
108,"0,005324","0,013032","0,001442","0,007232",0,"27,030822","0,000000"
109,"0,005285","0,012925","0,004056","0,010039",0,"32,305230","0,000000"
110,"0,005277","0,014299","0,002985","0,005716",0,"28,276406","0,000000"
111,"0,005654","0,012316","0,002350","0,005926",0,"26,245992","0,000000"
112,"0,005247","0,013809","0,001626","0,005509",0,"26,192039","0,000000"
113,"0,005506","0,012392","0,003685","0,006098",0,"27,680416","0,000000"
114,"0,005800","0,012308","0,003430","0,005665",0,"27,203564","0,000000"
115,"0,005722","0,012587","0,001519","0,006291",0,"26,119396","0,000000"
116,"0,005226","0,012245","0,003867","0,005386",0,"26,724507","0,000000"
117,"0,005413","0,015588","0,001626","0,005333",0,"27,960586","0,000000"
118,"0,005562","0,012504","0,002374","0,005965",0,"26,406095","0,000000"
119,"0,005389","0,014753","0,001467","0,005859",0,"27,467511","0,000000"
120,"0,005419","0,012282","0,002303","0,012183",0,"32,186602","0,000000"
121,"0,005261","0,013745","0,002595","0,006971",0,"28,571713","0,000000"
122,"0,005356","0,013273","0,001470","0,005545",0,"25,643217","0,000000"
123,"0,005277","0,013763","0,001707","0,005529",0,"26,276425","0,000000"
124,"0,005996","0,013369","0,002125","0,005487",0,"26,977989","0,000000"
125,"0,006578","0,012291","0,001641","0,006375",0,"26,885408","0,000000"
126,"0,006461","0,016891","0,001685","0,007192",0,"32,228909","0,000000"
127,"0,005316","0,013815","0,002035","0,005296",0,"26,461938","0,000000"
128,"0,005334","0,015506","0,001693","0,005729",0,"28,262422","0,000000"
129,"0,005597","0,013563","0,001528","0,006579",0,"27,266671","0,000000"
130,"0,005300","0,015660","0,001234","0,006170",0,"28,364313","0,000000"
131,"0,005435","0,013535","0,002102","0,005831",0,"26,904163","0,000000"
132,"0,006034","0,014068","0,005156","0,008480",0,"33,738021","0,000000"
133,"0,005340","0,012746","0,001815","0,007871",0,"27,771266","0,000000"
134,"0,005304","0,013592","0,002038","0,006177",0,"27,111273","0,000000"
135,"0,005288","0,012688","0,001598","0,005690",0,"25,265348","0,000000"
136,"0,005300","0,012163","0,002549","0,005626",0,"25,638451","0,000000"
137,"0,005537","0,016109","0,002464","0,006223",0,"30,332997","0,000000"
138,"0,009281","0,013194","0,001685","0,005531",0,"29,691084","0,000000"
139,"0,005645","0,014387","0,002093","0,006384",0,"28,508512","0,000000"
140,"0,005342","0,011744","0,002451","0,005481",0,"25,018779","0,000000"
141,"0,005291","0,012891","0,003155","0,005157",0,"26,493938","0,000000"
142,"0,005284","0,013432","0,002384","0,006752",0,"27,852615","0,000000"
143,"0,005321","0,012482","0,001749","0,005920",0,"25,473099","0,000000"
144,"0,005239","0,014282","0,004358","0,008918",0,"32,797571","0,000000"
145,"0,005250","0,011946","0,002278","0,006399",0,"25,873339","0,000000"
146,"0,005268","0,015696","0,001264","0,006100",0,"28,328889","0,000000"
147,"0,005308","0,011712","0,001586","0,006690",0,"25,296068","0,000000"
148,"0,005869","0,012110","0,003289","0,005642",0,"26,910338","0,000000"
149,"0,005694","0,014151","0,001558","0,006782",0,"28,185106","0,000000"
150,"0,007297","0,012287","0,002077","0,005277",0,"26,937443","0,000000"
151,"0,006204","0,016321","0,001583","0,005018",0,"29,125559","0,000000"
152,"0,005360","0,012848","0,002814","0,004956",0,"25,977823","0,000000"
153,"0,005307","0,016161","0,001754","0,005013",0,"28,235028","0,000000"
154,"0,005298","0,012697","0,002202","0,005400",0,"25,596912","0,000000"
