Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,Frames Per Second
0,"0,041228","0,025115","0,006003","0,031453",9,"103,799764","0,667040","2,681732","6,144524","6,412745",
0,"0,041228","0,025115","0,006003","0,031453",9,"103,799764","0,667040","2,681732","6,144524","6,412745",
1,"0,007208","0,027954","0,009018","0,008591",9,"52,770559","1,001961","6,956100","5,949497","5,795240",
1,"0,007208","0,027954","0,009018","0,008591",9,"52,770559","1,001961","6,956100","5,949497","5,795240",
2,"0,005250","0,020217","0,008293","0,009445",9,"43,204416","0,921431","3,508806","5,817175","4,366159",
2,"0,005250","0,020217","0,008293","0,009445",9,"43,204416","0,921431","3,508806","5,817175","4,366159",
3,"0,006981","0,020572","0,006614","0,008947",9,"43,113944","0,734868","2,439022","6,800413","4,778862",
3,"0,006981","0,020572","0,006614","0,008947",9,"43,113944","0,734868","2,439022","6,800413","4,778862",
4,"0,007280","0,022602","0,005800","0,017199",9,"52,881610","0,644485","2,843142","5,881786","6,140947",
4,"0,007280","0,022602","0,005800","0,017199",9,"52,881610","0,644485","2,843142","5,881786","6,140947",
5,"0,007363","0,021154","0,006319","0,010459",9,"45,294461","0,702062","2,382278","8,238554","4,048824",
5,"0,007363","0,021154","0,006319","0,010459",9,"45,294461","0,702062","2,382278","8,238554","4,048824",
6,"0,007933","0,022687","0,008840","0,007909",9,"47,369209","0,982218","2,422333","5,821228","3,853083",
6,"0,007933","0,022687","0,008840","0,007909",9,"47,369209","0,982218","2,422333","5,821228","3,853083",
7,"0,008569","0,019484","0,006719","0,007228",9,"42,000245","0,746588","2,617598","6,133795","4,543066",
7,"0,008569","0,019484","0,006719","0,007228",9,"42,000245","0,746588","2,617598","6,133795","4,543066",
8,"0,007083","0,020773","0,005861","0,016169",9,"49,885180","0,651195","2,520323","5,881786","5,549908",
8,"0,007083","0,020773","0,005861","0,016169",9,"49,885180","0,651195","2,520323","5,881786","5,549908",
9,"0,007076","0,020871","0,005700","0,007488",9,"41,135270","0,633362","2,278090","8,216619","4,280567",
9,"0,007076","0,020871","0,005700","0,007488",9,"41,135270","0,633362","2,278090","8,216619","4,280567",
10,"0,006947","0,021794","0,006486","0,013074",9,"48,301035","0,720613","2,192497","5,931139","6,611824",
10,"0,006947","0,021794","0,006486","0,013074",9,"48,301035","0,720613","2,192497","5,931139","6,611824",
11,"0,007282","0,020595","0,005611","0,011167",9,"44,655263","0,623491","2,746105","5,864143","3,888607",
11,"0,007282","0,020595","0,005611","0,011167",9,"44,655263","0,623491","2,746105","5,864143","3,888607",
12,"0,006498","0,021166","0,005829","0,009164",9,"42,656650","0,647678","2,353430","6,460190","5,276918",
12,"0,006498","0,021166","0,005829","0,009164",9,"42,656650","0,647678","2,353430","6,460190","5,276918",
13,"0,005597","0,022554","0,006034","0,006778",9,"40,962417","0,670485","4,222393","6,667376","4,528522",
13,"0,005597","0,022554","0,006034","0,006778",9,"40,962417","0,670485","4,222393","6,667376","4,528522",
14,"0,005423","0,020956","0,005393","0,008379",9,"40,150569","0,599194","3,223419","7,667065","3,772497",
14,"0,005423","0,020956","0,005393","0,008379",9,"40,150569","0,599194","3,223419","7,667065","3,772497",
15,"0,006566","0,021654","0,007550","0,010252",9,"46,021178","0,838885","2,540827","7,198572","3,853798",
15,"0,006566","0,021654","0,007550","0,010252",9,"46,021178","0,838885","2,540827","7,198572","3,853798",
16,"0,008713","0,022479","0,008539","0,011603",9,"51,334265","0,948797","2,607107","6,453276","4,082441",
16,"0,008713","0,022479","0,008539","0,011603",9,"51,334265","0,948797","2,607107","6,453276","4,082441",
17,"0,005651","0,018321","0,006847","0,016080",9,"46,898857","0,760758","2,197027","5,848169","4,475355",
17,"0,005651","0,018321","0,006847","0,016080",9,"46,898857","0,760758","2,197027","5,848169","4,475355",
18,"0,006226","0,019703","0,005930","0,008069",9,"39,927379","0,658897","2,432346","5,937576","4,308462",
18,"0,006226","0,019703","0,005930","0,008069",9,"39,927379","0,658897","2,432346","5,937576","4,308462",
19,"0,005410","0,023435","0,005498","0,016582",9,"50,924918","0,610857","2,564907","8,259535","4,219770",
19,"0,005410","0,023435","0,005498","0,016582",9,"50,924918","0,610857","2,564907","8,259535","4,219770",
20,"0,006433","0,019857","0,005796","0,009459",9,"41,544710","0,643976","2,169371","6,203890","5,694151",
20,"0,006433","0,019857","0,005796","0,009459",9,"41,544710","0,643976","2,169371","6,203890","5,694151",
21,"0,005383","0,027385","0,006402","0,007896",9,"47,066648","0,711278","2,119303","7,756710","3,964186",
21,"0,005383","0,027385","0,006402","0,007896",9,"47,066648","0,711278","2,119303","7,756710","3,964186",
22,"0,005388","0,021493","0,005505","0,009953",8,"42,339439","0,688146","3,419876","6,224155","3,625631",
22,"0,005388","0,021493","0,005505","0,009953",8,"42,339439","0,688146","3,419876","6,224155","3,625631",
23,"0,007976","0,019300","0,005757","0,007643",8,"40,676472","0,719657","2,222538","5,952358","4,129171",
23,"0,007976","0,019300","0,005757","0,007643",8,"40,676472","0,719657","2,222538","5,952358","4,129171",
24,"0,007065","0,019965","0,007983","0,008094",8,"43,106964","0,997894","3,100395","6,836891","4,302979",
24,"0,007065","0,019965","0,007983","0,008094",8,"43,106964","0,997894","3,100395","6,836891","4,302979",
25,"0,005604","0,020671","0,006077","0,007667",9,"40,019421","0,675183","2,562761","6,015539","5,863905",
25,"0,005604","0,020671","0,006077","0,007667",9,"40,019421","0,675183","2,562761","6,015539","5,863905",
26,"0,005483","0,021549","0,005265","0,007233",9,"39,530191","0,585006","2,427340","6,120443","3,948689",
26,"0,005483","0,021549","0,005265","0,007233",9,"39,530191","0,585006","2,427340","6,120443","3,948689",
27,"0,006928","0,018161","0,006593","0,008125",9,"39,807081","0,732557","2,417326","5,939245","3,728628",
27,"0,006928","0,018161","0,006593","0,008125",9,"39,807081","0,732557","2,417326","5,939245","3,728628",
28,"0,005769","0,020770","0,005432","0,008731",9,"40,701625","0,603503","2,667189","6,937027","4,581213",
28,"0,005769","0,020770","0,005432","0,008731",9,"40,701625","0,603503","2,667189","6,937027","4,581213",
29,"0,005354","0,022030","0,006816","0,007606",9,"41,805885","0,757316","2,307892","7,954836","4,561424",
29,"0,005354","0,022030","0,006816","0,007606",9,"41,805885","0,757316","2,307892","7,954836","4,561424",
30,"0,006702","0,020170","0,005706","0,007567",9,"40,145959","0,634023","2,383947","6,033421","5,966902",
30,"0,006702","0,020170","0,005706","0,007567",9,"40,145959","0,634023","2,383947","6,033421","5,966902",
31,"0,005331","0,021706","0,005908","0,006698",9,"39,643032","0,656429","2,578735","6,256580","4,245520",
31,"0,005331","0,021706","0,005908","0,006698",9,"39,643032","0,656429","2,578735","6,256580","4,245520",
32,"0,006564","0,018752","0,005582","0,008630",9,"39,527982","0,620198","2,328873","6,187201","3,742218",
32,"0,006564","0,018752","0,005582","0,008630",9,"39,527982","0,620198","2,328873","6,187201","3,742218",
33,"0,005407","0,023285","0,005443","0,006825",9,"40,959598","0,604833","3,697634","8,053064","4,334450",
33,"0,005407","0,023285","0,005443","0,006825",9,"40,959598","0,604833","3,697634","8,053064","4,334450",
34,"0,008067","0,021825","0,005587","0,006535",9,"42,014284","0,620810","2,336979","7,092953","5,515337",
34,"0,008067","0,021825","0,005587","0,006535",9,"42,014284","0,620810","2,336979","7,092953","5,515337",
35,"0,005825","0,022835","0,006191","0,008188",9,"43,037608","0,687838","2,505541","6,221771","3,835678",
35,"0,005825","0,022835","0,006191","0,008188",9,"43,037608","0,687838","2,505541","6,221771","3,835678",
36,"0,005317","0,018198","0,005119","0,007691",9,"36,323852","0,568770","2,762318","6,123543","3,765821",
36,"0,005317","0,018198","0,005119","0,007691",9,"36,323852","0,568770","2,762318","6,123543","3,765821",
37,"0,005413","0,019979","0,007308","0,008934",9,"41,635020","0,812020","3,243685","5,918980","4,510641",
37,"0,005413","0,019979","0,007308","0,008934",9,"41,635020","0,812020","3,243685","5,918980","4,510641",
38,"0,005502","0,020797","0,005261","0,008196",9,"39,755328","0,584526","2,306461","7,469654","4,685640",
38,"0,005502","0,020797","0,005261","0,008196",9,"39,755328","0,584526","2,306461","7,469654","4,685640",
39,"0,005675","0,024579","0,005709","0,007226",9,"43,188534","0,634322","4,829168","8,439779","4,867077",
39,"0,005675","0,024579","0,005709","0,007226",9,"43,188534","0,634322","4,829168","8,439779","4,867077",
40,"0,005434","0,020683","0,005302","0,009276",9,"40,695029","0,589123","2,759695","6,040573","5,807161",
40,"0,005434","0,020683","0,005302","0,009276",9,"40,695029","0,589123","2,759695","6,040573","5,807161",
41,"0,005286","0,020613","0,005120","0,009924",9,"40,943787","0,568901","2,335548","5,894184","3,893614",
41,"0,005286","0,020613","0,005120","0,009924",9,"40,943787","0,568901","2,335548","5,894184","3,893614",
42,"0,005395","0,019627","0,005163","0,009853",9,"40,038840","0,573712","2,533674","7,036448","3,668785",
42,"0,005395","0,019627","0,005163","0,009853",9,"40,038840","0,573712","2,533674","7,036448","3,668785",
43,"0,005280","0,020451","0,006453","0,009600",9,"41,783383","0,716978","2,617598","5,878210","3,653288",
