Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
0,"0,041622","0,015112","0,000893","0,028395",0,0,0,0,"4,320383","5,985975","2,122641"
1,"0,006837","0,019065","0,001376","0,009532",0,0,0,0,"7,320642","5,699396","2,805233"
2,"0,005477","0,014199","0,001341","0,007203",0,0,0,0,"3,039598","6,129265","2,473831"
3,"0,007133","0,01397","0,00067","0,006753",0,0,0,0,"2,277851","7,164955","1,973391"
4,"0,00697","0,01405","0,000599","0,009985",0,0,0,0,"2,258539","7,252693","2,061129"
5,"0,006818","0,015613","0,000577","0,013699",0,0,0,0,"4,243612","6,991863","1,935005"
6,"0,006917","0,014132","0,000587","0,006396",0,0,0,0,"2,476215","7,308006","1,8785"
7,"0,006837","0,014706","0,000628","0,011825",0,0,0,0,"2,083302","7,579803","2,55084"
8,"0,006874","0,01443","0,0006","0,012029",0,0,0,0,"2,153397","7,448196","2,357483"
9,"0,00679","0,013345","0,000629","0,009928",0,0,0,0,"2,707481","6,021261","2,006531"
10,"0,006851","0,01394","0,00061","0,009556",0,0,0,0,"2,189875","7,215023","1,993418"
11,"0,005577","0,015217","0,000669","0,005421",0,0,0,0,"2,441406","7,265091","1,951694"
12,"0,006378","0,014167","0,000649","0,005611",0,0,0,0,"2,318859","7,142067","1,987457"
13,"0,006574","0,01267","0,000634","0,009881",0,0,0,0,"2,466917","5,779743","2,046585"
14,"0,005555","0,015345","0,00062","0,005361",0,0,0,0,"2,362967","6,779909","2,895594"
15,"0,005502","0,014852","0,000548","0,010003",0,0,0,0,"2,297401","7,182598","2,727509"
16,"0,00546","0,012287","0,000581","0,009539",0,0,0,0,"2,235174","5,775928","1,968145"
17,"0,005623","0,013709","0,000584","0,005859",0,0,0,0,"2,224922","7,096767","1,935005"
18,"0,005516","0,013662","0,001567","0,010083",0,0,0,0,"2,37608","5,808353","2,946377"
19,"0,007425","0,013647","0,000652","0,010573",0,0,0,0,"2,21467","5,908489","2,621412"
20,"0,005402","0,012955","0,000616","0,005113",0,0,0,0,"2,109528","5,898952","2,115726"
21,"0,005507","0,013676","0,001408","0,010182",0,0,0,0,"2,165794","5,870819","3,083944"
22,"0,006688","0,014338","0,00056","0,010615",0,0,0,0,"2,763987","6,715536","2,461672"
23,"0,006152","0,013177","0,000596","0,004695",0,0,0,0,"2,300978","5,785704","2,65193"
24,"0,005305","0,012352","0,000538","0,005846",0,0,0,0,"2,149105","5,819559","1,825333"
25,"0,005384","0,01304","0,000676","0,004991",0,0,0,0,"2,174377","5,764961","2,537489"
26,"0,005312","0,014456","0,000562","0,003615",0,0,0,0,"2,212286","7,087231","2,730846"
27,"0,005281","0,012979","0,000667","0,003538",0,0,0,0,"2,178431","6,197691","2,210617"
28,"0,005578","0,013624","0,001338","0,004134",0,0,0,0,"2,251387","7,052422","1,850367"
29,"0,005302","0,012972","0,000585","0,003373",0,0,0,0,"2,114534","5,815983","2,506018"
30,"0,005374","0,013948","0,001637","0,00478",0,0,0,0,"2,307892","7,249594","1,923084"
31,"0,005452","0,014542","0,000707","0,005439",0,0,0,0,"2,13933","7,153511","2,645254"
32,"0,00529","0,013472","0,000609","0,005196",0,0,0,0,"2,055168","6,537437","2,003431"
33,"0,005377","0,013082","0,00134","0,003458",0,0,0,0,"2,158403","5,938768","2,580643"
34,"0,005559","0,013589","0,000555","0,003859",0,0,0,0,"2,175093","7,004023","2,066135"
35,"0,005284","0,013469","0,000561","0,003764",0,0,0,0,"2,171278","6,919622","2,059221"
36,"0,005343","0,013645","0,000551","0,007107",0,0,0,0,"2,241135","7,029295","2,024174"
37,"0,005579","0,013431","0,000532","0,006137",0,0,0,0,"2,235413","6,156445","2,472162"
38,"0,005281","0,013584","0,001539","0,004252",0,0,0,0,"2,198458","7,103682","1,928806"
39,"0,005274","0,013574","0,000633","0,004444",0,0,0,0,"2,323627","6,997347","1,926899"
40,"0,005366","0,014182","0,000541","0,003632",0,0,0,0,"2,76947","7,06315","1,865625"
41,"0,005324","0,013962","0,001501","0,003418",0,0,0,0,"2,249718","7,171631","1,882553"
42,"0,00611","0,01345","0,000571","0,004545",0,0,0,0,"2,250195","6,794691","1,809835"
43,"0,005755","0,012778","0,001421","0,003618",0,0,0,0,"2,338171","6,077528","1,93572"
44,"0,00531","0,014963","0,000717","0,004875",0,0,0,0,"2,34127","7,894516","1,959085"
45,"0,005323","0,013658","0,001567","0,004821",0,0,0,0,"2,254725","6,275654","2,676249"
46,"0,005292","0,013122","0,000672","0,004455",0,0,0,0,"2,289295","6,16765","2,243042"
47,"0,005321","0,012425","0,000614","0,003662",0,0,0,0,"2,410412","5,778074","1,904964"
48,"0,005341","0,012371","0,001259","0,007342",0,0,0,0,"2,347231","5,828619","1,909018"
49,"0,005306","0,015339","0,000654","0,005332",0,0,0,0,"2,53129","8,390903","1,94478"
50,"0,005656","0,014133","0,000679","0,007048",0,0,0,0,"2,120018","7,111311","2,232552"
51,"0,005305","0,012582","0,000618","0,003839",0,0,0,0,"2,228975","5,831718","1,87254"
52,"0,005981","0,014648","0,000645","0,003621",0,0,0,0,"2,186537","7,643461","2,070904"
53,"0,005415","0,015027","0,000638","0,004198",0,0,0,0,"2,246618","8,289099","1,900911"
54,"0,005441","0,014815","0,001573","0,003676",0,0,0,0,"2,172709","6,080389","4,052401"
55,"0,005839","0,012934","0,000667","0,003454",0,0,0,0,"2,333879","6,00791","2,016783"
56,"0,006929","0,014033","0,000999","0,004694",0,0,0,0,"2,420187","6,834745","2,172947"
57,"0,005785","0,014622","0,000641","0,00349",0,0,0,0,"2,200842","6,731033","2,115011"
58,"0,005637","0,014806","0,000577","0,004155",0,0,0,0,"2,652645","7,603645","2,230883"
59,"0,005525","0,016335","0,00056","0,003486",0,0,0,0,"4,140377","7,134914","2,120018"
60,"0,005419","0,014705","0,00147","0,005724",0,0,0,0,"2,647161","7,052422","2,194881"
61,"0,005333","0,014129","0,000614","0,005175",0,0,0,0,"2,789497","6,28686","2,074242"
62,"0,00538","0,014159","0,000947","0,003791",0,0,0,0,"2,263784","7,480383","2,077579"
63,"0,005436","0,01478","0,000619","0,004855",0,0,0,0,"3,599882","6,32596","2,119541"
64,"0,005698","0,018194","0,000564","0,004053",0,0,0,0,"2,265692","9,680986","1,985312"
65,"0,005432","0,014115","0,000595","0,003505",0,0,0,0,"3,424644","5,845308","2,105474"
66,"0,00557","0,012771","0,002289","0,004158",0,0,0,0,"2,381563","5,940199","1,937151"
67,"0,006154","0,012783","0,000665","0,006227",0,0,0,0,"2,232313","5,806923","2,351284"
68,"0,005455","0,013169","0,001526","0,003702",0,0,0,0,"2,571344","5,848646","2,164364"
69,"0,005465","0,014794","0,000612","0,003401",0,0,0,0,"2,387285","5,898237","3,138781"
70,"0,00542","0,012792","0,001771","0,005131",0,0,0,0,"2,536297","5,824327","1,947641"
71,"0,005623","0,012397","0,000771","0,003638",0,0,0,0,"2,211809","5,82099","1,973867"
72,"0,00539","0,014231","0,000596","0,006153",0,0,0,0,"3,514528","6,15716","2,164364"
73,"0,005586","0,015699","0,000575","0,006736",0,0,0,0,"2,46644","8,73065","2,057076"
74,"0,005685","0,015677","0,000595","0,003515",0,0,0,0,"2,866983","8,412838","1,842499"
75,"0,005389","0,012678","0,000561","0,003637",0,0,0,0,"2,307653","5,758286","2,349615"
76,"0,006542","0,013628","0,001659","0,004528",0,0,0,0,"2,273321","6,619692","1,955986"
77,"0,005428","0,015636","0,000606","0,004303",0,0,0,0,"2,130985","6,96969","3,056049"
78,"0,005318","0,013908","0,001377","0,003964",0,0,0,0,"2,573013","6,518126","2,186775"
79,"0,006967","0,017728","0,00064","0,004928",0,0,0,0,"2,292395","6,826401","4,998684"
80,"0,00754","0,01509","0,00099","0,004369",0,0,0,0,"2,399206","7,357359","2,296209"
81,"0,005402","0,013907","0,001671","0,003468",0,0,0,0,"2,614975","6,392956","2,072811"
82,"0,005293","0,017439","0,000662","0,004396",0,0,0,0,"2,552509","7,975578","2,379179"
83,"0,013347","0,01753","0,001522","0,006196",0,0,0,0,"2,422571","8,790016","3,408909"
84,"0,010832","0,013645","0,000588","0,005663",0,0,0,0,"2,177","6,550789","2,540588"
85,"0,006399","0,014552","0,000672","0,006354",0,0,0,0,"2,232313","7,863045","2,047777"
86,"0,005318","0,015016","0,001585","0,004274",0,0,0,0,"2,880573","7,598639","1,955509"
87,"0,00539","0,015884","0,000689","0,00327",0,0,0,0,"2,482891","8,945227","2,068758"
88,"0,005344","0,013693","0,00054","0,004327",0,0,0,0,"2,102375","7,170916","1,98102"
89,"0,005449","0,013863","0,000583","0,005534",0,0,0,0,"2,117872","7,445097","1,883268"
90,"0,00544","0,013969","0,00054","0,004377",0,0,0,0,"2,547741","6,981134","1,957655"
91,"0,005873","0,013499","0,001707","0,003645",0,0,0,0,"2,136469","7,107019","1,937389"
92,"0,005495","0,014158","0,001495","0,005231",0,0,0,0,"2,271652","7,54571","1,965761"
