Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
0,0,"0,000000",0,"0,028395",0,"0,000000",0,0,0,0,0
1,0,"0,000000",0,"0,009532",0,"0,000000",0,0,0,0,0
2,0,"0,000000",0,"0,007203",0,"0,000000",0,0,0,0,0
3,0,"0,000000",0,"0,006753",0,"0,000000",0,0,0,0,0
4,0,"0,000000",0,"0,009985",0,"0,000000",0,0,0,0,0
5,0,"0,000000",0,"0,013699",0,"0,000000",0,0,0,0,0
6,0,"0,000000",0,"0,006396",0,"0,000000",0,0,0,0,0
7,0,"0,000000",0,"0,011825",0,"0,000000",0,0,0,0,0
8,0,"0,000000",0,"0,012029",0,"0,000000",0,0,0,0,0
9,0,"0,000000",0,"0,009928",0,"0,000000",0,0,0,0,0
10,0,"0,000000",0,"0,009556",0,"0,000000",0,0,0,0,0
11,0,"0,000000",0,"0,005421",0,"0,000000",0,0,0,0,0
12,0,"0,000000",0,"0,005611",0,"0,000000",0,0,0,0,0
13,0,"0,000000",0,"0,009881",0,"0,000000",0,0,0,0,0
14,0,"0,000000",0,"0,005361",0,"0,000000",0,0,0,0,0
15,0,"0,000000",0,"0,010003",0,"0,000000",0,0,0,0,0
16,0,"0,000000",0,"0,009539",0,"0,000000",0,0,0,0,0
17,0,"0,000000",0,"0,005859",0,"0,000000",0,0,0,0,0
18,0,"0,000000",0,"0,010083",0,"0,000000",0,0,0,0,0
19,0,"0,000000",0,"0,010573",0,"0,000000",0,0,0,0,0
20,0,"0,000000",0,"0,005113",0,"0,000000",0,0,0,0,0
21,0,"0,000000",0,"0,010182",0,"0,000000",0,0,0,0,0
22,0,"0,000000",0,"0,010615",0,"0,000000",0,0,0,0,0
23,0,"0,000000",0,"0,004695",0,"0,000000",0,0,0,0,0
24,0,"0,000000",0,"0,005846",0,"0,000000",0,0,0,0,0
25,0,"0,000000",0,"0,004991",0,"0,000000",0,0,0,0,0
26,0,"0,000000",0,"0,003615",0,"0,000000",0,0,0,0,0
27,0,"0,000000",0,"0,003538",0,"0,000000",0,0,0,0,0
28,0,"0,000000",0,"0,004134",0,"0,000000",0,0,0,0,0
29,0,"0,000000",0,"0,003373",0,"0,000000",0,0,0,0,0
30,0,"0,000000",0,"0,004780",0,"0,000000",0,0,0,0,0
31,0,"0,000000",0,"0,005439",0,"0,000000",0,0,0,0,0
32,0,"0,000000",0,"0,005196",0,"0,000000",0,0,0,0,0
33,0,"0,000000",0,"0,003458",0,"0,000000",0,0,0,0,0
34,0,"0,000000",0,"0,003859",0,"0,000000",0,0,0,0,0
35,0,"0,000000",0,"0,003764",0,"0,000000",0,0,0,0,0
36,0,"0,000000",0,"0,007107",0,"0,000000",0,0,0,0,0
37,0,"0,000000",0,"0,006137",0,"0,000000",0,0,0,0,0
38,0,"0,000000",0,"0,004252",0,"0,000000",0,0,0,0,0
39,0,"0,000000",0,"0,004444",0,"0,000000",0,0,0,0,0
40,0,"0,000000",0,"0,003632",0,"0,000000",0,0,0,0,0
41,0,"0,000000",0,"0,003418",0,"0,000000",0,0,0,0,0
42,0,"0,000000",0,"0,004545",0,"0,000000",0,0,0,0,0
43,0,"0,000000",0,"0,003618",0,"0,000000",0,0,0,0,0
44,0,"0,000000",0,"0,004875",0,"0,000000",0,0,0,0,0
45,0,"0,000000",0,"0,004821",0,"0,000000",0,0,0,0,0
46,0,"0,000000",0,"0,004455",0,"0,000000",0,0,0,0,0
47,0,"0,000000",0,"0,003662",0,"0,000000",0,0,0,0,0
48,0,"0,000000",0,"0,007342",0,"0,000000",0,0,0,0,0
49,0,"0,000000",0,"0,005332",0,"0,000000",0,0,0,0,0
50,0,"0,000000",0,"0,007048",0,"0,000000",0,0,0,0,0
51,0,"0,000000",0,"0,003839",0,"0,000000",0,0,0,0,0
52,0,"0,000000",0,"0,003621",0,"0,000000",0,0,0,0,0
53,0,"0,000000",0,"0,004198",0,"0,000000",0,0,0,0,0
54,0,"0,000000",0,"0,003676",0,"0,000000",0,0,0,0,0
55,0,"0,000000",0,"0,003454",0,"0,000000",0,0,0,0,0
56,0,"0,000000",0,"0,004694",0,"0,000000",0,0,0,0,0
57,0,"0,000000",0,"0,003490",0,"0,000000",0,0,0,0,0
58,0,"0,000000",0,"0,004155",0,"0,000000",0,0,0,0,0
59,0,"0,000000",0,"0,003486",0,"0,000000",0,0,0,0,0
60,0,"0,000000",0,"0,005724",0,"0,000000",0,0,0,0,0
61,0,"0,000000",0,"0,005175",0,"0,000000",0,0,0,0,0
62,0,"0,000000",0,"0,003791",0,"0,000000",0,0,0,0,0
63,0,"0,000000",0,"0,004855",0,"0,000000",0,0,0,0,0
64,0,"0,000000",0,"0,004053",0,"0,000000",0,0,0,0,0
65,0,"0,000000",0,"0,003505",0,"0,000000",0,0,0,0,0
66,0,"0,000000",0,"0,004158",0,"0,000000",0,0,0,0,0
67,0,"0,000000",0,"0,006227",0,"0,000000",0,0,0,0,0
68,0,"0,000000",0,"0,003702",0,"0,000000",0,0,0,0,0
69,0,"0,000000",0,"0,003401",0,"0,000000",0,0,0,0,0
70,0,"0,000000",0,"0,005131",0,"0,000000",0,0,0,0,0
71,0,"0,000000",0,"0,003638",0,"0,000000",0,0,0,0,0
72,0,"0,000000",0,"0,006153",0,"0,000000",0,0,0,0,0
73,0,"0,000000",0,"0,006736",0,"0,000000",0,0,0,0,0
74,0,"0,000000",0,"0,003515",0,"0,000000",0,0,0,0,0
75,0,"0,000000",0,"0,003637",0,"0,000000",0,0,0,0,0
76,0,"0,000000",0,"0,004528",0,"0,000000",0,0,0,0,0
77,0,"0,000000",0,"0,004303",0,"0,000000",0,0,0,0,0
78,0,"0,000000",0,"0,003964",0,"0,000000",0,0,0,0,0
79,0,"0,000000",0,"0,004928",0,"0,000000",0,0,0,0,0
80,0,"0,000000",0,"0,004369",0,"0,000000",0,0,0,0,0
81,0,"0,000000",0,"0,003468",0,"0,000000",0,0,0,0,0
82,0,"0,000000",0,"0,004396",0,"0,000000",0,0,0,0,0
83,0,"0,000000",0,"0,006196",0,"0,000000",0,0,0,0,0
84,0,"0,000000",0,"0,005663",0,"0,000000",0,0,0,0,0
85,0,"0,000000",0,"0,006354",0,"0,000000",0,0,0,0,0
86,0,"0,000000",0,"0,004274",0,"0,000000",0,0,0,0,0
87,0,"0,000000",0,"0,003270",0,"0,000000",0,0,0,0,0
88,0,"0,000000",0,"0,004327",0,"0,000000",0,0,0,0,0
89,0,"0,000000",0,"0,005534",0,"0,000000",0,0,0,0,0
90,0,"0,000000",0,"0,004377",0,"0,000000",0,0,0,0,0
91,0,"0,000000",0,"0,003645",0,"0,000000",0,0,0,0,0
92,0,"0,000000",0,"0,005231",0,"0,000000",0,0,0,0,0
93,0,"0,000000",0,"0,005662",0,"0,000000",0,0,0,0,0
94,0,"0,000000",0,"0,004204",0,"0,000000",0,0,0,0,0
95,0,"0,000000",0,"0,003590",0,"0,000000",0,0,0,0,0
96,0,"0,000000",0,"0,006380",0,"0,000000",0,0,0,0,0
