epoca,train_class_loss_yolo11_n,val_class_loss_yolo11_n,train_class_loss_yolo11_s,val_class_loss_yolo11_s,train_class_loss_yolo11_m,val_class_loss_yolo11_m,train_class_loss_yolo11_l,val_class_loss_yolo11_l,train_class_loss_yolov5_nu,val_class_loss_yolov5_nu,train_class_loss_yolov5_mu,val_class_loss_yolov5_mu,train_class_loss_yolov8_n,val_class_loss_yolov8_n,train_class_loss_yolov8_s,val_class_loss_yolov8_s
1,3.72515,4.02098,2.56769,1.60948,2.37937,1.92884,2.19883,1.61051,3.70883,3.65895,1.97113,1.57258,3.56767,3.7315,2.92333,1.45676
2,2.32346,3.56685,1.00387,1.00332,0.84744,1.26487,0.86299,0.86214,2.11954,2.69089,0.87957,0.86965,1.86284,2.95896,1.00798,0.83114
3,1.58284,2.64928,0.79152,0.69771,0.69585,0.7472,0.68504,0.61014,1.51664,1.85169,0.72387,0.57735,1.45731,2.00847,0.76039,0.58946
4,1.21941,1.77694,0.6696,0.56738,0.59665,0.62707,0.62843,0.6023,1.20458,1.51645,0.63805,0.57399,1.18935,1.34293,0.65293,0.55856
5,1.06977,1.05071,0.60304,0.53698,0.55171,0.53935,0.57196,0.61633,1.06815,1.14826,0.55859,0.51259,1.04653,1.01571,0.57994,0.54377
6,0.97611,0.86603,0.57069,0.502,0.51871,0.49783,0.54348,0.51779,0.99847,0.93406,0.52777,0.51134,0.97815,0.86592,0.53911,0.48577
7,0.91503,0.77815,0.5428,0.49591,0.52157,0.49573,0.51798,0.50417,0.91502,0.84091,0.51184,0.47867,0.91332,0.75964,0.53159,0.48354
8,0.88924,0.77107,0.52601,0.4597,0.51256,0.46537,0.5084,0.47611,0.8746,0.75325,0.50005,0.45383,0.84712,0.6763,0.51801,0.46689
9,0.81348,0.69381,0.50661,0.47178,0.48243,0.45398,0.47395,0.46191,0.8191,0.68473,0.48633,0.47582,0.7982,0.69763,0.49356,0.48831
10,0.79969,0.675,0.49946,0.45923,0.47241,0.48088,0.47842,0.43868,0.79749,0.6576,0.49056,0.44977,0.77421,0.68751,0.49151,0.4355
11,0.77005,0.62863,0.48646,0.46074,0.47465,0.47612,0.45537,0.44058,0.76531,0.64835,0.4711,0.45699,0.74902,0.64158,0.47675,0.45137
12,0.73524,0.6071,0.47504,0.4277,0.45362,0.41192,0.45867,0.42609,0.73438,0.63411,0.4663,0.44064,0.71038,0.60198,0.467,0.42424
13,0.71339,0.61881,0.44566,0.42307,0.42123,0.4155,0.4295,0.41644,0.70555,0.63335,0.43576,0.43435,0.67562,0.59774,0.44254,0.46186
14,0.7002,0.61294,0.44588,0.41015,0.433,0.42993,0.43381,0.41737,0.6947,0.60341,0.42787,0.43256,0.66216,0.59058,0.43863,0.42591
15,0.67821,0.63675,0.43325,0.43546,0.41836,0.4323,0.42904,0.41376,0.6659,0.58734,0.41845,0.42109,0.63033,0.58265,0.4227,0.43599
16,0.66855,0.59057,0.44088,0.41523,0.4159,0.4204,0.41994,0.39781,0.66123,0.60607,0.4147,0.40303,0.63156,0.60219,0.42098,0.40681
17,0.6755,0.58118,0.43309,0.42337,0.42245,0.39941,0.42407,0.40631,0.66196,0.59472,0.40621,0.39508,0.63293,0.57449,0.41537,0.39869
18,0.65388,0.54938,0.41863,0.41773,0.40814,0.40526,0.40515,0.39664,0.645,0.55468,0.39865,0.38856,0.61446,0.55583,0.40672,0.39967
19,0.63263,0.55715,0.41738,0.40458,0.39724,0.39913,0.39679,0.38682,0.62116,0.55303,0.3925,0.38646,0.59663,0.52547,0.39856,0.38497
20,0.63206,0.54541,0.41373,0.40564,0.39519,0.38959,0.3895,0.39035,0.62338,0.54938,0.39157,0.39813,0.5957,0.52314,0.39598,0.38173
21,0.66553,0.55656,0.4021,0.39574,0.38007,0.39092,0.37938,0.39674,0.67087,0.54476,0.37802,0.40077,0.62697,0.52873,0.38541,0.3914
22,0.63778,0.53499,0.38861,0.39776,0.37077,0.38752,0.37711,0.39819,0.63387,0.5631,0.36777,0.40589,0.60355,0.51857,0.36992,0.39497
23,0.63395,0.5328,0.38718,0.40425,0.36865,0.39182,0.37359,0.38244,0.62283,0.53564,0.36955,0.38199,0.59037,0.53144,0.37256,0.39045
24,0.62342,0.51766,0.38169,0.39487,0.37342,0.38794,0.3631,0.37255,0.62275,0.52669,0.36174,0.3995,0.58349,0.50197,0.36224,0.39075
25,0.61136,0.51046,0.36717,0.38609,0.35706,0.37202,0.35595,0.3745,0.60557,0.51723,0.34818,0.37976,0.57616,0.48231,0.35543,0.3873
26,0.61928,0.54712,0.37682,0.38055,0.35186,0.37511,0.35709,0.36865,0.61205,0.55145,0.35362,0.37226,0.57536,0.49374,0.36418,0.39092
27,0.59454,0.49965,0.35712,0.37453,0.34335,0.37292,0.34058,0.36693,0.59378,0.5183,0.3383,0.37039,0.55418,0.49007,0.34809,0.37486
28,0.59155,0.50743,0.35339,0.36895,0.33966,0.36543,0.33686,0.35812,0.58172,0.50647,0.33603,0.3658,0.5538,0.47901,0.34346,0.37191
29,0.59118,0.50421,0.35124,0.36943,0.3358,0.36148,0.33483,0.34869,0.58194,0.49891,0.33504,0.35581,0.55217,0.4754,0.33585,0.36869
30,0.57388,0.49951,0.34058,0.36846,0.31995,0.36092,0.31885,0.34424,0.56701,0.50572,0.32242,0.35319,0.53815,0.47201,0.32999,0.36487
