frame_number,video 1,video 2,video 3,video 4
0,18,45,87,45
1,17,45,87,45
2,17,45,87,45
3,18,45,88,45
4,18,45,86,45
5,18,45,86,45
6,18,45,88,45
7,16,45,88,45
8,16,45,87,45
9,16,45,86,45
10,17,45,87,45
11,18,45,87,45
12,17,45,88,45
13,17,45,88,45
14,18,44,88,44
15,18,45,88,45
16,18,45,86,45
17,18,45,87,45
18,17,45,87,45
19,17,45,88,45
20,15,45,89,45
21,16,45,88,45
22,17,44,89,44
23,17,44,89,44
24,17,44,88,44
25,17,43,89,43
26,19,44,89,44
27,19,44,89,44
28,19,44,89,44
29,19,45,89,45
30,19,45,89,45
31,18,45,88,45
32,17,45,88,45
33,17,45,88,45
34,17,45,89,45
35,16,44,89,44
36,19,45,89,45
37,18,45,89,45
38,17,44,89,44
39,17,45,89,45
40,17,45,89,45
41,17,45,89,45
42,16,45,89,45
43,17,45,89,45
44,17,45,89,45
45,18,45,89,45
46,15,45,89,45
47,16,45,89,45
48,17,45,89,45
49,16,45,89,45
50,16,45,89,45
51,16,45,88,45
52,16,45,88,45
53,17,45,88,45
54,17,45,88,45
55,17,45,89,45
56,17,45,89,45
57,18,45,89,45
58,17,45,89,45
59,17,45,89,45
60,18,45,89,45
61,18,45,89,45
62,18,45,89,45
63,18,45,90,45
64,18,45,90,45
65,18,45,90,45
66,18,45,90,45
67,18,45,90,45
68,18,45,90,45
69,18,45,90,45
70,18,45,89,45
71,18,45,89,45
72,18,45,89,45
73,18,45,89,45
74,18,45,89,45
75,18,45,88,45
76,18,45,89,45
77,18,45,89,45
78,18,45,90,45
79,17,45,89,45
80,17,45,89,45
81,18,45,89,45
82,18,44,90,44
83,16,45,90,45
84,16,45,89,45
85,16,45,89,45
86,16,45,90,45
87,16,45,90,45
88,16,44,88,44
89,16,44,89,44
90,17,44,89,44
91,16,44,89,44
92,16,44,88,44
93,16,44,88,44
94,16,44,88,44
95,16,44,89,44
96,16,44,88,44
97,16,44,89,44
98,16,44,89,44
99,16,45,89,45
100,16,45,89,45
101,16,45,89,45
102,16,45,89,45
103,17,45,89,45
104,16,45,89,45
105,16,45,89,45
106,16,45,89,45
107,16,45,89,45
108,16,45,89,45
109,16,45,89,45
110,17,45,88,45
111,17,45,89,45
112,16,45,88,45
113,16,45,89,45
114,17,45,89,45
115,17,45,89,45
116,17,45,89,45
117,18,45,89,45
118,16,45,89,45
119,16,45,89,45
120,16,45,89,45
121,17,45,89,45
122,17,45,89,45
123,16,45,89,45
124,17,45,89,45
125,17,45,89,45
126,17,45,88,45
127,17,45,89,45
128,17,45,91,45
129,15,45,89,45
130,16,45,87,45
131,17,45,88,45
132,17,45,90,45
133,17,45,91,45
134,18,45,91,45
135,17,45,86,45
136,18,45,88,45
137,17,45,89,45
138,18,45,90,45
139,17,45,90,45
140,17,45,89,45
141,16,45,89,45
142,18,45,90,45
143,16,45,90,45
144,17,45,90,45
145,17,45,90,45
146,16,45,89,45
147,16,45,90,45
148,16,45,88,45
149,17,44,89,44
150,18,45,89,45
151,18,45,88,45
152,16,45,86,45
153,17,45,86,45
154,17,45,87,45
155,17,45,88,45
156,17,45,86,45
157,17,44,86,44
158,17,44,86,44
159,17,44,84,44
160,17,44,80,44
161,17,44,84,44
162,17,44,78,44
163,17,44,78,44
164,17,44,78,44
165,17,44,81,44
166,17,43,80,43
167,17,43,79,43
168,18,44,84,44
169,18,44,84,44
170,18,44,80,44
171,16,44,84,44
172,16,42,83,42
173,17,42,86,42
174,17,44,85,44
175,16,42,86,42
176,16,42,86,42
177,16,42,89,42
178,16,43,88,43
179,16,43,88,43
180,16,43,88,43
181,16,43,87,43
182,16,43,87,43
183,16,43,88,43
184,16,43,87,43
185,16,43,88,43
186,16,43,86,43
187,16,43,86,43
188,16,44,88,44
189,17,42,90,42
190,17,42,90,42
191,18,44,89,44
192,18,43,89,43
193,18,44,91,44
194,16,42,92,42
195,18,42,87,42
196,17,42,88,42
197,19,42,88,42
198,19,42,88,42
199,19,42,88,42
200,17,42,87,42
201,18,42,91,42
202,19,42,91,42
203,19,42,90,42
204,18,42,90,42
205,16,42,90,42
206,15,41,89,41
207,16,42,91,42
208,15,42,88,42
209,15,41,89,41
210,16,42,89,42
211,16,42,90,42
212,15,43,88,43
213,15,42,86,42
214,15,42,87,42
215,15,42,86,42
216,16,42,84,42
217,15,42,84,42
218,16,42,85,42
219,16,43,85,43
220,16,41,83,41
221,16,43,84,43
222,18,43,84,43
223,16,43,82,43
224,17,42,85,42
225,16,45,84,45
226,16,43,83,43
227,16,42,84,42
228,17,43,84,43
229,17,42,84,42
230,17,43,83,43
231,18,41,83,41
232,18,41,84,41
233,18,42,85,42
234,15,40,86,40
235,15,43,86,43
236,15,41,84,41
237,16,43,84,43
238,16,42,85,42
239,16,41,84,41
240,16,42,82,42
