frame_number,fps
0,0
17,17
51,34
83,32
115,32
147,32
178,31
208,30
239,31
268,29
304,36
337,33
371,34
403,32
435,32
465,30
495,30
525,30
556,31
588,32
619,31
650,31
681,31
712,31
744,32
775,31
811,36
842,31
873,31
905,32
935,30
964,29
994,30
1026,32
1056,30
1087,31
1118,31
1148,30
1179,31
1211,32
1246,35
1282,36
1314,32
1345,31
1377,32
1406,29
1435,29
1467,32
1499,32
1530,31
1560,30
1591,31
1622,31
1654,32
1686,32
1720,34
1751,31
1782,31
1814,32
1844,30
1873,29
1902,29
1933,31
1965,32
1995,30
2025,30
2055,30
2085,30
2116,31
2147,31
2178,31
2211,33
2241,30
2273,32
2303,30
2331,28
2359,28
2389,30
