objects_count,tracking_stage
18,0.007032
17,0.009271
17,0.007874
18,0.011558
18.000,0.007
18.000,0.008
18.000,0.010
16.000,0.007
16,0.007803
16,0.007995
17,0.007867
18,0.00832
17,0.009687
17,0.008245
18,0.0088
18,0.008992
18,0.007286
18,0.008236
17,0.008369
17,0.007482
15,0.007944
16,0.007396
17,0.00765
17,0.007607
17,0.008389
17,0.007925
19,0.009882
19,0.008129
19,0.007997
19,0.007558
19,0.007621
18,0.008702
17,0.008005
17,0.008858
17,0.007992
16,0.008152
19,0.010928
18,0.009133
17,0.007754
17,0.009374
17,0.0077
17,0.007706
16,0.008008
17,0.007988
17,0.010761
18,0.007447
15,0.007607
16,0.008948
17,0.007641
16,0.007178
16,0.008813
16,0.00731
16,0.007746
17,0.011137
17,0.007795
17,0.007733
17,0.009798
18,0.008375
17,0.007452
17,0.007237
18,0.009035
18,0.008738
18,0.009625
18,0.008025
18,0.007475
18,0.007225
18,0.007662
18,0.007577
18,0.009752
18,0.009854
18,0.00849
18,0.008425
18,0.009071
18,0.007836
18,0.008716
18,0.009271
18,0.008722
18,0.008937
18,0.007602
17,0.008602
17,0.008672
18,0.009377
18,0.008957
16,0.007883
16,0.007113
16,0.006934
16,0.008948
16,0.008008
16,0.006838
16,0.010057
17,0.008474
16,0.006928
16,0.006849
16,0.008211
16,0.0099
16,0.008369
16,0.008838
16,0.008603
16,0.006913
16,0.006783
16,0.007221
16,0.008114
16,0.008724
17,0.009418
16,0.007339
16,0.009123
16,0.007683
16,0.007048
16,0.007287
16,0.007444
17,0.009189
17,0.00749
16,0.007488
16,0.007463
17,0.008104
17,0.007146
17,0.007922
18,0.008347
16,0.008724
16,0.009151
16,0.00801
17,0.010416
17,0.009451
16,0.008808
17,0.009267
17,0.009323
17,0.009961
17,0.008928
17,0.011036
15,0.00761
16,0.007656
17,0.009763
17,0.008796
17,0.009183
18,0.009037
17,0.008215
18,0.008161
17,0.007945
18,0.008278
17,0.00819
17,0.008045
16,0.007598
18,0.00849
16,0.007613
17,0.007653
17,0.007689
16,0.007592
16,0.007563
16,0.007472
17,0.008049
18,0.008997
18,0.008901
16,0.009984
17,0.008532
17,0.007443
17,0.009192
17,0.007701
17,0.007225
17,0.009291
17,0.009578
17,0.00743
17,0.008409
17,0.008642
17,0.007522
17,0.008877
17,0.009046
17,0.007856
17,0.008154
18,0.008706
18,0.008587
18,0.008351
16,0.00809
16,0.011927
17,0.009147
17,0.007822
16,0.009358
16,0.007767
16,0.008357
16,0.00709
16,0.007262
16,0.007957
16,0.007443
16,0.00732
16,0.007278
16,0.00761
16,0.006946
16,0.00757
16,0.007025
16,0.007907
17,0.008761
17,0.007891
18,0.00906
18,0.009777
18,0.008445
16,0.008028
18,0.015064
17,0.009019
19,0.008952
19,0.008725
19,0.008773
17,0.008936
18,0.009342
19,0.009229
19,0.009005
18,0.008247
16,0.007509
15,0.007228
16,0.007484
15,0.007245
