objects_count,writing_stage
18.00,0.05
17.00,0.01
17.00,0.01
18.00,0.01
18.000,0.021
18.00,0.02
18.00,0.01
16.00,0.02
16,0.015397
16,0.017129
17,0.018096
18,0.014263
17,0.011036
17,0.015593
18,0.010683
18,0.015592
18,0.017358
18,0.011032
17,0.014588
17,0.013514
15,0.01081
16,0.010182
17,0.012351
17,0.011764
17,0.012008
17,0.013372
19,0.011834
19,0.009832
19,0.011727
19,0.011542
19,0.010573
18,0.010151
17,0.009822
17,0.009202
17,0.0095
16,0.009213
19,0.014454
18,0.012252
17,0.012592
17,0.010874
17,0.010296
17,0.011659
16,0.012156
17,0.009426
17,0.012055
18,0.013132
15,0.011378
16,0.009919
17,0.013525
16,0.010023
16,0.011328
16,0.008844
16,0.013357
17,0.009999
17,0.013053
17,0.010319
17,0.011582
18,0.010346
17,0.01432
17,0.013586
18,0.013951
18,0.009746
18,0.008708
18,0.008364
18,0.008336
18,0.010286
18,0.008636
18,0.008341
18,0.008924
18,0.00914
18,0.010604
18,0.009003
18,0.013041
18,0.008679
18,0.008858
18,0.008533
18,0.010118
18,0.009127
18,0.00853
17,0.008546
17,0.008307
18,0.009147
18,0.011076
16,0.008632
16,0.012134
16,0.011336
16,0.009008
16,0.008735
16,0.009628
16,0.009326
17,0.00831
16,0.009233
16,0.009167
16,0.009404
16,0.008998
16,0.008666
16,0.010906
16,0.009511
16,0.008764
16,0.009491
16,0.008344
16,0.009465
16,0.009261
17,0.011957
16,0.009139
16,0.010279
16,0.009007
16,0.009547
16,0.010957
16,0.00971
17,0.009105
17,0.009538
16,0.008934
16,0.009567
17,0.010295
17,0.013609
17,0.009614
18,0.009815
16,0.00993
16,0.011014
16,0.010115
17,0.010279
17,0.01211
16,0.011149
17,0.010431
17,0.011669
17,0.011905
17,0.013802
17,0.013784
15,0.015
16,0.013071
17,0.012283
17,0.010371
17,0.012004
18,0.012047
17,0.011615
18,0.010992
17,0.011216
18,0.011582
17,0.011905
17,0.011506
16,0.010276
18,0.011605
16,0.010903
17,0.010444
17,0.011122
16,0.011841
16,0.011013
16,0.011301
17,0.012086
18,0.014453
18,0.012367
16,0.011151
17,0.011444
17,0.011253
17,0.012146
17,0.010645
17,0.012196
17,0.014631
17,0.011356
17,0.010906
17,0.011251
17,0.01199
17,0.010873
17,0.013213
17,0.013785
17,0.010124
17,0.010298
18,0.010408
18,0.010858
18,0.009407
16,0.009672
16,0.011285
17,0.01029
17,0.009579
16,0.010415
16,0.009333
16,0.009634
16,0.009256
16,0.010022
16,0.013554
16,0.012714
16,0.013649
16,0.01302
16,0.016788
16,0.011052
16,0.009283
16,0.0118
16,0.01006
17,0.011391
17,0.009581
18,0.009823
18,0.012135
18,0.013602
16,0.013869
18,0.010033
17,0.011829
19,0.010462
19,0.009849
19,0.009968
17,0.010918
18,0.010957
19,0.009907
19,0.01019
18,0.010722
16,0.010245
15,0.009395
16,0.009292
15,0.009519
15,0.010141
16,0.010478
16,0.009115
15,0.009421
15,0.01052
15,0.008869
15,0.008685
16,0.010571
15,0.010548
16,0.010262
16,0.009925
16,0.009782
16,0.00998
18,0.012549
16,0.009932
17,0.009857
16,0.009912
16,0.010233
16,0.008988
17,0.010525
17,0.010968
17,0.009327
18,0.009957
18,0.009809
18,0.010375
15,0.009253
15,0.009364
15,0.00963
16,0.009013
16,0.009492
16,0.010666
16,0.014674
16,0.01022
15,0.008997
15,0.008912
17,0.009079
17,0.009398
15,0.009347
16,0.00895
16,0.009387
16,0.009676
17,0.012475
16,0.010173
16,0.010325
17,0.009787
17,0.009108
17,0.00996
17,0.009721
17,0.009579
17,0.0101
18,0.010412
17,0.00937
16,0.009076
16,0.010505
16,0.009659
16,0.011706
17,0.009912
17,0.009646
17,0.011187
17,0.009147
17,0.009323
16,0.010375
17,0.010076
16,0.009348
16,0.009321
17,0.010713
17,0.010568
17,0.011106
17,0.010835
18,0.010878
18,0.010123
17,0.009933
18,0.00966
17,0.009476
16,0.011396
16,0.00999
17,0.009508
17,0.010076
17,0.010265
18,0.011755
18,0.010184
18,0.010361
19,0.010236
18,0.009442
16,0.009322
18,0.009854
18,0.009307
17,0.009018
17,0.009147
17,0.009225
16,0.009345
17,0.01356
17,0.009886
18,0.012965
18,0.009914
16,0.009249
17,0.009362
5,0.016093
19,0.012236
18,0.009457
18,0.011195
18,0.01479
18,0.01497
18,0.01028
18,0.014557
17,0.014097
17,0.013746
17,0.014373
18,0.010207
18,0.013013
18,0.014959
18,0.009113
18,0.014252
18,0.013046
18,0.010692
18,0.011139
17,0.012841
17,0.010793
17,0.009924
17,0.009893
18,0.009637
17,0.011015
17,0.011216
17,0.010828
17,0.013448
17,0.011575
18,0.011447
17,0.010642
17,0.010109
16,0.010269
16,0.009276
16,0.009397
17,0.008723
16,0.009876
16,0.010627
16,0.010404
16,0.009342
16,0.01282
17,0.011069
16,0.012266
16,0.012028
16,0.013338
18,0.010162
18,0.0127
16,0.011629
17,0.010478
18,0.010699
16,0.010862
18,0.010691
18,0.010791
18,0.009482
19,0.013649
19,0.011726
19,0.011205
19,0.01017
15,0.015416
16,0.01057
17,0.01051
17,0.009207
17,0.010463
17,0.009512
17,0.009754
17,0.010298
17,0.010798
17,0.009406
17,0.009361
17,0.009834
17,0.008919
17,0.009515
17,0.008291
17,0.008198
17,0.008353
17,0.007872
17,0.007765
17,0.008004
17,0.011703
17,0.009108
17,0.008109
17,0.007996
17,0.007711
17,0.008189
17,0.007788
17,0.009576
17,0.008146
17,0.007801
17,0.009438
17,0.008354
17,0.009973
17,0.008706
16,0.008481
16,0.008806
17,0.009337
17,0.009325
17,0.008787
17,0.009915
17,0.008591
16,0.009399
16,0.008483
16,0.009049
16,0.010127
16,0.009118
16,0.009174
16,0.009085
16,0.008357
16,0.009148
16,0.009548
16,0.012324
16,0.008987
16,0.009872
16,0.009472
16,0.011464
16,0.011249
16,0.010908
16,0.014625
16,0.009838
16,0.009878
17,0.010832
16,0.010206
17,0.010921
17,0.010648
17,0.011211
17,0.011557
17,0.010479
18,0.012681
17,0.010647
17,0.011396
15,0.011371
16,0.011274
17,0.011949
17,0.011835
17,0.012667
18,0.012264
17,0.011038
17,0.011191
18,0.011785
18,0.01014
17,0.01031
17,0.010633
17,0.010616
17,0.010657
17,0.012236
17,0.01228
16,0.013349
17,0.01123
17,0.010636
17,0.010853
17,0.012804
18,0.011081
17,0.01206
18,0.011691
16,0.011383
17,0.01168
17,0.011462
17,0.011474
17,0.011931
17,0.011923
17,0.011462
17,0.011296
17,0.011088
17,0.010166
17,0.010252
17,0.00988
17,0.010176
17,0.011105
17,0.010115
18,0.009753
18,0.010385
18,0.009985
16,0.013367
16,0.009071
16,0.010029
16,0.010079
16,0.009565
16,0.010345
16,0.010772
16,0.009095
16,0.010262
16,0.009938
16,0.013182
16,0.015813
16,0.014402
16,0.013981
17,0.010242
15,0.010849
16,0.010429
16,0.009382
17,0.010278
17,0.009659
18,0.009597
18,0.011148
18,0.009885
17,0.010685
17,0.009557
17,0.009564
17,0.009772
18,0.010498
19,0.011083
17,0.00974
18,0.010353
19,0.009732
19,0.010917
18,0.010812
17,0.00992
15,0.009706
16,0.009626
16,0.010538
16,0.009345
15,0.009854
16,0.009479
15,0.008406
15,0.009906
15,0.009385
15,0.010068
15,0.010637
16,0.011652
16,0.010714
16,0.010275
16,0.010244
17,0.009857
17,0.009907
16,0.009667
17,0.009887
17,0.009306
16,0.009583
18,0.010707
18,0.010429
17,0.016876
17,0.010124
17,0.010485
18,0.010228
19,0.010219
16,0.011237
18,0.013332
16,0.011381
16,0.010681
17,0.010312
17,0.011951
17,0.009964
17,0.010619
16,0.00883
16,0.009804
17,0.010381
17,0.010261
15,0.009785
16,0.010404
17,0.009805
17,0.009929
18,0.011941
17,0.010168
16,0.009326
16,0.009735
17,0.012316
17,0.010582
17,0.01042
17,0.009979
17,0.009985
18,0.011757
18,0.010108
17,0.010259
18,0.010353
17,0.01025
17,0.009207
17,0.010052
17,0.009295
17,0.010251
17,0.009162
17,0.009116
16,0.010018
17,0.010495
16,0.009621
17,0.011261
18,0.010736
16,0.010033
17,0.009817
17,0.011486
18,0.010652
18,0.009863
17,0.009274
17,0.008988
17,0.009965
17,0.010388
16,0.010856
17,0.009606
17,0.009537
17,0.009759
17,0.009377
17,0.010495
18,0.009599
18,0.010481
18,0.009734
18,0.009561
19,0.010395
18,0.010405
19,0.00938
18,0.009657
18,0.009711
17,0.009378
18,0.009835
17,0.00853
17,0.009107
16,0.009504
16,0.009053
17,0.010291
6,0.00816
17,0.01167
17,0.009619
18,0.0102
18,0.016402
18,0.016023
18,0.010297
17,0.015844
17,0.015927
18,0.014452
18,0.015949
17,0.014925
18,0.010756
18,0.014399
18,0.010315
18,0.014698
18,0.013482
17,0.01112
17,0.014624
16,0.014254
16,0.011321
18,0.01518
17,0.010623
17,0.011012
17,0.011172
17,0.011991
18,0.012314
18,0.010089
17,0.010867
18,0.011487
15,0.010206
16,0.012467
17,0.010928
16,0.009559
16,0.010152
16,0.009677
16,0.009793
16,0.010177
17,0.010891
17,0.009206
17,0.010977
17,0.010584
15,0.010321
18,0.010079
17,0.010524
16,0.009507
17,0.010587
17,0.009351
17,0.010633
17,0.010723
17,0.011019
17,0.011287
17,0.010528
17,0.01011
17,0.011273
18,0.009898
18,0.010968
18,0.008985
17,0.013676
17,0.010751
16,0.010035
17,0.008949
17,0.008123
17,0.008978
17,0.008831
17,0.008182
17,0.008425
17,0.00884
17,0.009538
17,0.008009
17,0.011242
17,0.009922
17,0.011451
17,0.010891
17,0.012246
17,0.008671
17,0.010522
17,0.010502
17,0.010058
17,0.010334
17,0.009817
17,0.01135
17,0.009467
17,0.011658
17,0.015214
17,0.009016
17,0.010306
17,0.008287
17,0.008434
17,0.00876
17,0.008694
17,0.008608
17,0.009578
17,0.011678
17,0.00886
17,0.008624
17,0.010188
17,0.009821
17,0.008531
17,0.00927
17,0.010292
17,0.009899
17,0.009861
17,0.009461
17,0.009807
17,0.01394
17,0.009275
17,0.009998
17,0.013394
17,0.010134
17,0.009211
17,0.009204
17,0.00936
17,0.009787
17,0.010373
17,0.010366
17,0.010569
18,0.011239
18,0.011691
18,0.011215
17,0.011463
18,0.011518
18,0.012888
