frame_number,capture_stage,inference_stage,tracking_stage,writing_stage
0,0.042571,0.017614,0.007032,0.045386
1,0.00887,0.015871,0.009271,0.013921
2,0.005376,0.013453,0.007874,0.012626
3,0.005649,0.014965,0.011558,0.009577
4,0.005326,0.013532,0.007442,0.02146
5,0.005414,0.012864,0.008286,0.017288
6,0.005349,0.013092,0.009657,0.010575
7,0.005608,0.012749,0.007491,0.015171
8,0.00536,0.012486,0.007803,0.015397
9,0.005854,0.012763,0.007995,0.017129
10,0.00538,0.012835,0.007867,0.018096
11,0.005451,0.012854,0.00832,0.014263
12,0.005405,0.012254,0.009687,0.011036
13,0.005382,0.01228,0.008245,0.015593
14,0.005375,0.012208,0.0088,0.010683
15,0.006607,0.01274,0.008992,0.015592
16,0.005421,0.013664,0.007286,0.017358
17,0.005941,0.013916,0.008236,0.011032
18,0.008439,0.013507,0.008369,0.014588
19,0.005646,0.014106,0.007482,0.013514
20,0.005473,0.012802,0.007944,0.01081
21,0.007078,0.013044,0.007396,0.010182
22,0.007394,0.012822,0.00765,0.012351
23,0.005433,0.013096,0.007607,0.011764
24,0.005366,0.012721,0.008389,0.012008
25,0.005336,0.01305,0.007925,0.013372
26,0.008613,0.012825,0.009882,0.011834
27,0.005595,0.01523,0.008129,0.009832
28,0.005915,0.013728,0.007997,0.011727
29,0.005483,0.014241,0.007558,0.011542
30,0.00566,0.01246,0.007621,0.010573
31,0.005396,0.013292,0.008702,0.010151
32,0.00545,0.013092,0.008005,0.009822
33,0.005389,0.012769,0.008858,0.009202
34,0.00552,0.012576,0.007992,0.0095
35,0.005548,0.013073,0.008152,0.009213
36,0.006005,0.012492,0.010928,0.014454
37,0.008769,0.012844,0.009133,0.012252
38,0.005782,0.013268,0.007754,0.012592
39,0.005518,0.012599,0.009374,0.010874
40,0.005528,0.012681,0.0077,0.010296
41,0.005485,0.014038,0.007706,0.011659
42,0.005308,0.013085,0.008008,0.012156
43,0.005484,0.013478,0.007988,0.009426
44,0.005455,0.012814,0.010761,0.012055
45,0.005376,0.012785,0.007447,0.013132
46,0.005376,0.013145,0.007607,0.011378
47,0.005696,0.014618,0.008948,0.009919
48,0.007398,0.014557,0.007641,0.013525
49,0.005416,0.013808,0.007178,0.010023
50,0.006405,0.013037,0.008813,0.011328
51,0.006224,0.013426,0.00731,0.008844
52,0.005738,0.013118,0.007746,0.013357
53,0.00539,0.013355,0.011137,0.009999
54,0.006027,0.013437,0.007795,0.013053
55,0.007793,0.013046,0.007733,0.010319
56,0.005395,0.013136,0.009798,0.011582
57,0.005471,0.013008,0.008375,0.010346
58,0.005565,0.013286,0.007452,0.01432
59,0.009729,0.014367,0.007237,0.013586
60,0.005882,0.013137,0.009035,0.013951
61,0.005287,0.01328,0.008738,0.009746
