frame_number,objects_count
0,45
1,45
2,45
3,45
4,45
5,45
6,45
7,45
8,45
9,45
10,45
11,44
12,45
13,45
14,45
15,45
16,45
17,45
18,45
19,44
20,44
21,44
22,43
23,44
24,44
25,44
26,45
27,45
28,45
29,45
30,45
31,45
32,44
33,45
34,45
35,44
36,45
37,45
38,45
39,45
40,45
41,45
42,45
43,45
44,45
45,45
46,45
47,45
48,45
49,45
50,45
51,45
52,45
53,45
54,45
55,45
56,45
57,45
58,45
59,45
60,45
61,45
62,45
63,45
64,45
65,45
66,45
67,45
68,45
69,45
70,45
71,45
72,45
73,45
74,45
75,45
76,45
77,45
78,45
79,44
80,45
81,45
82,45
83,45
84,45
85,44
86,44
87,44
88,44
89,44
90,44
91,44
92,44
93,44
94,44
95,44
96,45
97,45
98,45
99,45
100,45
101,45
102,45
103,45
104,45
105,45
106,45
107,45
108,45
109,45
110,45
111,45
112,45
113,45
114,45
115,45
116,45
117,45
118,45
119,45
120,45
121,45
122,45
123,45
124,45
125,45
126,45
127,45
128,45
129,45
130,45
131,45
132,45
133,45
134,45
135,45
136,45
137,45
138,45
139,45
140,45
141,45
142,45
143,45
144,45
145,45
146,44
147,45
148,45
149,45
150,45
151,45
152,45
153,45
154,44
155,44
156,44
157,44
158,44
159,44
160,44
161,44
162,44
163,43
164,43
165,44
166,44
167,44
168,44
169,42
170,42
171,44
172,42
173,42
174,42
175,43
176,43
177,43
178,43
179,43
180,43
181,43
182,43
183,43
184,43
185,44
186,42
187,42
188,44
189,43
190,44
191,42
192,42
193,42
194,42
195,42
196,42
197,42
198,42
199,42
200,42
201,42
202,42
203,41
204,42
205,42
206,41
207,42
208,42
209,43
210,42
211,42
212,42
213,42
214,42
215,42
216,43
217,41
218,43
219,43
220,43
221,42
222,45
223,43
224,42
225,43
226,42
227,43
228,41
229,41
230,42
231,40
232,43
233,41
234,43
235,42
236,41
237,42
238,40
239,40
240,41
241,40
242,40
243,42
244,41
245,41
246,44
247,38
248,41
249,42
250,42
251,41
252,42
253,42
254,40
255,41
256,41
257,40
258,41
259,41
260,41
261,40
262,38
263,40
264,40
265,42
266,44
267,44
268,44
269,43
270,41
271,41
272,43
273,44
274,43
275,42
276,42
277,39
278,40
279,40
280,41
281,41
282,41
283,41
284,42
285,40
286,41
287,41
288,41
289,41
290,42
291,43
292,42
293,44
294,43
295,43
296,43
297,44
298,43
299,41
300,41
301,41
302,43
303,43
304,42
305,42
306,43
307,44
308,42
309,43
310,43
311,43
312,43
313,45
314,44
315,45
316,44
317,43
318,43
319,43
320,42
321,42
322,43
323,42
324,40
325,41
326,41
327,45
328,41
329,41
330,43
331,43
332,40
333,40
334,39
335,39
336,39
337,39
338,36
339,38
340,40
341,39
342,41
343,41
344,37
345,41
346,38
347,38
348,38
349,39
350,41
351,42
352,41
353,42
354,41
355,41
356,42
357,40
358,41
359,40
360,43
361,43
362,44
363,43
364,43
365,43
366,41
367,43
368,44
369,44
370,42
371,42
372,40
373,43
374,41
375,41
376,40
377,42
378,42
379,46
380,45
381,45
382,45
383,42
384,41
385,43
386,42
387,41
388,41
389,41
390,40
391,39
392,41
393,39
394,40
395,39
396,40
397,42
398,41
399,38
400,39
401,39
402,38
403,38
404,38
405,38
406,40
407,41
408,40
409,40
410,39
411,39
412,39
413,39
414,39
415,40
416,40
417,40
418,40
419,41
420,40
421,40
422,40
423,40
424,40
425,40
426,40
427,40
428,40
429,39
430,40
431,40
432,41
433,39
434,40
435,42
436,43
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,64
542,64
543,64
544,64
545,63
546,63
547,63
548,64
549,64
550,66
551,63
552,64
553,64
554,67
555,63
556,65
557,65
558,66
559,64
560,65
561,65
562,65
563,64
564,65
565,64
566,64
567,64
568,64
569,66
570,67
571,66
572,66
573,67
574,67
575,67
576,66
577,66
578,66
579,65
580,65
581,65
582,65
583,67
584,65
585,65
586,66
587,66
588,66
589,66
590,66
591,66
592,66
593,66
594,66
595,66
596,66
597,66
598,65
599,65
600,66
601,65
602,65
603,66
604,66
605,66
606,65
607,66
608,66
609,66
610,66
611,66
612,66
613,66
614,66
615,66
616,67
617,66
618,66
619,66
620,65
621,66
622,66
623,65
624,65
625,66
626,66
627,66
628,65
629,66
630,65
631,66
632,66
633,66
634,66
635,66
636,66
637,66
638,66
639,66
640,66
641,66
642,67
643,67
644,67
645,67
646,67
647,66
648,66
649,66
650,65
651,61
652,62
653,64
654,65
655,62
656,63
657,62
658,61
659,62
660,62
661,63
662,64
663,63
664,64
665,62
666,63
667,63
668,62
669,61
670,60
671,60
672,59
673,61
674,60
675,61
676,61
677,62
678,60
679,58
680,63
681,60
682,59
683,57
684,63
685,61
686,61
687,63
688,64
689,61
690,62
691,64
692,61
693,58
694,61
695,62
696,64
697,63
698,62
699,65
700,63
701,64
702,66
703,66
704,66
705,62
706,64
707,60
708,60
709,59
710,61
711,58
712,60
713,59
714,61
715,58
716,60
717,59
718,60
719,60
720,62
721,61
722,60
723,59
724,59
725,59
726,59
727,59
728,58
729,58
730,57
731,56
732,55
733,58
734,58
735,60
736,58
737,58
738,58
739,60
740,57
741,58
742,59
743,60
744,60
745,57
746,57
747,61
748,61
749,59
750,61
751,60
752,61
753,61
754,62
755,63
756,61
757,62
758,62
759,61
760,61
761,63
762,63
763,62
764,63
765,64
766,65
767,62
768,60
769,60
770,57
771,58
772,57
773,58
774,58
775,59
776,58
777,58
778,58
779,59
780,59
781,58
782,57
783,57
784,59
785,57
786,61
787,57
788,57
789,61
790,62
791,61
792,61
793,61
794,60
795,60
796,60
797,60
798,59
799,60
800,57
801,58
802,59
803,58
804,58
805,60
806,59
807,58
808,60
809,60
810,60
811,60
812,62
813,61
814,59
815,59
816,60
817,60
818,60
819,59
820,58
821,59
822,59
823,61
824,60
825,60
826,60
827,59
828,61
829,58
830,59
831,56
832,56
833,59
834,60
835,58
836,62
837,66
838,65
839,66
840,67
841,65
842,64
843,65
844,67
845,64
846,63
847,66
848,61
849,62
850,61
851,63
852,60
853,63
854,61
855,59
856,61
857,60
858,61
859,58
860,60
861,63
862,63
863,62
864,61
865,60
866,60
867,60
868,60
869,60
870,62
871,59
872,55
873,58
874,59
875,57
876,57
877,59
878,56
879,58
880,59
881,59
882,59
883,61
884,59
885,60
886,60
887,57
888,58
889,55
890,56
891,55
892,55
893,57
894,59
895,57
896,59
897,57
898,56
899,56
900,58
901,56
902,53
903,53
904,55
905,57
906,56
907,55
908,57
909,57
910,54
911,54
912,53
913,54
914,54
915,54
916,54
917,55
918,54
919,54
920,53
921,56
922,57
923,55
924,60
925,58
926,59
927,60
928,58
929,57
930,57
931,55
932,58
933,56
934,57
935,55
936,58
937,57
938,55
939,58
940,61
941,60
942,57
943,57
944,59
945,56
946,57
947,58
948,59
949,61
950,56
951,55
952,55
953,56
954,54
955,56
956,55
957,55
958,55
959,56
960,57
961,55
962,55
963,53
964,55
965,56
966,56
967,54
968,55
969,56
970,55
971,55
972,56
