frame_number,fps
0,0
32,32
62,30
92,30
122,30
151,29
181,30
211,30
241,30
271,30
301,30
331,30
361,30
391,30
421,30
451,30
481,30
511,30
540,29
570,30
600,30
630,30
659,29
689,30
719,30
749,30
779,30
809,30
839,30
869,30
899,30
928,29
958,30
983,25
1001,18
1019,18
1036,17
1053,17
1073,20
1094,21
1112,18
1133,21
1153,20
1173,20
1193,20
1215,22
1235,20
1257,22
1286,29
1317,31
1347,30
1377,30
1407,30
1437,30
1467,30
1497,30
1527,30
1557,30
1586,29
1615,29
1645,29
1675,30
1705,30
1735,30
1765,30
1794,29
1822,28
1853,31
1883,30
1913,30
1943,30
1973,30
2003,30
2033,30
2064,31
2094,30
2124,30
2150,26
2167,17
2186,19
2204,18
