frame_number,fps
0,0
28,28
59,31
90,31
120,30
150,30
179,29
209,30
237,28
267,30
294,27
326,32
355,29
385,30
416,31
446,30
474,28
502,28
531,29
562,31
589,27
619,30
647,28
677,30
706,29
737,31
768,31
798,30
828,30
859,31
888,29
914,26
942,28
971,29
1002,31
1032,30
1062,30
1090,28
1119,29
1148,29
1178,30
1208,30
1239,31
1267,28
1297,30
1328,31
1357,29
1385,28
1413,28
1444,31
1474,30
1504,30
1531,27
1560,29
1589,29
1620,31
1650,30
1683,33
1710,27
1738,28
1769,31
1799,30
1827,28
1852,25
1883,31
1914,31
1944,30
1973,29
2002,29
2032,30
2062,30
2092,30
2122,30
2155,33
2181,26
2212,31
2242,30
2271,29
2297,26
2325,28
