frame_number,fps
0,0
21,21
44,23
67,23
89,22
112,23
134,22
156,22
178,22
201,23
224,23
247,23
272,25
295,23
316,21
339,23
361,22
383,22
405,22
427,22
450,23
473,23
495,22
517,22
539,22
562,23
584,22
610,26
630,20
653,23
676,23
699,23
720,21
742,22
765,23
789,24
812,23
835,23
857,22
880,23
903,23
923,20
947,24
972,25
994,22
1017,23
1040,23
1062,22
1084,22
1106,22
1129,23
1152,23
1175,23
1197,22
1220,23
1239,19
1262,23
1285,23
1310,25
1333,23
1355,22
1378,23
1401,23
1423,22
1444,21
1467,23
1490,23
1513,23
1535,22
1555,20
1579,24
1601,22
1624,23
1650,26
1673,23
1695,22
1718,23
1741,23
1763,22
1784,21
1807,23
